policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2
decoupled_wbc_h070_p000,2560,complete,90,18,9.1314,3.73851,0.227067,0.0700025,430.273,97.6996,114.996,79.0923,3.10284,60.676,51.4891,18.6303,32.8062,5.03699,326.051,69.6288,69.3923,32.9177,1.71584,44.4615,36.2092,12.4546,16.6364,2.67253,171.748,48.5689,76.2097,37.2019,1.2544,28.1946,27.6727,11.1327,18.0882,2.83127,463.727,128.571,133.922,29.1866,2.53481,64.4933,60.8192,19.6585,24.4213,3.73417,478.124,92.1137,117.654,29.1682,2.7659,66.2388,47.8754,19.0235,23.1676,4.81348,538.236,145.625,103.005,38.1873,2.16521,73.2381,57.4112,19.2213,27.804,6.46229,230.907,57.1247,63.3017,29.436,2.14427,36.3775,29.753,10.4208,15.448,3.03266,708.755,207.946,168.257,156.964,3.48269,97.4973,80.7002,26.4679,38.8112,7.8264,291.355,63.8853,95.9407,29.1503,2.50367,46.2327,38.4318,15.214,21.5863,5.74732,591.093,243.31,137.512,52.2043,1.78421,78.0678,77.3057,21.882,35.8123,7.24736,305.376,62.3225,72.9636,30.6028,1.83242,41.6976,33.9043,12.4254,17.8661,3.74482,436.723,97.3567,116.466,37.0897,1.68011,66.6146,50.1367,19.6455,23.7184,3.60109,253.923,72.5714,100.872,32.0497,1.75053,40.408,41.0609,13.9146,20.0795,3.72289,605.364,120.673,103.641,37.8885,1.79296,74.3659,49.8567,20.7858,25.2825,4.50343,421.52,97.7472,131.584,73.1098,2.51365,65.1026,56.2231,19.1444,27.5431,6.16962,548.162,131.885,122.239,126.335,2.78314,65.7569,63.2452,19.9462,35.6904,5.42126,425.089,99.5597,135.225,66.816,2.29561,59.3383,48.5099,17.7695,25.6938,5.3171,470.961,162.24,127.502,36.6476,1.3229,68.7327,68.4271,18.6747,23.9843,4.03739
decoupled_wbc_h070_p000,2561,complete,90,18,14.805,3.89381,0.20788,0.166256,399.768,81.2177,97.2609,20.8308,2.09291,59.2468,52.2473,17.7873,28.6839,3.96108,433.48,123.671,138.826,35.0275,1.60994,66.1835,63.3306,21.0229,36.014,4.75666,416.081,94.6667,101.336,63.3787,2.33467,59.1057,50.915,17.9361,31.0555,5.50015,299.747,94.0159,108.899,29.7633,2.2508,49.9693,47.5204,17.5915,26.9888,4.1699,441.859,106.723,124.806,66.8807,3.96004,61.2297,56.8392,20.1865,33.731,7.27645,393.065,109.849,123.827,30.1057,1.7663,59.5932,55.7934,19.9108,29.3361,4.40094,515.092,99.7067,121.586,26.9023,2.367,72.7111,57.9322,21.7824,33.0063,5.31086,447.996,106.057,115.398,19.9527,1.13363,69.8798,56.2381,19.3054,26.7742,3.30167,469.258,110.509,127.558,30.8732,1.27328,71.335,56.656,21.0779,31.7855,4.58532,476.336,116.082,99.7661,37.9164,1.96764,66.8547,62.6705,18.5146,27.9384,4.15264,558.774,143.801,114.393,88.2942,1.44545,75.0645,64.9141,19.4182,33.3525,4.08884,371.95,86.79,125.449,52.5284,1.95646,52.4281,42.7913,17.1957,25.1119,3.22825,445.298,133.909,116.729,45.1339,1.43955,64.2504,60.4196,19.3606,27.2082,4.05516,502.702,114.193,111.132,37.3448,2.03692,60.6324,53.2709,18.09,27.6958,3.51122,1300.99,285.012,205.378,62.3004,0.936062,123.249,95.2693,34.6947,44.4567,5.24612,1097.36,388.486,222.071,46.5737,1.21619,106.844,96.7222,34.1943,36.8647,5.52166,465.342,126.855,124.053,28.6985,2.43238,64.7416,57.1312,20.3852,24.3447,3.7662,309.619,87.6133,101.838,36.082,1.513,49.854,43.2612,15.2377,21.2752,2.68587
decoupled_wbc_h070_p000,2562,fell,45.86,10,16.3513,14.3092,1.33494,3.1424,518.915,150.564,170.033,73.1108,2.88893,76.1276,69.7004,24.0945,40.0502,5.62199,184.02,44.4805,49.5334,17.322,1.6772,27.8582,22.5532,10.0077,13.764,2.70988,259.755,83.6291,98.8162,25.8619,1.20372,43.6061,46.3328,16.5511,26.6756,4.1032,435.331,115.06,111.18,34.8396,1.56827,62.4583,55.4792,19.2015,29.6427,4.49398,294.87,96.7514,110.715,43.5013,2.35248,49.1656,48.3911,15.3842,28.7047,4.57107,635.628,142.977,130.256,35.5165,1.90769,84.5727,67.4981,22.5957,34.9958,5.59103,372.869,95.3184,122.547,36.8695,2.1693,57.5848,52.6104,17.2594,28.6417,3.36902,840.858,228.861,171.41,48.5832,1.2216,102.272,88.2885,26.0818,44.0746,4.32666,380.872,79.1675,108.761,31.8671,1.01503,55.2717,40.934,16.5425,22.4146,3.93877,1346.77,170.273,152.118,69.1961,0.569515,80.3607,34.2853,18.6821,27.5412,2.69398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decoupled_wbc_h070_p000,2563,fell,41.26,9,23.7039,16.6799,1.72384,1.54288,473.581,111.391,87.1269,28.9419,1.94561,70.4997,65.1847,18.3557,32.7571,3.90839,400.467,106.75,103.33,38.3574,2.92731,66.3455,54.573,17.8162,32.4236,4.64176,307.477,100.094,131.314,67.4211,2.33759,45.7977,46.7037,17.2935,30.7452,6.42578,531.668,105.839,118.949,40.1341,1.26686,77.7363,57.3785,22.0164,34.1472,4.48962,524.998,137.451,138.433,31.0238,2.49424,71.1685,67.9038,21.5292,32.541,4.67622,520.264,120.11,118.198,32.4598,1.25439,72.883,56.6563,20.1245,31.1701,4.39854,421.663,116.061,108.811,30.1833,1.93734,59.4149,57.8197,18.4033,29.3007,4.2984,375.905,105.082,116.153,83.989,2.07656,59.4037,54.7661,18.1853,37.1907,5.04122,2366.28,402.48,354.884,249.48,6.76583,110.521,68.218,28.3372,55.116,8.02896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decoupled_wbc_h070_p000,2564,complete,90,18,10.6832,2.7928,0.307985,0.0677301,423.188,117.717,111.901,30.8282,3.28216,63.1511,58.2051,18.818,28.3322,4.2394,361.048,75.6805,91.4554,22.1605,2.23839,53.6159,42.9631,16.0608,23.0844,4.76267,483.983,85.065,124.512,26.59,2.05525,72.9357,55.2925,21.4104,29.6329,6.12598,436.029,91.6753,107.353,27.4963,1.28104,62.7546,52.7609,17.8713,23.5451,4.13247,430.645,111.566,127.104,31.2858,2.06043,64.1707,62.0565,19.4767,32.1014,4.56962,317.617,81.6829,80.1578,32.6864,0.857174,51.908,44.5038,15.7174,24.1844,2.70191,317.106,87.7405,90.7672,51.8765,1.23658,49.0154,47.2682,14.9879,24.4658,2.92456,968.458,187.368,228.756,44.0664,1.27699,96.9654,63.2497,29.3221,33.5292,4.5994,454.848,97.9006,110.38,37.3357,1.94116,65.0646,54.3573,18.5468,23.958,4.48152,463.773,158.123,150.132,33.4849,2.24495,69.0271,59.8653,20.6815,24.7931,4.43788,289.501,96.2366,106.631,34.5014,2.04458,47.8504,44.2961,15.4354,20.2087,3.36625,203.284,83.0659,113.45,26.6229,1.94886,35.2355,42.3572,14.5935,19.2227,3.07872,464.734,130.229,101.399,32.5977,1.23457,65.7446,60.1561,18.2853,25.9989,4.17582,376.51,108.833,135.181,22.3406,2.64344,60.2912,54.9489,19.1265,23.6647,4.12592,411.017,105.114,122.1,47.4844,2.149,62.1621,50.2405,18.415,25.7227,4.37852,397.046,107.737,126.409,31.6191,3.0473,65.1232,57.9019,18.8868,29.0738,6.42506,362.958,130.965,143.108,20.3879,1.64389,54.6379,56.5196,18.9097,26.0801,5.72193,449.297,115.4,131.319,27.279,1.413,63.5258,57.627,19.2595,23.1254,4.34255
decoupled_wbc_h070_p000,2565,complete,90,18,15.0198,2.9622,0.119322,0.0783333,424.096,110.369,106.125,25.1689,2.91362,60.0122,52.7927,17.008,27.3438,3.88036,297.633,84.3602,112.263,30.925,2.76913,49.1092,45.2922,16.7066,28.4818,4.4574,420.516,82.3409,98.5492,37.9454,2.63395,60.6463,47.5208,17.8294,27.5132,4.50479,457.704,123.351,120.067,26.9376,2.27281,60.081,56.9536,19.9072,29.8841,5.10909,445.739,105.82,101.843,30.4742,1.85356,63.4415,50.2015,16.636,24.3391,3.35374,300.534,90.8649,89.8979,28.7748,1.58434,52.4286,48.8691,16.8392,22.9055,3.56023,388.03,120.263,106.843,29.4171,1.94036,55.0283,59.0188,16.7183,26.9886,3.67602,421.59,112.258,100.077,30.9222,2.61219,57.185,54.9236,16.687,25.6853,4.15083,660.341,194.327,121.472,78.3676,2.44589,79.3608,68.368,22.0387,36.3132,4.5312,538.97,146.874,113.924,54.2104,18.2231,73.6808,67.994,22.4298,34.8339,10.501,346.099,81.4578,93.9324,27.4969,1.61108,54.3578,46.2001,17.7765,23.7015,4.02837,676.046,145.201,109.541,63.262,9.58463,80.2374,67.5889,21.3158,34.4858,13.2617,304.969,79.3717,75.7849,27.6599,1.99129,46.7376,35.2839,14.2655,21.6674,3.27379,721.544,198.349,155.516,81.6088,1.80855,91.5673,76.4419,24.4017,39.4937,5.80069,310.281,80.0282,92.0781,28.7538,2.07507,48.8668,40.9944,17.1262,25.0934,5.13021,525.979,108.593,126.111,103.345,5.63132,77.7273,57.8154,21.1184,36.4014,9.31817,1176.73,378.51,205.808,65.2788,1.65845,118.462,111.003,33.6418,46.8555,9.30293,653.046,165.09,142.212,39.6682,3.50539,87.3383,79.5747,25.556,37.4038,10.1011
decoupled_wbc_h070_p000,2566,fell,81.22,17,12.5914,8.97637,2.05731,3.48153,541.049,131.705,114.054,21.6812,2.62658,75.9456,67.6065,20.8231,30.3604,5.40151,236.261,69.3647,75.1523,20.7774,1.40398,41.4761,41.0188,14.3134,22.6029,3.66329,454.692,112.476,87.2805,53.6217,1.52126,58.2634,55.7206,14.6082,26.2714,3.93993,352.676,80.0248,91.8124,31.7389,1.62546,52.6455,44.6757,15.1517,22.5135,3.22635,491.569,140.749,139.929,141.159,6.8579,73.1099,64.9195,20.7048,33.7956,7.47618,644.038,145.463,118.826,54.0655,1.87088,83.319,71.5988,20.8751,32.8468,6.04627,516.397,123.603,84.1125,52.2129,1.53411,69.2474,57.7381,16.8055,25.2172,4.76004,588.805,136.999,140.122,169.458,11.2908,80.9172,67.8778,23.189,41.8002,11.5485,346.423,90.9322,97.0353,49.3063,1.595,45.0944,41.1615,16.28,24.65,4.92631,215.551,74.2528,132.015,116.222,13.3806,35.0337,38.7815,13.5549,23.946,9.50748,704.711,176.558,167.242,118.125,22.0354,93.752,75.8366,26.2092,45.9291,14.6813,500.956,113.37,98.8002,38.6935,2.18067,65.8446,51.9627,17.9621,23.2063,4.66405,386.134,92.5605,94.1055,28.5463,2.14922,51.0123,50.4684,15.5571,22.8707,3.90477,329.76,77.4409,111.97,30.9625,2.12155,48.3855,38.5371,17.2039,23.5309,4.48527,434.553,132.033,118.923,31.3113,1.35464,60.799,51.9946,19.6174,24.7336,4.26211,781.41,158.429,261.439,177.555,9.14835,95.7196,63.3121,36.7921,53.2189,13.4141,2098.9,570.159,629.081,107.168,1.38819,120.003,89.5482,46.3413,42.5127,7.6656,,,,,,,,,,
decoupled_wbc_h070_p000,2567,fell,56.24,12,27.5196,3.6617,2.02408,1.39115,506.603,111.329,108.562,41.7621,2.14884,73.1173,54.3281,20.0615,27.7924,4.32281,233.744,81.9535,108.41,36.3935,1.95743,41.4267,42.6793,15.637,25.4192,3.83165,309.107,96.137,106.801,74.2164,3.58347,50.7546,46.0253,16.5268,33.4288,6.21501,441.706,98.0246,93.4438,38.0341,1.7874,61.3328,52.5855,16.1814,29.6115,2.80116,324.945,70.1646,101.367,34.1938,2.11671,49.2699,43.5851,14.7791,26.5625,3.39542,216.076,64.1533,67.2437,27.4669,1.69371,36.7231,37.9224,11.3456,19.5384,3.12763,187.426,61.8749,54.2206,21.1428,1.71191,32.2818,33.0395,10.138,24.2067,3.4532,502.849,114.106,56.6655,22.597,1.32335,66.3264,57.5004,15.3599,29.5926,3.7673,178.521,31.7093,32.8057,19.6056,1.59626,26.9888,22.13,7.56537,16.9708,2.09521,436.179,90.0192,73.9888,30.3242,2.09622,54.7462,51.2285,13.4569,25.8328,3.95659,383.571,97.7819,103.941,38.6563,2.20719,56.4845,49.7351,16.3824,27.2975,4.69693,1524.33,396.91,323.122,111.61,2.59663,89.8333,68.3842,23.6477,39.7609,7.86021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decoupled_wbc_h070_p000,2568,complete,90,18,12.9213,3.55534,0.135071,0.202983,301.139,69.6772,66.595,34.2209,1.94806,48.2081,42.6026,14.4399,26.2448,3.36451,398.038,101.32,113.142,43.8854,1.96722,58.7399,52.0018,18.3607,33.5801,3.1467,257.595,67.5347,78.1732,40.035,1.60292,39.2625,31.4253,13.1571,21.6972,2.60852,461.999,139.862,119.257,47.8601,1.70851,69.5291,61.8693,16.9879,25.528,3.93428,348.826,118.279,114.894,52.0384,2.46177,55.0784,53.7745,19.3666,26.2041,5.8277,283.497,65.7522,74.9383,38.1765,1.91306,44.769,37.938,11.8989,17.5973,2.70569,498.642,145.159,88.4136,44.1874,1.92863,63.2646,60.7962,15.6885,22.0834,3.80133,452.561,103.341,125.424,29.8163,2.27469,67.4665,59.8121,19.2209,28.2125,4.52554,456.719,98.2059,141.851,49.9611,3.23193,61.5391,57.7748,19.6201,31.4262,4.19204,436.08,95.9762,95.6714,29.3198,1.55669,61.4349,49.672,18.5691,22.8777,3.70473,1454.05,214.515,151.448,40.2715,2.11335,113.595,84.8973,28.1275,37.0211,6.94756,368.414,70.6791,104.042,27.5994,1.48861,52.5344,45.5584,16.0914,23.3407,2.93921,473.803,108.152,107.635,28.0532,1.79191,70.6516,57.0117,18.5208,26.8466,4.03405,494.992,103.143,106.558,29.0786,1.94931,65.5439,56.1629,19.7952,23.5091,4.02679,439.164,99.7826,106.604,25.4911,1.96758,64.2356,60.3781,19.2054,25.9236,4.1752,363.098,79.139,78.8763,27.9814,2.03296,49.8948,42.7683,17.1057,23.1599,3.32621,473.196,97.6156,103.114,26.1947,1.25953,66.5164,57.3692,21.5921,30.3945,3.70472,522.37,115.324,108.611,25.2219,1.34483,65.4484,55.1539,20.0764,28.4466,3.7823
decoupled_wbc_h070_p000,2569,complete,90,18,15.0333,3.46301,0.27903,0.178688,325.427,88.7469,110.447,37.7797,2.61208,52.6946,47.1887,17.1891,27.9968,4.77795,345.242,52.8796,87.4851,22.3535,2.23361,54.033,39.007,16.0709,24.0572,3.74444,374.828,82.3372,100.276,24.8262,1.92195,58.2473,47.5902,17.2816,26.9792,4.1346,380.243,89.6736,101.984,26.8447,2.93741,55.7564,49.9761,18.4353,26.4222,4.40797,603.681,132.39,119.897,24.6072,1.56168,80.9467,67.2349,20.9243,32.3038,4.612,494.654,122.172,139.719,34.2493,1.97047,69.4717,63.3322,21.3309,31.3806,5.18797,358.415,82.9247,106.975,21.649,1.93275,58.5971,50.3103,18.4806,24.1887,4.22525,657.692,127.526,113.029,30.4312,1.73823,82.8223,62.5701,22.3497,28.9998,5.23223,332.881,86.0858,125.685,87.584,2.21879,50.0075,47.9594,17.5882,28.0718,4.74487,549.306,125.577,160.026,186.494,7.7901,76.8668,63.658,23.8209,42.2798,10.3128,726.764,125.762,118.129,37.9579,3.27573,68.9474,54.8903,20.8332,26.6951,6.81213,612.877,122.779,124.466,42.2333,1.80872,82.6742,65.1969,22.8738,27.6045,6.65529,1006.94,488.387,222.787,105.98,3.26102,111.899,115.434,33.0476,47.8011,8.7426,396.48,81.4711,102.869,31.8276,2.35443,49.1791,37.5038,16.2848,19.873,3.54277,355.135,122.46,99.6597,54.1133,1.854,52.2953,52.1514,15.9049,24.3494,3.41165,416.329,96.6345,101.078,43.9634,1.77286,60.7234,49.2213,17.2649,22.8326,4.27928,571.927,191.383,172.46,23.7625,2.57714,80.4784,74.7492,22.6458,33.3222,6.75391,786.558,178.464,161.399,118.844,7.09668,95.583,79.0886,25.801,37.2208,11.3556
decoupled_wbc_h070_p000,2570,complete,90,18,11.352,2.90795,0.078056,0.0788126,346.245,88.8255,110.723,22.7596,2.25322,57.2693,48.7632,17.7902,25.5522,4.59693,278.351,76.1872,102.483,44.5845,2.47064,48.9877,47.1088,15.8706,29.8707,5.37113,316.058,74.3527,98.4819,29.3929,2.19019,51.4389,41.6593,14.6719,26.278,3.95643,270.812,83.9155,104.088,42.123,3.12737,43.8873,40.3677,15.4267,28.4738,5.48777,338.81,91.838,97.6862,28.969,1.80786,54.3631,49.0042,16.5707,28.7863,5.47745,366.651,85.5565,106.639,27.4243,2.89741,58.1669,45.4514,17.6076,30.46,6.38982,1074.94,162.267,146.224,57.2393,2.23223,87.7825,72.4181,22.4264,37.8103,6.23277,280.249,76.8334,70.8456,34.2608,2.4824,45.2071,42.9901,13.0594,27.2957,4.00224,384.064,97.8997,78.1101,33.0858,1.29961,55.5671,54.4281,15.1483,28.3579,3.6755,237.332,82.6053,94.0057,31.5433,2.95029,43.0862,45.0384,14.3587,27.6729,3.8257,440.851,107.293,110.748,32.8338,1.84864,62.7073,52.5819,19.4465,31.7434,4.31928,1070.15,176.515,200.84,51.4394,1.91846,110.067,72.6976,30.1733,41.3541,7.15863,376.196,109.148,109.848,43.2582,2.54239,56.7552,51.3041,17.9611,24.76,4.11283,337.682,129.843,131.264,29.4398,1.29934,52.6029,56.0791,16.4337,24.499,4.91837,506.633,131.644,131.826,32.5053,1.62391,67.7164,63.9718,19.0984,30.5018,5.6573,582.592,137.562,147.537,173.029,11.2001,74.3902,66.6864,22.4185,46.9432,11.2025,304.668,87.6085,92.5684,77.2519,2.38696,50.862,41.5502,15.3163,31.2104,4.17826,452.015,79.3854,81.7292,34.6554,1.55114,63.052,49.8389,15.8184,30.2903,3.95673
decoupled_wbc_h070_p000,2571,complete,90,18,10.1577,3.09586,0.0977097,0.112615,352.55,85.4453,82.2998,39.9853,2.10815,54.8747,52.642,16.3061,27.672,4.43533,343.138,75.018,121.715,42.1234,2.23593,55.1719,45.1535,16.172,32.1476,3.85164,466.277,102.942,114.536,65.7264,2.16953,65.5246,52.9748,18.6617,34.6757,4.41785,185.154,58.4673,78.0909,37.6129,1.71588,31.9123,36.2656,12.0904,25.3845,3.59365,273.539,59.5762,75.3183,32.0679,1.33734,40.0283,34.6059,13.9142,21.8603,2.66387,238.552,64.9688,100.57,22.7436,1.59932,40.6652,36.3437,14.4209,22.4805,3.00829,327.805,77.1429,113.269,22.4367,2.16089,54.2148,45.5893,17.1164,24.4918,3.19091,934.59,247.671,159.032,37.3397,1.84081,105.641,89.6779,26.6437,35.3543,6.9511,997.768,164.918,180.474,57.611,2.20278,78.0503,64.1124,24.9634,31.54,7.91928,347.776,94.5787,117.585,28.9306,2.16378,50.0058,49.4665,17.5694,23.2651,7.19362,422.225,98.6027,102.111,28.1819,2.65442,56.623,53.9858,18.1595,22.7511,5.83585,295.201,70.9146,81.8285,26.5354,1.82329,44.4527,42.1299,13.9823,18.4052,5.29789,705.908,128.153,189.83,307.407,22.7023,86.5374,58.2135,26.6255,52.36,19.4129,697.666,213.595,190.257,143.076,11.7286,81.1371,77.3323,24.8153,39.8969,12.0263,738.733,163.619,117.719,40.2935,2.02472,90.6687,79.6493,23.8153,28.9732,5.45843,349.108,96.5741,90.1793,33.9962,1.39265,58.4449,47.4031,15.5581,20.787,4.73039,235.699,56.8049,60.8329,28.0138,1.75119,35.8217,33.4138,12.0151,17.5577,3.40798,1032.66,165.001,167.767,57.0442,1.70426,82.4502,60.4646,24.8206,31.7184,5.11448
decoupled_wbc_h070_p000,2572,complete,90,18,9.39624,2.82732,0.0161455,0.0585432,266.581,95.0278,104.518,30.5753,2.13935,46.1944,49.2678,16.4913,25.6134,4.08804,373.245,89.4125,95.7997,36.948,1.90307,55.4594,45.3453,16.1433,20.3635,3.75043,249.491,64.0196,74.9812,35.3036,1.37129,40.6852,31.2627,12.414,17.5097,3.36739,344.177,99.9446,86.915,22.5182,2.00569,51.7915,52.6116,16.1092,20.205,3.15796,660.632,169.865,166.285,61.7691,2.21826,88.3162,77.968,24.1555,31.0303,5.086,263.238,92.1906,133.023,32.1889,1.97823,46.3444,46.6461,16.6874,26.8229,3.52079,195.536,61.7823,73.1663,33.7572,1.70746,30.3289,32.4712,11.248,21.0455,2.82098,197.816,55.9944,65.8896,23.3239,2.6328,32.4439,31.9615,11.054,18.3903,3.03686,867.018,196.955,161.463,29.8305,2.81104,101.885,79.0881,25.3932,39.8071,8.60872,640.411,147.571,135.951,33.8033,2.23279,84.5509,68.845,21.4375,36.5627,6.59659,694.421,193.424,177.75,167.322,13.8544,90.6351,72.7721,26.3199,55.0659,15.6048,338.891,81.1251,105.124,33.4832,1.70709,47.8294,42.4058,15.0613,23.4376,3.93576,504.534,76.266,112.784,48.5746,1.41979,57.4018,41.714,15.4408,24.7638,3.62621,405.212,94.5619,117.266,65.5255,1.45988,63.9354,48.6597,17.7792,33.198,4.10109,484.911,130.62,97.9615,42.527,1.8348,61.3903,59.7154,17.7442,26.1136,4.34239,321.376,135.456,82.6282,44.3245,1.85489,46.5168,43.3487,13.9062,21.5878,3.82224,386.119,100.567,86.7596,44.1957,1.86823,53.1422,48.5494,14.8471,23.0953,3.85246,567.265,140.966,86.9148,39.7981,2.25524,61.5248,52.4062,17.3692,21.79,5.54786
decoupled_wbc_h070_p000,2573,fell,40.84,9,24.015,18.3952,1.89877,1.43453,519.23,110.572,115.186,47.1739,2.23569,70.4975,63.7367,19.8356,31.6741,4.84922,252.112,64.8787,63.2626,21.8535,1.99647,38.7358,37.5626,11.608,20.2856,3.5542,375.269,78.5663,109.209,34.4359,2.42914,54.7321,46.2149,17.2107,24.8735,5.31387,303.002,73.4368,96.6346,33.0473,1.57578,44.4672,39.9778,14.4237,21.2195,3.71858,682.179,154.757,112.17,112.517,2.34497,81.9011,78.1189,21.0831,28.7556,4.76651,351.865,98.7128,109.692,19.5687,1.50926,54.2858,49.3257,17.3835,23.1124,4.01728,333.39,102.442,122.906,25.1969,2.6502,56.7846,53.1933,18.0995,26.4578,4.01196,479.064,127.27,116.358,31.3536,1.48174,66.2334,68.7472,18.7965,26.5536,4.91661,3997.1,305.156,585.896,129.785,2.64872,163.487,74.2937,44.3672,44.5409,9.17994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
