policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2
decoupled_wbc_h066_p000,3584,fell,50.6,11,11.3171,11.3123,3.0449,2.96583,153.363,27.2486,5.49748,11.599,1.96279,17.4665,14.3179,3.65712,6.10102,1.38532,130.509,19.4565,6.95306,13.2043,0.893032,18.1526,9.22015,3.58398,6.30352,1.27925,252.749,33.1081,13.6339,60.3222,1.7098,35.538,24.3947,4.6079,12.3598,2.76945,164.908,24.0384,9.55367,18.654,1.28198,26.1748,14.7881,4.42147,8.35104,1.8046,136.99,50.8476,10.8773,21.1161,0.744147,21.0557,19.5999,4.07954,8.11621,1.51162,121.162,19.7852,7.24163,20.411,1.01173,17.3055,12.3432,2.89712,5.52377,1.80878,196.477,36.7819,11.6623,26.8147,1.22079,26.6935,22.5196,4.46104,9.35852,1.56382,223.656,31.1699,8.28939,25.4643,1.60101,32.7924,17.9593,4.91164,8.41663,1.16062,67.3727,10.0463,3.75985,16.4106,1.03697,7.03436,5.91347,1.58756,3.4769,0.849804,125.703,15.2759,6.95201,16.8399,0.966145,18.9961,10.7155,3.14684,5.55149,1.20066,1903.23,96.2945,240.941,248.645,133.104,63.5199,20.2161,15.5871,36.2112,18.1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decoupled_wbc_h066_p000,3585,complete,90,18,7.89654,5.56879,0.0216863,0.0349407,294.978,50.0859,11.1718,12.4964,1.49486,37.3973,27.5219,6.28189,11.1916,1.82722,156.676,27.3815,9.50253,18.6022,1.98806,23.405,16.0623,4.6803,7.89821,1.97877,104.769,23.4727,5.18488,10.6276,1.97806,15.4995,13.3693,2.50342,5.12257,3.36585,214.076,49.2696,16.4335,19.2097,1.72435,28.1468,24.7318,4.63034,7.78509,3.66027,153.369,48.1196,13.8179,19.8791,1.58545,24.1451,17.6673,4.93922,8.07547,1.90896,221.531,45.6108,13.3534,20.3663,1.51252,30.738,26.2307,4.63951,9.29361,1.66334,148.728,21.9248,9.06741,33.5205,2.21358,23.4762,15.9733,3.63654,8.4862,2.15825,235.872,38.3709,18.7342,23.6049,1.33498,29.9249,23.3066,5.00458,9.05484,2.38332,417.899,132.125,36.5308,27.8823,2.23644,49.96,43.7278,8.65787,14.1862,5.568,94.2598,16.707,7.88731,20.4767,3.0861,12.6309,10.4632,2.55275,5.086,3.55692,616.527,160.261,101.587,167.198,134.462,65.8343,59.5399,12.9113,40.8552,13.0321,176.185,29.2036,7.95674,17.0915,1.03644,26.8899,15.8396,4.56605,8.92808,2.60405,271.428,43.4279,23.4811,144.464,2.29787,34.0677,25.8452,5.55748,21.0367,5.01378,149.902,25.0348,10.5396,16.4623,1.14896,24.5574,17.5064,4.32477,7.13208,1.39471,146.314,22.8564,16.8841,22.0759,3.02243,20.4526,13.4631,3.7887,9.97486,3.883,173.83,46.2155,11.5704,18.7402,1.03464,25.1822,21.4683,4.79677,8.38431,1.30465,150.49,35.1411,13.2672,22.4142,1.45303,21.1246,15.5584,4.09813,5.71006,1.16495,130.749,36.6266,28.7069,26.7928,0.692368,16.081,14.3201,3.6503,6.05028,1.08496
decoupled_wbc_h066_p000,3586,complete,90,18,7.93646,6.95674,0.00918962,0.0127177,108.778,28.496,6.80048,11.9346,6.40981,13.0857,10.2756,2.99827,6.81101,3.93101,202.331,46.4039,10.9494,30.5394,1.71804,28.268,26.4011,4.8364,11.0462,2.77692,67.2373,12.9852,3.95965,15.3995,2.64909,10.5521,7.17558,2.19341,7.15517,3.94356,207.463,54.4499,15.4974,35.8004,81.9114,34.3112,27.5679,5.59521,14.9047,5.73648,309.531,78.6308,19.1027,31.4963,1.37587,42.0596,34.213,6.77706,15.5309,2.38634,212.302,45.3293,11.1833,15.0275,0.910591,31.1459,21.5329,5.29289,9.5664,1.57325,320.627,50.4504,10.9251,12.8069,1.33281,41.5104,31.8437,5.79924,13.3849,2.18629,229.566,42.1043,9.68775,13.0462,0.865837,27.6563,19.847,5.24491,11.326,1.84244,189.531,28.5237,6.57309,16.651,2.05746,27.8227,17.7844,4.07647,8.0092,2.59694,219.568,28.9241,12.5152,16.3414,1.98602,30.3879,18.3003,5.45329,7.42046,4.34211,267.58,42.943,11.6884,19.6712,1.9329,33.6567,22.0862,5.57684,11.8221,5.90021,252.588,50.7024,27.5405,33.1715,5.89635,35.5253,24.5537,6.53592,14.2033,6.87334,235.031,47.9141,14.5055,22.7707,0.603333,30.9618,20.3627,5.84832,9.51342,1.45606,200.066,30.841,14.8994,22.4444,0.906456,23.5544,13.8606,4.22736,7.46509,2.37797,470.997,76.3314,37.8651,53.6684,2.52467,46.1494,34.435,8.0483,17.5988,4.34132,227.02,40.7563,12.8525,25.1602,0.826294,28.9212,22.6348,3.98305,8.31494,1.85287,106.269,14.8371,6.21875,22.6406,0.971497,14.6108,9.87931,2.58902,5.20656,1.31696,187.323,41.3896,29.9482,27.2907,2.71184,22.475,16.9823,5.0428,7.58975,2.03288
decoupled_wbc_h066_p000,3587,complete,90,18,8.03321,5.7115,0.012777,0.017888,122.809,23.7146,6.78028,8.34874,1.63966,13.7156,10.8996,3.34204,6.38367,3.73758,101.548,17.4647,13.3471,40.1364,3.37049,14.9721,11.2002,3.45544,8.35354,4.68484,73.7085,17.7234,5.88431,20.0527,1.00107,9.72748,9.71196,2.00677,3.64491,1.0207,194.095,31.9303,10.5339,17.2728,1.23072,27.6187,19.4959,4.3505,7.4462,2.78586,246.754,53.6915,13.6114,26.4114,1.47968,33.8267,29.4662,5.58938,9.84597,3.14503,108.618,17.3715,7.11526,14.9655,1.29743,15.9583,13.0164,2.49806,4.31109,1.36884,176.543,36.6954,12.3674,12.8207,1.68336,21.8796,14.2988,4.32099,8.11325,2.64351,237.026,58.8407,12.0944,22.1103,3.46159,34.8804,30.4899,5.68243,8.46011,3.90636,202.293,40.4579,8.65517,16.1301,1.42943,26.1356,21.3511,4.4235,11.493,3.32852,269.63,40.1465,11.4232,10.2518,0.916498,36.7165,25.7593,5.72438,10.2315,5.31219,178.397,29.559,10.9449,18.7703,1.04834,23.0942,17.6503,3.8092,6.05183,2.0589,2031.85,201.347,214.125,248.125,140.833,93.5152,54.2653,21.5571,43.1739,19.033,159.476,31.0622,11.9715,16.0211,1.05632,20.0349,17.4274,4.07696,7.41325,3.28991,261.446,50.8022,21.6973,19.623,1.30844,36.4635,23.3018,5.90941,9.77845,2.75979,291.932,85.6628,33.58,29.1651,1.56036,32.8597,27.8422,6.009,11.6732,3.28232,283.951,53.9689,17.609,124.432,2.36478,34.5538,20.2779,6.65929,20.8052,5.86177,258.696,72.1139,22.4411,16.0594,1.15302,30.9557,24.2208,6.11063,9.70652,2.2243,243.33,44.7932,27.0409,172.159,518.003,34.0664,26.0416,6.21387,26.3891,24.9718
decoupled_wbc_h066_p000,3588,complete,90,18,8.26224,3.93316,0.00118415,0.00133947,131.229,19.9208,6.76142,21.6085,2.43909,14.7497,9.99069,3.1417,7.4623,4.07901,136.853,20.7851,5.00767,9.44785,2.01929,18.556,13.7863,2.9561,7.46604,5.78494,216.528,41.6043,13.4444,20.0653,1.14795,31.2404,23.7275,4.61664,8.47732,1.52666,246.829,57.9455,16.0333,25.2847,1.22089,34.9597,31.5349,5.87826,9.64454,1.39681,135.377,36.4377,13.2264,23.876,1.72766,18.1748,14.9047,3.64627,5.36906,1.63206,157.54,41.6736,9.01853,15.8947,1.76219,21.2871,22.3854,3.85548,5.48787,2.14737,93.1243,20.4332,5.74014,12.8842,1.48975,11.6805,8.0535,2.14185,5.16468,2.3342,239.536,47.3821,16.293,53.5592,3.43647,32.8344,25.3438,4.70008,12.3182,4.78901,193.012,42.7814,11.0569,8.34694,1.61821,29.1103,19.3705,4.31595,6.14298,2.8519,238.164,59.9052,26.5016,14.4598,2.10366,33.7564,24.8063,5.98077,10.3645,3.41266,162.017,35.8065,12.9044,15.231,1.43475,20.7801,16.8138,3.66539,6.49761,2.63044,176.203,31.8608,13.568,42.2762,2.91619,27.5448,18.2505,4.66027,11.2404,5.35194,141.169,34.3367,10.4055,15.6313,0.881018,21.0144,15.7711,3.47432,5.29863,2.38061,149.726,24.0436,10.5432,23.534,1.29466,23.2686,14.8318,3.90414,6.69421,1.20659,383.156,117.673,39.4574,53.791,2.36763,52.2371,50.7548,8.72488,15.5256,4.58077,505.878,133.456,37.1556,22.7875,0.760183,62.3518,54.6495,11.7848,18.4328,3.23537,227.292,53.7173,41.9135,168.125,16.1885,30.2317,19.0221,6.63761,16.8641,8.34241,10.6033,2.01807,0.530487,8.33856,1.09479,0.59225,0.804312,0.279922,1.38661,1.0372
decoupled_wbc_h066_p000,3589,complete,90,18,8.02165,5.3834,0.00601105,0.0078433,177.304,46.8158,9.34334,13.3811,0.879948,26.2254,18.9356,4.98494,8.85958,1.96127,152.126,29.4126,10.3579,9.16353,1.20995,22.1441,13.8726,4.67779,7.49236,2.36094,129.767,22.0279,7.8871,21.1498,3.31618,20.9372,13.0195,3.58897,7.37862,4.28971,226.443,49.8845,13.5838,30.659,4.80464,30.1769,26.8858,4.59366,6.6637,3.66771,241.998,51.1579,29.4047,28.0134,2.47874,28.142,22.5678,5.24124,10.5261,6.33854,219.301,50.6517,16.1382,39.9968,2.98694,31.1283,22.7441,4.25416,10.6215,4.22141,70.1927,14.1495,6.61914,14.7959,0.956676,9.29797,6.78894,1.65926,3.74619,1.81436,193.645,45.2459,12.2835,14.1314,3.24457,25.0293,22.2745,4.12023,6.71265,3.41238,330.376,72.9081,48.8942,72.4447,45.9518,37.0949,31.0556,7.42643,21.7662,10.7919,336.595,105.687,60.0075,36.078,19.0373,42.4838,40.6395,6.57275,8.90502,5.00482,173.993,39.2337,16.1887,19.343,5.49918,23.3635,21.0688,3.99482,7.1493,3.96708,133.193,30.1263,10.5672,12.1723,0.972809,18.8569,12.7663,3.78591,5.57761,1.70979,177.769,40.3777,19.6131,16.9846,1.19212,22.3177,19.3384,4.48268,7.20977,3.09047,475.57,86.3242,28.1239,21.4915,1.22941,47.4968,37.4761,8.01411,13.8839,5.70037,575.616,101.416,65.9381,66.8902,8.70506,51.0435,37.1726,9.30378,20.5489,11.1553,227.749,66.8383,42.2141,21.5178,1.86931,31.0398,24.2417,5.86855,11.475,3.75936,218.392,50.9182,24.3196,110.876,8.05506,31.6501,23.2537,6.89932,20.3745,9.13659,132.008,29.5914,10.1127,34.9249,6.25417,17.5576,12.2695,3.35755,5.65734,3.22509
decoupled_wbc_h066_p000,3590,complete,90,18,7.73973,5.75682,0.0106026,0.0139117,112.157,33.0993,6.10342,12.3319,1.38299,11.5149,10.0124,2.87089,5.07465,1.71178,118.307,21.9574,5.23888,16.2395,1.54714,16.488,10.9346,2.73697,6.21373,1.25488,272.261,46.3475,14.3971,44.0522,2.12059,37.2291,28.5735,5.42568,14.8548,2.65033,172.094,34.428,8.98571,17.2335,1.38279,26.1128,16.1245,4.56102,9.70494,2.61417,153.588,26.5707,10.1371,45.0992,2.86187,20.9748,15.1264,3.55731,13.1568,3.83628,291.979,57.1728,14.9791,20.1013,4.62598,41.3964,31.398,5.95885,12.8264,7.29506,319.632,66.3692,47.0503,36.9993,2.14549,36.6077,26.2501,6.33811,16.4153,5.2051,141.179,31.8007,20.5116,78.6193,2.2856,19.603,16.6101,3.99065,13.4063,2.60155,194.992,44.3891,16.4442,113.096,2.42348,21.994,22.4003,4.38503,17.0708,2.61047,160.774,26.8069,12.6938,82.3517,3.78831,19.6042,12.726,3.91906,12.9292,3.90342,130.303,28.1791,8.35657,18.2268,0.929106,19.1961,14.231,2.91711,7.1837,1.48631,211.495,43.3979,18.0794,26.0924,2.1869,29.8139,21.6373,5.10335,11.3708,3.19712,377.522,72.6817,23.1614,27.1399,0.852425,48.0078,36.7612,6.47969,15.0426,3.1255,274.123,56.0822,17.437,37.8558,3.03605,35.5738,25.4577,6.37041,14.2463,5.25074,188.498,35.9387,12.9624,28.4715,5.41177,24.5473,20.6584,4.1496,6.92619,4.41138,328.523,57.6601,20.1208,28.9658,1.38336,44.7565,28.2243,7.12756,12.3547,2.5567,105.371,22.3735,8.17627,22.0652,0.952385,18.6213,15.572,2.85951,4.84719,1.53447,119.005,18.7187,36.9746,18.1489,1.2973,15.1688,10.9431,2.80962,4.46762,1.6956
decoupled_wbc_h066_p000,3591,fell,31.28,7,21.198,29.0946,1.92562,1.03615,225.077,32.4417,10.3124,18.6135,1.28017,28.6244,18.3989,5.45071,9.70241,2.14468,189.539,44.0955,10.4534,17.2845,1.3735,22.5963,24.7999,4.48989,10.5518,1.60866,189.105,33.1688,8.07938,11.1972,1.76884,25.9081,15.4037,4.87643,9.4371,1.75899,118.625,17.9833,6.79863,10.334,1.68032,17.6229,11.2565,3.38965,6.83431,1.89711,118.217,23.8258,5.60473,13.7399,1.21795,14.738,12.7322,2.62359,5.01054,1.56661,165.435,23.5623,8.80223,14.1992,1.41069,27.7047,14.9213,4.96273,7.09399,2.98751,3385.03,669.915,526.207,78.574,10.8451,147.593,79.0006,31.1929,53.8326,13.0289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decoupled_wbc_h066_p000,3592,fell,55.88,12,9.88548,10.945,1.07906,2.14295,189.431,33.6192,9.25037,14.8127,1.2269,26.6184,20.3019,4.82152,9.30866,3.14843,204.902,34.8311,10.5336,34.6646,1.93407,27.8251,19.9658,4.36423,11.6339,3.42086,65.1088,14.5454,5.79424,18.3617,1.53113,9.07607,8.06961,2.08497,5.35042,2.79729,151.681,25.5479,10.5312,28.4295,5.48129,24.0144,16.1671,3.66332,8.95063,4.79474,187.966,32.548,15.7457,29.8953,4.99595,29.2106,18.5938,5.3788,9.89846,5.43417,136.928,46.4745,18.4651,31.9563,1.80794,20.537,18.31,4.14853,12.4122,4.59802,356.046,63.8721,17.5195,15.3753,1.31952,41.1953,31.5009,6.89728,11.3611,4.21815,187.959,34.9563,12.2492,17.7095,1.25867,24.4716,15.5884,4.32522,7.18405,1.81804,174.686,25.7557,9.59595,19.605,3.87955,27.0904,16.9142,4.59928,8.19557,3.78462,142.234,21.6912,9.30444,17.7775,2.69522,22.7798,14.8437,3.93527,8.32516,5.05534,154.763,30.0698,11.4498,12.2857,2.27757,19.862,13.5486,3.25778,8.36456,5.10528,1306.17,103.109,61.4289,6.70346,0.187336,27.9299,17.3675,5.32315,5.33178,0.924898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decoupled_wbc_h066_p000,3593,complete,90,18,8.2603,5.34451,0.0187349,0.0235542,207.413,40.4672,9.74038,10.9861,1.66302,31.1394,21.2435,5.4191,10.3151,3.18079,112.686,29.7601,7.41841,17.0121,2.90807,15.0371,9.67242,2.85337,7.25274,4.09997,118.14,18.9098,7.48285,10.1361,2.19247,16.6268,12.3115,2.82838,5.51101,3.95752,71.3453,11.4681,5.30854,13.5546,1.90273,9.337,7.04046,2.00553,5.50963,2.9379,116.166,44.6285,16.0518,13.8516,1.14791,18.3281,14.9126,4.47877,9.37878,2.59159,190.825,23.4107,11.3881,12.1893,2.50885,29.1529,16.7486,4.68882,8.55646,4.48625,173.531,26.0723,9.03164,14.128,1.34386,25.5953,15.7776,4.14602,7.0551,2.33699,261.176,89.876,25.4678,13.6062,1.08278,35.2776,31.4927,6.64568,13.0044,3.23109,200.883,33.1696,11.9525,13.4833,0.841256,29.0761,17.9586,5.37566,9.4102,1.74923,115.15,28.1794,7.80379,9.41553,0.919105,18.3167,14.3682,3.52505,6.75027,1.43305,70.908,9.00092,4.89488,10.2594,1.81901,9.09486,5.51106,1.52413,3.14554,1.17372,485.743,81.3365,28.7916,18.5362,1.20773,54.3158,42.6668,10.1534,19.3114,4.12045,432.752,81.5097,24.5134,56.1536,1.52237,44.8502,38.4166,8.12102,21.4653,3.13441,293.18,54.2307,27.4343,131.923,2.56009,35.0329,25.6767,7.04239,22.6938,4.32714,335.939,57.8063,183.185,440.672,143.012,39.6637,27.6522,10.2721,42.1328,15.1072,400.561,68.4024,18.7603,17.969,0.860107,39.5201,31.9488,6.31691,8.64972,2.26217,482.102,90.6491,98.8019,299.442,10.1768,54.7969,42.6884,10.8999,29.879,9.74898,178.288,36.5714,12.8458,19.7544,1.08345,27.8235,21.8678,4.25715,7.85938,1.91547
decoupled_wbc_h066_p000,3594,complete,90,18,6.92536,5.55049,0.00079515,0.000208108,150.703,26.1037,6.32681,8.30163,1.83983,17.0299,13.6894,3.69376,6.76351,1.73277,120.931,26.1446,8.4244,22.3696,3.01996,17.9457,12.7614,3.58112,9.85655,3.25242,191.156,30.1795,9.15356,25.8719,1.31276,26.0814,17.0936,4.56895,9.9537,2.86271,91.5588,14.8558,4.67365,14.3971,1.29901,15.2843,11.0633,2.57061,4.61565,2.4535,204.05,46.027,9.59623,12.691,1.76551,28.7855,27.367,5.03187,7.18135,5.39161,324.689,43.7218,10.0274,14.7142,4.43987,42.6475,29.1891,6.18384,7.69673,4.62,65.41,7.41408,3.02311,9.76645,6.05848,10.0763,5.52666,2.10711,2.54764,2.66585,211.741,35.7421,7.65361,6.88198,2.08727,29.8254,22.4617,4.72185,5.71965,3.59402,252.056,86.9256,16.3498,51.8021,1.61026,31.4947,28.4088,5.60699,12.647,3.01418,102.559,16.1301,6.24665,9.97192,2.23283,12.8837,8.23169,2.84659,4.20995,2.9725,121.213,19.8328,9.55864,9.72849,1.51319,19.7892,13.119,3.69245,4.71995,2.83588,286.249,93.1161,20.2866,72.5546,2.29659,42.592,34.0439,7.24505,18.9938,4.23226,162.747,40.2197,8.38652,14.0632,1.05645,20.9406,15.4838,3.87829,5.84987,1.67284,270.963,51.7594,14.5456,21.7252,0.917398,39.1234,30.1655,6.4301,10.5368,2.23113,56.6313,5.76373,3.30475,30.1022,1.13357,6.02188,3.93022,1.68454,5.93065,1.81443,220.031,53.0021,34.7273,17.1697,1.66747,30.1335,21.3833,5.7659,9.1633,2.60793,196.091,37.5793,14.2166,15.2342,1.22087,26.8319,20.8459,4.78839,7.84991,2.19398,175.513,29.2987,11.0016,8.46185,1.86986,23.8754,21.1916,3.92877,7.79139,5.46728
decoupled_wbc_h066_p000,3595,fell,60.6,13,16.3507,11.8992,2.03724,2.3654,147.933,32.6159,8.16903,8.54158,1.67046,17.656,12.5897,3.4309,6.43811,1.76792,218.568,32.841,10.2738,30.0615,1.65781,29.8254,23.3603,4.09083,10.821,2.56714,59.1605,10.9676,2.95227,11.1121,1.78936,8.12842,6.31043,1.73503,4.44067,2.46586,88.7956,10.6239,4.25467,17.7525,1.55143,13.4713,7.98695,2.17001,6.34312,2.49992,55.9278,14.3826,4.51416,11.689,1.05323,8.32711,7.24584,1.75948,3.81039,2.38835,209.212,42.1852,11.9317,43.5331,1.59027,28.0503,22.2829,4.6262,12.946,4.40248,131.208,20.4792,10.6007,16.5129,1.3226,14.4335,11.4617,2.89644,4.64948,1.40038,96.9854,44.7205,9.72258,18.2676,1.2013,15.5362,15.7169,3.16078,4.86933,0.931086,241.253,58.9839,26.4767,83.4887,79.1071,33.9737,27.8605,6.00012,22.6593,11.6526,260.497,45.9364,15.7099,22.1814,0.963394,33.4318,23.3143,5.17854,9.68648,1.594,192.219,36.5902,13.6708,32.0941,2.09951,25.3538,17.5272,4.37695,10.091,2.06625,144.64,33.6918,12.7827,22.1752,1.10496,22.029,15.8638,3.83985,7.36504,1.21155,3293,355.807,212.316,79.6916,12.8908,92.1608,39.917,18.2816,23.0373,6.14863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decoupled_wbc_h066_p000,3596,complete,90,18,6.79116,4.43913,0.0242724,0.0320527,140.701,31.3699,5.67465,7.97605,1.27247,19.8687,13.6608,3.38504,6.10436,1.61332,121.479,17.0435,5.0336,8.35484,1.8304,15.5803,12.2282,2.65542,5.27398,1.39219,72.4651,11.2069,3.02177,7.96219,1.19418,11.4257,8.0441,1.84408,2.47817,1.35323,216.564,33.5065,10.6456,24.9165,1.64013,30.6569,19.7238,5.56143,9.47221,3.65476,223.692,56.5423,14.1555,68.7337,1.35562,28.5494,28.553,5.69544,17.861,5.15972,214.292,37.3418,12.9409,10.8751,1.02302,29.6969,22.6322,4.22748,6.73832,3.384,169.168,38.2029,9.15909,11.6412,1.2779,22.6142,21.0411,4.30766,7.67447,3.63314,138.15,22.5468,6.66357,7.88838,1.34591,18.5344,13.9398,2.75396,4.48818,2.00562,256.753,57.3783,18.9413,15.6987,1.20931,32.4071,27.8967,6.11308,9.11387,1.7346,260.793,35.7645,29.0023,81.48,9.12147,34.5873,23.5197,5.88052,16.2281,4.07752,186.672,32.6826,16.3676,27.6945,7.48874,25.4175,19.7271,4.76265,9.56012,6.6055,246.634,47.5898,12.8844,15.6138,1.46013,30.6986,21.627,4.76575,8.55659,2.79314,230.23,84.1424,17.4087,12.4792,1.90774,33.0345,28.1838,6.71962,10.6174,4.87294,254.455,57.2363,13.9201,16.0708,0.782166,33.0437,27.7474,5.40666,10.4006,2.21723,186.717,36.5774,9.88249,18.163,1.78807,25.1887,19.0774,3.61274,6.78375,3.19487,189.296,32.4242,13.2096,13.3076,2.09045,25.9222,17.1892,4.59563,6.85872,3.0072,90.4966,38.4656,17.2555,19.1879,2.29592,13.2496,11.4722,3.16457,7.65183,2.99241,197.102,56.4272,15.1629,21.4407,1.19713,29.1081,23.329,4.90634,7.40761,1.78236
