policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2
wbc_agile_velocity,3584,fell,50.66,11,10.5637,17.969,1.85797,4.00994,272.678,80.1463,9.74451,15.7959,1.98532,19.6554,49.1476,3.40106,6.85843,1.32333,173.614,40.1459,8.02395,14.4835,0.914473,15.5338,31.1185,3.09148,5.97493,1.00722,313.815,87.6659,15.3562,63.8033,1.68116,25.7687,52.6084,4.77671,11.5589,2.37925,226.547,57.4987,13.7946,21.7035,1.2705,18.8999,38.1223,3.78198,7.52085,1.50221,228.695,89.9188,14.697,22.9572,0.753428,21.5883,48.3037,4.28207,7.28693,1.45431,137.349,46.8065,8.68455,22.2849,1.00334,15.1838,40.5712,2.91837,5.12719,1.51569,284.602,61.9089,13.6345,28.4289,1.27641,21.0954,41.2312,3.7534,8.14527,1.25223,229.412,64.128,11.7633,25.1661,1.59559,19.0457,37.7082,3.75675,6.00227,1.11532,95.7162,32.303,5.89247,16.7401,1.0484,8.4102,21.3998,1.65676,3.59125,0.849679,345.837,54.6674,14.8593,22.6578,1.0072,27.3272,44.3139,5.13727,7.92459,1.53708,1253.64,102.689,252.478,223.939,66.5551,38.5053,45.2755,9.09904,27.8354,10.9026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,3585,complete,90,18,7.78715,3.41219,0.0136736,0.0242415,317.34,114.752,13.2951,15.659,1.4988,28.6094,68.9033,4.91411,8.6986,1.339,221.782,68.7092,11.4658,21.2623,2.01936,19.535,42.326,3.54961,6.44269,1.93399,162.09,57.9364,5.70843,10.9585,2.09496,12.3084,32.7839,2.05683,4.67798,3.53548,296.41,92.6865,16.5129,22.6991,2.45949,21.2387,49.4132,4.00245,6.85331,2.93742,314.262,116.805,25.2983,24.0065,1.614,31.7043,72.7113,6.39177,9.41347,2.49907,825.24,185.224,36.4569,38.5288,1.65155,48.7056,96.499,9.07974,13.7611,2.49541,453.289,83.7443,19.7271,34.9421,2.1691,29.4287,58.1323,5.42632,10.7786,2.4677,288.074,85.7075,15.9866,26.2425,1.24861,21.5575,45.7952,4.32072,6.83048,2.13901,905.818,337.552,43.4605,40.2357,2.80704,50.7097,111.788,9.41374,14.3393,7.71003,173.263,40.8792,9.32269,23.9045,3.25838,12.5229,23.5775,2.36277,4.79921,3.79431,637.377,189.619,143.979,160.68,130.346,48.4344,95.5889,9.83473,32.8387,11.4757,324.027,88.41,13.0437,18.221,1.05484,27.1778,56.1786,5.12844,8.40038,2.3891,445.72,102.441,28.7885,149.206,2.23399,27.4235,58.2052,5.2347,20.0478,4.65189,187.878,52.2838,12.6175,18.0947,1.16699,20.1152,36.6453,3.76454,5.90594,1.34283,716.363,132.879,38.3887,33.584,4.71248,42.3909,67.941,8.43928,14.2065,5.92663,383.313,127.501,15.2281,24.6014,1.06746,25.0754,54.5975,4.63874,6.92895,1.2923,393.329,176.619,20.133,29.822,1.48036,30.8923,71.2876,5.44209,7.69964,1.25748,143.068,67.4451,43.5727,27.821,0.718506,14.1546,28.6765,3.35032,5.92352,1.12393
wbc_agile_velocity,3586,complete,90,18,8.0941,3.86878,0.00537284,0.00836308,83.7036,34.6282,4.57534,12.1213,6.4882,9.05456,21.4472,1.44046,4.40832,2.83752,242.108,90.7774,11.476,37.0948,1.76397,20.7395,53.9347,3.67971,9.24988,2.20701,86.6133,17.2074,4.23568,17.7319,2.52989,7.40308,12.6997,1.53425,3.90065,1.18533,397.396,125.285,18.3418,40.1395,79.1148,29.4229,59.0907,5.14063,14.3225,5.53938,468.851,172.666,18.9756,38.081,1.38309,33.2175,76.724,5.78903,13.4031,2.13979,253.87,77.231,14.3621,17.9595,0.92038,23.9155,44.3658,4.5731,8.84121,1.59568,350.073,124.174,11.4025,14.9471,1.34104,24.7843,56.6769,4.37725,9.21171,1.5725,353.073,60.2062,14.2422,14.6205,0.869514,25.8406,39.9454,5.20546,10.6787,1.49994,150.209,47.9257,6.87389,17.3198,2.05605,16.481,35.7539,2.80875,5.25891,1.85982,328.262,78.6641,12.5792,16.6661,1.99225,25.5389,54.7112,4.79005,6.72077,4.11785,574.18,161.709,22.3918,22.2733,1.69464,43.2092,90.0435,8.11387,13.8138,6.06998,427.122,138.39,34.108,37.6968,4.1535,33.14,66.7788,7.15302,13.2747,6.65357,304.323,68.5431,20.0443,23.7382,0.603714,24.7865,48.6815,5.05267,8.68875,1.30477,384.022,101.027,32.8821,30.3996,0.969154,33.9125,64.4614,6.41701,10.5067,2.42103,1167.38,249.64,86.2801,73.2765,2.78685,68.1936,115.016,13.7784,25.4199,5.72317,218.155,69.9227,12.9044,27.6934,0.84243,21.8685,40.0367,4.17936,7.6937,1.89902,178.128,38.6666,9.20581,25.069,1.00023,15.1933,28.1934,2.89374,6.16552,1.54459,495.957,137.92,60.2055,37.1717,2.80487,32.0915,68.5071,7.18225,10.0811,3.22377
wbc_agile_velocity,3587,fell,81.04,17,8.1142,3.49655,0.610953,0.411545,195.617,80.6502,9.02785,12.0825,0.9212,20.0743,49.2078,3.5609,6.89567,2.65405,169.869,40.9663,13.2028,43.2476,4.28848,14.6557,27.9958,3.17049,7.96154,4.71605,98.6837,34.2969,7.24731,22.7041,0.997741,11.4874,23.825,2.32799,3.57079,1.11721,254.309,90.8013,14.9215,21.7109,1.1105,24.8826,52.66,4.38159,6.27536,1.95257,416.908,120.996,17.4174,35.0783,1.41729,27.1442,61.9558,4.67983,7.28959,2.14056,294.349,77.9003,11.6151,19.5191,1.282,19.3093,33.6421,3.75649,5.5399,1.21408,405.523,81.5486,17.3756,14.9182,1.56473,27.4743,46.052,5.91507,8.77697,2.24654,299.432,114.574,11.3634,26.3869,3.35751,22.8697,57.0874,4.06966,6.46298,3.40929,238.996,82.3435,11.7013,13.969,1.41124,18.5648,45.2172,3.83796,7.47104,2.70651,414.098,117.368,20.9551,13.8294,0.685658,35.9462,69.5549,6.45523,10.346,4.16286,253.455,72.558,14.4614,22.935,1.00422,20.904,48.5908,4.20804,5.90413,1.77352,1340.28,154.649,226.043,225.2,168.62,58.9273,85.403,14.4539,29.8892,15.8976,416.526,144.242,18.1681,19.6592,1.16371,28.7031,69.4452,5.24111,9.06103,4.89641,382.102,118.461,18.4677,23.8755,1.35748,29.5328,63.3771,5.88941,8.60133,2.85472,445.435,156.167,35.2783,36.8005,1.61192,33.1859,73.8195,6.96309,12.5805,3.66584,597.682,99.3778,29.0121,164.573,4.04619,35.8827,53.4893,8.44616,26.8053,7.32411,4407.84,295.788,378.071,78.1,8.31799,98.2045,96.0551,20.8133,34.565,8.67851,,,,,,,,,,
wbc_agile_velocity,3588,complete,90,18,11.2664,2.85846,0.00377393,0.00429994,135.811,49.3726,8.00156,23.4316,1.56466,15.918,36.5388,2.69681,7.8148,3.82523,190.001,57.6774,9.00174,11.2562,1.10527,15.6969,36.8608,3.01581,6.27245,2.81981,292.976,82.4543,14.2081,24.6865,1.1628,22.7245,47.1765,4.03832,5.39623,1.34202,387.924,147.99,16.3595,31.0328,1.22342,26.76,62.3443,4.80118,7.31161,1.25617,249.428,68.6203,19.478,27.7016,1.87181,23.8248,43.2366,5.19689,7.09271,2.52415,189.31,108.555,9.35543,17.6074,1.74334,18.0746,44.892,3.50084,4.78638,1.68029,127.884,29.6756,6.37386,13.174,1.49818,10.1946,14.6869,2.29549,5.2819,2.28368,456.925,149.432,26.9297,53.3503,3.55524,36.5935,73.5365,7.70624,12.4011,5.57211,154.647,45.9595,7.99789,8.20779,1.57914,13.9962,29.4257,2.75957,4.09944,1.97522,442.663,119.054,29.9402,15.2971,2.07532,32.2749,56.9803,6.45372,10.0464,3.20451,732.118,126.85,32.5433,20.8167,1.59938,37.4479,68.2093,7.3352,10.037,3.37735,266.121,73.4283,15.5467,44.1368,2.93668,20.8695,39.9465,4.45567,11.6146,5.50302,255.429,123.672,16.9095,20.8407,0.927197,24.6862,58.0186,5.04063,8.15563,3.37194,225.048,84.3322,14.4445,26.9871,1.29541,21.7294,46.1403,4.12933,7.09762,1.25781,653.889,220.882,38.2795,64.1917,2.56924,41.0495,86.6511,7.65942,14.6158,4.31573,597.937,226.719,31.889,30.1323,0.821964,45.9851,117.211,8.7008,12.1118,2.42316,1361.49,200.034,71.9138,173.328,27.6613,59.9552,108.717,12.0969,27.7531,15.7722,24.8477,8.99451,1.08005,8.08148,0.991058,2.28016,3.33031,0.473516,1.51887,0.911652
wbc_agile_velocity,3589,fell,31.62,7,23.8433,27.7078,1.68267,1.67121,309.91,93.3002,11.9693,16.524,0.86398,26.2381,58.1766,4.31135,7.85908,1.39693,204.484,62.9304,10.7481,9.55553,1.13943,19.3406,42.4374,4.00514,6.852,1.99759,268.035,50.7063,10.5022,23.3543,3.11659,19.9544,37.575,4.04088,7.23262,3.27115,211.471,69.6579,9.98914,32.8836,5.01664,16.1338,37.8297,3.08938,4.42839,3.20536,241.601,45.2829,41.4719,25.3798,1.69122,17.9388,28.9008,4.15126,9.21441,5.34776,312.214,91.1245,20.9604,43.298,1.96564,24.9064,50.9223,4.94323,11.4216,3.6747,4082.64,403.865,162.918,69.9564,1.201,108.663,133.151,18.9714,22.5026,5.1383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,3590,complete,90,18,7.54255,3.63562,0.0187348,0.021721,123.443,48.4103,6.60631,13.2827,1.42409,15.5486,34.447,2.56568,5.60125,1.35196,228.497,49.2064,10.0325,18.4405,1.54939,19.1904,37.4178,3.24603,7.33239,1.31761,451.34,142.364,21.2315,48.9553,2.15506,31.787,74.3879,5.29266,13.0962,2.40151,249.768,53.451,11.786,20.2359,1.38847,20.942,36.3741,3.9116,8.14149,1.68147,267.415,66.0892,15.3902,58.6272,3.10947,19.8697,39.7564,3.75049,12.1284,3.97051,599.541,150.263,28.4462,23.938,1.66337,41.0873,71.4494,7.83684,16.0586,5.41812,376.865,106.911,69.6247,42.3676,2.67925,27.5858,60.9191,5.637,15.0322,5.99796,588.375,98.6937,31.2477,99.3172,2.51793,29.864,56.5294,5.60169,16.674,3.13763,183.822,92.1212,15.7178,119.456,2.47083,16.2316,42.0584,3.37872,15.7959,2.36711,384.631,96.0705,17.9215,64.3367,11.9185,25.3461,48.1198,5.19938,15.7094,6.661,72.4934,21.9946,5.97542,16.9403,0.903439,8.45636,17.13,1.88374,4.57745,1.19832,310.17,64.1826,17.6491,27.11,2.14233,23.462,42.7405,4.87655,11.1092,4.08756,376.912,112.162,22.8622,39.4224,0.905396,26.7721,59.9231,4.88018,10.713,2.75199,388.375,93.6406,23.2454,44.6757,3.26748,29.1742,54.6863,5.83451,13.362,4.98661,175.717,79.4696,12.4095,30.7709,5.81933,16.1663,44.1568,3.34883,5.20964,3.69737,338.32,94.5051,19.0542,26.9532,1.31986,27.0164,59.0403,5.20666,7.82269,1.96673,117.204,36.5649,6.07828,21.7006,1.57744,9.86269,17.9307,2.10672,5.06891,3.40612,436.871,140.714,88.6517,27.4774,1.32593,31.5858,57.3818,6.53366,8.53283,2.28157
wbc_agile_velocity,3591,fell,70.56,15,14.3798,9.06317,1.96741,1.44669,287.184,98.8572,11.6752,20.4715,1.30131,26.1823,59.9682,4.77354,8.06835,1.90025,154.656,86.2067,7.54827,17.5497,1.35401,14.533,39.1185,2.66492,6.15538,1.09591,337.821,69.3527,10.7794,12.4718,1.82201,22.4631,45.7035,4.22237,8.6657,1.72522,292.958,69.0401,12.7559,12.797,1.74987,24.173,37.684,4.22863,8.65351,2.25561,168.264,79.096,5.22793,14.1939,1.21556,13.5402,30.772,2.47647,5.36325,1.52887,535.021,91.5375,20.0486,16.3667,1.63381,34.659,58.4616,6.41649,9.08527,4.18401,228.166,43.5758,7.45902,10.7691,0.868642,17.8662,34.3444,3.66955,4.17873,2.38728,425.252,113.796,13.5901,12.2725,1.94182,33.7008,69.1496,5.85018,7.75862,2.9353,294.064,79.5634,8.90176,12.9799,2.01811,24.1134,52.5224,4.18084,5.33589,3.89006,416.731,84.957,19.4409,40.2959,2.30673,28.2181,53.7412,6.53605,14.0105,5.80563,685.814,178.413,29.5866,39.9467,1.15261,45.2758,97.2062,8.17922,14.0357,2.58653,216.198,71.6494,13.1228,28.7186,1.31185,18.3084,42.3107,3.5775,5.57662,1.45511,185.113,51.5238,13.1071,27.1291,1.39397,17.6032,28.4112,3.48402,5.32458,1.09225,325.707,95.9006,21.0664,25.3375,1.06524,24.914,47.7478,4.73673,8.4308,1.85992,780.754,145.258,40.2683,96.6358,68.0273,24.796,32.9633,4.23914,17.9863,17.2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,3592,fell,55.5,12,10.6494,6.27812,0.839915,2.53571,289.839,81.5483,11.8226,18.1028,1.29426,27.1422,54.8843,4.72472,8.96878,2.89819,377.403,99.4975,16.591,38.0296,1.89052,27.7286,56.3014,5.21492,12.8854,4.32108,84.0028,43.0117,5.12826,19.2482,1.49701,7.57222,18.767,1.63031,4.53083,2.48638,296.206,61.3975,18.3835,29.2679,5.20159,21.8106,36.3846,4.29603,9.97577,5.08605,312.436,85.2387,19.6204,20.6887,3.29916,26.9747,57.9473,5.60011,10.1645,4.41276,317.698,110.024,14.6719,33.6899,2.29636,21.4074,44.6199,4.48657,11.202,5.34501,349.162,60.4483,14.3127,16.1861,0.999126,27.0047,45.6736,5.01395,8.56462,2.23795,265.816,55.2703,15.4791,19.6436,1.00338,21.1207,37.9215,4.17797,6.48863,1.80491,289.34,74.0135,14.1474,25.2961,3.69052,25.4002,49.8332,4.99415,9.29054,4.24825,296.165,57.5599,13.1896,18.9988,2.86712,24.0834,42.3638,4.3954,8.88295,5.88038,180.966,59.3702,12.5152,13.0215,1.16191,16.5422,29.9761,3.31742,6.87786,3.93365,635.267,29.669,38.2806,8.24652,8.08036,29.1196,18.6631,3.72381,4.99235,1.83876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,3593,fell,56.2,12,21.6684,15.5963,3.63519,4.14868,235.149,77.7657,11.6461,14.257,1.23057,25.3504,53.16,4.13901,7.96121,1.76843,95.616,26.8099,6.95637,16.4744,2.92494,11.8641,19.4103,2.42338,6.06599,4.33182,148.906,54.3947,9.37949,11.7204,2.3065,15.6293,32.3661,2.97609,5.55585,4.01304,73.3598,25.1826,5.89009,14.9932,1.93967,8.5532,18.4508,2.03605,5.6679,3.24747,171.205,76.9388,17.2729,14.6098,1.07362,20.8717,40.1241,4.66976,8.86029,2.53929,360.066,102.768,14.333,13.3589,2.20037,30.0231,59.951,5.35052,9.9606,4.46525,300.097,71.7538,11.3603,14.9444,1.36584,22.7044,42.4153,4.23759,7.5695,2.40714,471.355,172.753,23.0994,15.9576,1.12911,34.5307,72.8784,6.49797,12.4963,2.94142,303.722,55.4349,12.6746,15.4715,0.850019,24.0242,41.5036,4.61277,8.69982,1.44538,204.274,74.2101,9.50009,10.9626,0.901611,19.0161,41.3916,3.2745,6.71861,1.40903,147.871,46.2233,7.36607,13.8524,1.84964,14.2554,33.0618,2.77582,4.41534,1.33169,2736.82,172.587,120.74,26.315,4.85428,72.5665,74.6466,14.5299,22.8893,7.62737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,3594,fell,60.82,13,13.2455,13.594,2.54176,4.16763,234.155,101.557,9.91929,11.6639,1.86137,21.3709,51.182,3.81757,6.74836,1.45868,206.852,96.9778,12.2239,25.2947,3.11111,22.8562,54.2051,4.52028,10.3772,3.30973,410.274,99.1128,14.5331,28.9126,1.34046,30.2057,59.4216,5.99841,11.6098,3.2448,270.223,74.5993,11.2052,20.8473,0.973159,20.2765,36.333,3.92886,6.30665,2.72729,371.156,126.933,10.7218,13.0968,1.63143,24.1839,60.5226,4.2731,6.30101,4.32728,400.942,97.1944,14.2653,14.8428,3.72545,29.4255,54.4665,5.48927,7.89788,4.77727,69.9069,20.3452,2.89019,9.84017,6.02322,7.13828,14.4821,1.52176,2.25553,2.86093,266.504,89.0778,9.6361,7.74735,2.09762,22.697,50.3185,4.11256,5.52255,3.46012,562.651,214.378,25.4282,60.7369,1.65532,37.976,77.4301,7.27315,14.8282,3.45444,178.121,33.7492,6.15922,10.3279,1.98596,12.1848,22.0689,2.63292,3.57028,2.15393,333.95,87.7479,12.7782,11.4613,1.49738,24.6147,45.9021,4.76996,6.64952,2.91096,604.584,220.508,26.0099,61.0277,2.1401,46.8886,94.845,8.86914,18.757,4.26246,749.698,112.456,52.4705,12.5718,0.493841,34.976,41.4508,6.42357,10.875,3.80339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,3595,complete,90,18,55.519,3.12391,0.463235,0.391078,188.638,44.6696,6.79084,8.81348,1.7389,15.0309,30.5097,2.52925,5.4149,1.81044,230.558,75.7737,9.78307,35.22,1.69888,18.7709,45.1083,3.39293,7.91503,1.81787,86.3991,17.6633,2.98145,11.6156,1.72051,7.73501,14.0302,1.57677,4.44338,2.72777,104.038,28.0522,4.66514,19.2146,1.58819,8.86912,16.6526,1.75584,5.30229,3.5626,55.7488,25.8447,3.49775,12.3235,0.977622,6.13973,13.2376,1.32377,3.04493,1.90734,282.382,85.5185,11.9799,44.8743,1.5423,21.6471,50.6409,4.21241,10.1678,3.43494,363.103,87.7422,16.5438,18.3418,1.33693,22.3954,46.4685,3.97652,5.24143,2.05228,237.061,108.543,15.432,23.5032,1.23545,22.4858,50.0473,4.49473,6.21414,1.41632,875.722,253.187,54.67,118.35,79.3004,53.1942,116.878,10.6858,27.0207,12.9734,193.816,53.256,11.7341,23.2054,0.979744,16.9065,34.533,3.3939,6.11052,1.3277,265.864,60.2173,17.2487,35.9687,2.1314,20.1399,40.3554,4.27211,9.34925,2.27777,201.542,87.0952,12.7632,25.1288,1.14781,19.4135,42.9296,3.54614,6.191,1.50051,591.446,183.076,23.7894,32.9228,1.62674,40.2347,81.8408,7.39267,11.2648,2.84874,383.869,99.3756,22.4563,29.6576,1.35172,28.9032,57.8526,5.76896,8.08857,2.12932,5162.7,589.996,137.817,64.3445,8.56199,200.163,244.847,36.5854,40.6347,13.3113,883.356,356.339,37.8916,22.5624,3.24353,64.0577,140.557,11.6016,15.6956,8.65045,834.258,253.781,28.533,16.6436,1.19409,53.6756,124.643,9.09875,14.0124,4.18471,792.034,331.63,40.1228,22.3105,1.63931,53.108,123.937,9.6974,13.9471,3.94181
wbc_agile_velocity,3596,complete,90,18,13.2529,3.01401,0.00280858,0.00575526,201.462,75.804,8.00435,10.8598,1.30735,19.3023,41.1762,3.00097,6.23472,1.6386,96.2611,31.1509,3.6245,8.38032,1.82137,8.79059,19.0183,1.6387,3.82788,1.0343,179.199,31.9007,6.19482,9.13219,1.20623,11.9123,24.2779,2.21851,2.91206,1.34176,306.64,80.9286,11.5841,27.4181,1.68514,24.48,57.1035,4.46851,9.01653,3.23421,573.795,203.223,22.2255,69.704,1.35531,40.6202,97.6052,8.05879,19.6436,5.26435,306.217,84.9127,14.1215,12.1236,1.00188,22.0743,46.1381,4.39321,5.7313,2.99662,673.014,158.585,26.374,18.6152,1.33089,35.0702,78.3275,6.20945,10.8642,4.40454,197.402,33.5317,9.12818,9.92249,1.33984,15.1113,20.7296,3.05354,4.3554,1.49511,393.463,138.402,20.0676,20.8269,1.22978,30.2461,70.3669,5.97875,8.23676,1.77809,1023.81,349.186,56.3264,101.101,8.95401,60.1599,126.23,11.8957,24.6407,5.22832,531.286,143.072,26.6976,33.3352,7.87441,37.7299,70.4755,8.03744,12.7626,6.856,502.704,105.602,19.3865,21.8674,1.55875,29.6004,58.7803,5.57518,9.06148,2.4951,509.297,228.879,27.9934,21.5232,2.32406,45.952,104.715,8.79596,12.9264,5.83827,387.845,136.55,19.9156,22.66,0.83416,28.0153,67.8233,5.31569,8.80677,1.97974,218.195,52.7565,11.6927,19.5268,2.39071,18.0845,29.4458,3.57048,6.49405,2.89632,207.468,51.6046,10.8343,14.5446,1.62308,18.794,36.289,3.89702,5.37728,2.1034,247.68,120.206,22.4555,27.168,2.72593,21.7985,50.3118,4.71109,10.6732,3.69669,283.047,99.9688,21.5693,24.5243,1.26062,27.8442,57.029,5.75086,7.33545,1.9928
wbc_agile_velocity,3597,complete,90,18,12.7166,3.47131,0.0203787,0.0263274,179.945,63.832,8.56479,16.6024,1.27251,18.7045,43.6612,3.1663,6.48551,1.16952,191.298,58.4389,10.5182,37.2761,2.05274,17.1811,37.3264,3.08142,8.51144,2.06606,284.693,93.9103,13.8755,25.1058,0.933615,24.4784,53.3426,4.39426,9.22884,1.38619,113.549,18.8397,7.15745,17.9638,1.08793,10.3984,14.3416,2.05027,4.85839,1.67524,322.266,83.2296,15.4824,12.5053,1.43643,24.6896,53.9043,5.21529,7.81348,3.23251,150.914,48.5853,7.88854,18.9965,1.21851,13.3733,29.3203,2.41508,3.60465,0.944884,400.701,136.918,20.1279,26.4382,0.928492,28.1303,60.1223,5.38548,7.79153,1.43734,1560.8,375.422,56.0223,59.1796,1.20961,72.5716,155.083,13.2577,19.662,3.46027,801.375,245.425,31.8921,18.8764,1.45526,53.5221,102.041,9.64355,14.635,6.43173,380.616,82.8885,16.6123,10.7834,1.06268,29.6967,56.3653,5.56903,8.08988,2.76407,286.796,60.4509,29.6804,16.3694,1.36786,20.1807,36.6855,4.33806,6.73459,1.6444,452.238,104.817,23.2122,28.869,26.3518,30.5338,53.842,7.12811,14.0563,9.20659,2291.25,317.083,119.81,47.4476,1.98086,71.9427,113.894,13.3017,28.1585,6.09308,1541.98,273.674,168.429,32.4356,2.28198,83.0685,136.967,16.4934,25.2231,6.72136,324.367,89.6881,18.4103,26.0328,1.69659,25.616,46.0863,5.10906,7.87477,2.26852,1159.68,253.522,45.5334,65.5425,2.15427,69.0296,132.139,13.5491,17.9208,5.44956,1145.83,260.938,161.036,38.0218,1.24978,62.4511,112.918,12.2861,14.6319,2.96043,263.023,91.3225,14.9398,24.4324,1.68775,22.3862,43.6992,4.37292,6.02859,1.00385
