policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2
gr00t_wbc_h074_p000,3072,fell,80.7,17,15.8834,5.76014,1.3431,0.73775,238.177,33.485,5.3166,12.441,1.28439,18.7073,11.7925,3.97141,7.77392,1.3022,361.853,43.5293,7.59582,23.7565,2.18485,25.3181,13.1902,5.269,14.2367,2.16346,309.617,24.6154,6.7753,41.1035,3.39599,23.8979,10.9933,4.71622,14.0638,2.85921,343.161,33.8023,7.60806,23.3476,1.58932,26.9044,14.45,5.68471,9.17932,2.35849,416.051,48.0563,13.5974,89.0109,4.88371,33.0904,20.8795,7.23821,17.664,4.79494,445.636,58.4409,10.7286,34.4496,1.81783,31.0613,15.6743,7.08608,12.2707,2.93392,338.507,41.2639,7.9418,49.9756,2.14288,23.6723,15.6317,4.3595,9.5298,3.5299,257.414,26.1631,5.23459,21.4752,1.92333,19.049,13.3136,3.52873,6.26145,2.07017,417.736,36.2772,12.7208,22.6061,2.30747,30.9663,16.8448,6.27786,9.80047,2.87093,535.02,88.4641,24.367,118.173,2.5774,39.6412,22.7001,8.00607,14.2908,4.48218,178.497,12.6183,5.80475,14.4765,1.76922,16.1973,8.74875,3.4408,6.11036,1.90366,291.625,36.9311,20.811,31.8599,1.56419,23.2495,10.8624,5.54055,12.2893,2.43242,562.993,57.1933,13.9721,19.4203,1.7426,40.1801,20.4704,8.22959,12.208,2.57758,632.772,70.3413,21.3963,15.9206,1.96287,48.5826,23.3557,9.69752,16.4342,4.08204,818.847,82.9556,36.7918,17.593,2.24392,61.3063,26.6674,12.8099,20.8013,4.53363,778.354,52.8195,23.0526,11.1272,2.6556,39.3472,18.5612,7.86205,12.9331,2.77821,2738.19,152.962,150.004,79.406,7.61887,83.7244,22.4891,14.8019,28.4847,8.17622,,,,,,,,,,
gr00t_wbc_h074_p000,3073,complete,90,18,9.00544,2.56912,0.016454,0.0207818,214.489,23.531,5.44095,13.4383,1.36273,19.1452,10.7187,3.79752,6.13229,1.23232,292.621,30.7389,8.04209,38.3174,1.72775,24.2931,10.5223,3.96129,12.8752,2.01045,453.736,43.6636,8.39364,15.6303,1.19381,35.1628,16.1815,6.85096,14.26,2.53806,159.153,23.0326,4.96086,53.6439,1.86651,11.7163,8.37224,2.45552,9.421,2.26012,224.351,22.1195,5.64721,47.5885,3.31253,19.1619,9.81806,4.10851,12.7823,2.93431,128.634,19.8696,5.04295,21.6261,1.85846,10.7988,5.60934,2.38491,5.49748,1.16557,229.231,30.3092,23.2468,156.35,6.15975,17.8383,11.5847,4.23453,19.821,7.19723,716.48,72.3354,24.1483,48.1143,2.67401,46.7617,18.5248,8.21491,21.1915,4.52264,150.749,29.9859,12.1662,55.0533,2.00146,11.2707,6.64475,2.61543,8.25523,2.39456,286.354,40.5134,18.1045,71.5511,4.31532,24.1608,12.195,5.61312,15.8618,3.3984,339.916,65.282,16.7039,26.1133,1.71142,23.7288,16.1644,5.19065,9.6888,1.68457,531.651,98.0402,21.5448,28.3342,1.48915,41.6814,23.9715,7.46829,13.4938,2.50886,398.218,48.859,17.2908,21.0351,1.92232,28.6521,15.2369,6.13334,13.6482,1.97579,413.022,79.0131,15.2558,35.7362,1.39221,31.3925,18.4137,6.62279,13.0884,2.45334,298.947,32.2841,14.1353,56.9602,2.24054,21.9132,12.4624,4.54081,11.0254,2.29398,124.961,14.4034,5.43088,16.2703,1.66663,11.9967,4.46872,3.15314,4.15245,1.38043,410.992,68.3572,14.7638,20.9528,1.77623,31.6678,18.3583,6.91577,11.4728,2.02659,262.569,35.2814,10.2242,18.9819,1.48577,19.4507,14.6225,4.24198,8.29752,1.1935
gr00t_wbc_h074_p000,3074,complete,90,18,9.42268,3.34335,0.0159364,0.0161091,319.849,23.4678,7.2192,14.4235,1.7494,32.8179,15.4225,6.12457,12.0314,2.01543,186.801,16.1952,9.70789,69.233,2.82142,16.9062,9.76295,3.20565,10.8418,2.3959,343.922,31.1077,11.3842,27.1768,1.60202,29.6151,15.854,5.32504,12.4807,1.62531,316.423,24.4189,9.06072,19.0237,2.04756,23.6421,12.1459,4.55238,7.63256,1.51527,268.788,26.2848,6.38852,34.9583,2.68594,23.1175,10.4617,4.98259,8.26391,2.11421,457.348,45.3954,11.2269,26.239,1.95347,36.439,16.4218,6.91276,11.3171,2.81511,585.861,134.095,19.809,26.805,1.93382,43.6905,26.1962,8.16161,12.9256,2.24505,294.884,31.4641,8.79218,22.7184,1.4474,20.3765,12.2221,3.86625,7.59341,1.583,1171.98,143.245,45.7198,78.5269,3.64524,80.5483,38.8256,11.283,22.9101,4.40016,198.545,22.1588,6.10434,13.9876,1.90471,16.5597,10.2663,3.04881,4.60493,1.1907,452.121,50.4556,11.1206,14.8019,1.42821,31.3906,17.059,5.86391,10.3896,1.81285,212.067,24.7506,5.43417,12.8615,1.49438,16.2471,8.73611,3.73471,5.40091,1.36809,1115.84,278.687,49.9111,102.85,3.83922,82.2431,54.426,14.989,21.0226,5.76649,281.083,31.4421,5.91045,19.628,2.34667,20.3506,11.1793,4.08873,6.06575,2.22354,647.78,114.654,20.2684,26.7043,1.82874,47.9633,28.9772,8.43309,13.7359,2.72823,427.402,45.0321,17.6052,59.3979,1.42133,29.1753,14.2007,7.14321,15.2548,2.69448,319.833,24.6611,9.00067,13.5888,2.00188,24.7395,11.2771,4.21762,6.58225,2.01454,593.756,48.4866,39.4588,143.617,9.73607,44.0888,18.1398,9.24575,23.8144,9.12798
gr00t_wbc_h074_p000,3075,complete,90,18,7.91747,2.15088,0.0186763,0.0169607,325.473,44.0802,8.96027,20.8825,3.01682,27.2719,16.85,5.48862,10.2245,1.83283,279.432,51.2594,11.5218,49.0536,2.23362,16.0923,12.4665,3.70757,11.7029,1.74988,257.016,29.9284,10.6141,21.561,1.88248,23.3725,13.4298,4.69302,10.2939,1.60573,424.914,48.5928,11.4836,17.5914,1.14785,32.8443,18.6492,6.63121,10.358,2.22851,619.952,69.0757,15.711,19.2035,1.71195,47.3999,24.8517,9.60628,15.7927,3.73356,459.092,50.807,9.10988,8.79233,1.15736,34.7841,23.2435,6.01411,11.7109,3.00657,354.045,48.9493,13.6828,19.8468,1.884,30.41,16.6216,6.50643,12.835,2.30593,319.679,43.4261,19.0015,147.038,15.4491,24.1159,12.426,5.67352,30.1042,9.98442,170.414,21.8615,8.45612,19.831,2.31118,16.1985,7.59152,3.17759,7.82623,1.16417,494.386,99.0061,19.9017,29.7856,2.67238,42.1807,27.4553,8.5783,14.7381,1.82499,400.454,44.1795,12.9303,18.3587,1.55135,32.6378,17.6958,7.00021,11.7167,2.33303,398.118,46.1835,10.5534,15.2258,2.02644,31.0167,18.0738,6.46468,11.5893,2.47876,366.123,62.0767,14.98,18.9744,1.13804,28.5757,18.2037,6.73394,10.6348,1.71949,349.762,44.0767,12.7283,20.9133,1.92625,27.5905,16.3438,6.36442,12.114,2.23825,249.97,30.3137,11.3671,17.1383,1.67645,18.8852,8.82256,4.29879,8.30205,1.31218,200.366,31.2729,8.81004,14.9366,2.01419,16.9704,10.8448,3.30303,7.01184,1.8039,749.151,122.148,42.8729,192.847,5.79608,57.6441,34.3352,10.582,32.8714,5.94646,405.86,58.5748,21.4746,30.7081,1.91556,32.4582,16.2342,6.31616,12.4702,2.72468
gr00t_wbc_h074_p000,3076,fell,40.68,9,16.0954,18.6804,1.80129,2.31789,324.643,31.4619,7.83331,15.0049,1.34098,31.1259,16.1831,5.62947,12.7972,2.05822,231.363,18.782,5.37982,17.5725,2.2936,19.0668,9.35061,3.43637,9.43983,2.10387,267.787,30.8571,7.12895,33.8409,2.09062,19.8766,13.0221,3.63138,11.1498,2.08027,182.165,24.166,9.15448,25.2936,1.69709,14.5029,7.49361,2.90808,8.18986,1.63917,384.944,47.0449,14.4296,74.3307,2.09174,33.5894,13.3421,6.62379,14.0733,3.09066,221.879,26.7581,6.32664,16.0652,2.49735,14.1657,9.39035,2.94065,4.48524,1.89785,100.694,8.68253,3.43717,14.6259,1.52609,8.34967,5.45763,1.64955,4.35044,1.22532,442.013,53.2535,11.8299,22.0077,1.40849,31.6042,18.8315,6.24901,11.729,2.03834,1274.46,58.6368,102.19,140.872,18.5394,52.1555,12.2436,12.6771,34.001,12.1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr00t_wbc_h074_p000,3077,complete,90,18,7.59233,2.65138,0.0894957,0.101422,135.701,19.713,3.4051,11.8713,1.8554,13.7896,10.4051,2.53882,4.67489,1.01205,7.94032,1.39206,1.23445,14.3291,2.60831,0.933786,0.682019,0.265851,1.06862,0.678429,517.454,51.084,12.2708,19.6724,1.58778,36.2732,16.9991,5.8415,13.4251,2.07767,257.261,24.7787,6.79203,15.2063,2.63875,21.4465,9.9941,4.78259,9.40127,1.8196,440.226,44.7527,11.8526,20.7455,1.64659,36.8193,19.7047,6.86816,14.3907,3.07088,439.234,39.5699,14.606,24.9233,1.70593,34.3644,21.4454,6.9503,11.1048,3.01561,452.058,42.3106,9.78444,21.6166,2.23375,30.253,15.7097,5.57579,8.14969,2.61155,277.273,26.6171,5.88076,12.2118,1.23875,20.3995,12.967,3.94083,6.18268,1.99319,240.683,30.702,6.07375,17.009,2.02014,16.7189,8.91829,3.79487,5.88399,2.14806,625.041,65.1679,22.8028,19.0669,2.13147,50.5499,24.9713,9.12504,11.8631,4.0265,507.123,85.9549,34.6979,191.196,12.891,40.0412,23.479,8.05084,20.3687,8.47836,339.518,34.7989,9.90204,21.7278,1.29803,23.3749,12.4652,4.57075,7.18392,1.93329,700.267,79.4322,38.5072,162.08,21.8102,47.9824,23.6892,9.58184,22.6963,8.56485,365.197,54.3289,13.5621,25.293,2.10381,25.7218,14.5956,6.00344,8.06078,3.10978,329.703,32.3531,10.2956,24.4558,1.52674,21.0306,10.5101,4.33105,6.49247,1.70529,468.257,77.3412,15.404,26.5844,1.69931,37.5947,24.5803,6.9325,8.57442,2.14679,373.871,48.8323,11.3106,17.8041,1.34598,28.6782,15.0064,5.80733,8.41656,1.64095,826.307,94.7028,74.1841,207.073,11.0346,54.7147,24.4367,10.27,30.2883,8.85691
gr00t_wbc_h074_p000,3078,fell,80.9,17,17.3161,11.3691,1.97286,2.2275,405.17,49.1431,10.0578,18.4792,1.25086,32.9984,17.1855,6.02308,11.8725,1.89515,267.605,36.659,6.1,17.944,2.22917,17.9343,12.0318,3.42496,7.63433,1.16977,478.839,59.5513,11.8185,22.7937,1.87928,32.779,17.9446,6.39963,14.927,2.4111,464.484,43.34,11.2665,18.9302,1.28061,27.8564,14.704,5.51834,8.35888,1.5524,572.097,59.8709,12.2146,29.9129,2.43482,39.9186,23.9405,7.68949,12.2497,2.8405,209.266,37.7657,9.21458,11.8151,2.62026,16.7125,9.05445,3.3774,6.64442,1.99257,380.726,42.1694,9.52413,36.5337,2.11758,25.3424,14.8565,5.26611,11.8381,3.6305,566.826,73.0005,21.3526,67.029,2.74976,41.7812,20.9276,7.35382,18.5365,4.99425,294.324,33.8592,9.60143,24.9049,1.52641,19.3453,13.0751,3.42484,8.10409,2.4824,304.69,36.945,8.6744,24.225,1.1793,23.4769,14.5435,3.98191,8.38773,2.72124,1139.78,237.956,58.213,197.754,24.5524,76.4305,47.9896,12.6104,38.1878,17.0859,265.769,33.3241,8.55705,21.6366,1.70454,17.7353,14.0331,3.52537,5.09898,1.20869,510.211,49.7939,21.1994,85.91,2.03455,40.067,17.428,8.55962,18.8151,3.27002,373.249,55.3994,13.7431,64.443,1.75377,27.9517,19.8087,4.84507,14.4515,2.67161,1169.85,175.212,48.6632,39.7055,1.79093,61.6948,40.2683,11.3085,16.8592,3.11496,673.57,155.51,34.1615,37.6564,1.43638,49.5733,28.2307,9.87594,13.1849,2.96716,2222.65,149.598,104.251,39.5091,2.08329,89.3868,26.9208,13.773,19.399,4.03374,,,,,,,,,,
gr00t_wbc_h074_p000,3079,complete,90,18,14.9564,2.59632,0.310784,0.41246,321.96,25.7606,7.81973,16.944,2.09001,30.5414,15.0417,5.93385,12.6449,2.02999,346.834,39.985,7.3921,17.9981,2.24279,28.8578,13.4976,5.89208,10.3875,2.11341,236.37,53.5952,7.50699,17.261,1.39937,16.4646,13.2063,3.64426,6.70889,1.45745,160.346,13.8097,5.65063,18.3246,2.30431,14.4862,7.73319,3.08352,5.57779,1.39429,551.18,80.4569,19.093,19.0926,0.950432,47.6836,24.6827,10.3573,16.2231,3.01187,318.298,34.1255,12.6959,70.559,5.13297,24.686,11.1866,6.11463,18.4363,4.74159,234.23,22.7346,7.75828,13.2907,2.18738,20.0766,12.3955,4.5042,7.68088,1.46591,262.564,33.0493,7.38754,33.4064,1.7088,20.3237,11.5691,4.63029,12.519,2.98759,240.293,21.0933,5.89893,22.4177,2.24902,21.0428,12.8541,4.4058,8.1404,2.09473,297.095,37.95,20.5502,107.087,3.81194,25.8131,13.7901,5.01395,15.2752,3.76786,118.144,11.4355,7.01103,32.9883,2.22235,11.1092,5.64009,2.3562,8.46795,2.5053,363.792,30.1011,9.2925,23.134,1.49949,34.8834,15.1861,6.41224,13.4428,2.52113,215.066,21.3749,5.53786,20.9482,2.52875,17.9887,9.84061,3.45434,8.24995,1.71131,209.635,24.7083,8.32363,39.5387,1.70633,18.2773,10.8227,3.93815,10.3326,2.34488,1086.92,163.896,42.6764,27.5424,1.87931,69.3762,34.3719,11.4289,18.7034,3.93355,942.627,64.6075,25.8471,23.4805,2.05632,57.3143,24.4826,10.5729,16.807,2.84694,620.894,61.5027,18.5418,27.4095,2.12577,42.7198,19.9482,8.53057,14.987,4.00339,591.302,111.723,27.0583,159.334,11.5305,44.369,24.083,8.61818,24.8144,9.76021
gr00t_wbc_h074_p000,3080,complete,90,18,10.7188,3.40828,0.0306548,0.0398236,291.326,42.832,7.3272,17.8539,2.72316,24.4722,13.7159,4.30178,9.10936,1.76531,294.023,34.1626,8.07792,29.809,2.03573,20.5533,13.0096,4.14679,10.6252,2.18151,295.572,30.5974,7.79822,19.0124,1.64888,24.1996,13.8534,4.29029,12.9602,2.59846,449.359,58.8311,13.6044,26.6538,1.82862,25.6752,17.0667,3.98514,11.7055,2.14683,286.521,31.7301,7.3686,26.0519,1.73173,22.6942,11.946,4.88751,10.498,2.39946,170.651,12.3574,6.13817,23.8306,1.85194,14.8784,7.49387,2.63708,7.35129,1.80297,190.506,25.2511,10.7161,22.0128,1.34032,12.8136,6.60801,3.76407,6.78192,1.2843,335.302,45.7716,8.66996,14.2383,2.25223,23.2923,12.7656,4.53321,8.84495,2.35739,367.264,33.9004,8.00535,16.2388,2.28645,28.4649,16.6262,5.16634,12.0446,3.03027,277.166,26.3303,6.47335,20.8853,2.38896,22.4658,10.5271,4.24642,9.93796,2.30147,698.945,102.82,33.1471,19.8961,1.22252,47.0864,24.5135,8.78987,13.0034,2.47419,371.32,34.4472,13.4537,88.1726,2.78951,30.9471,16.8084,7.04318,23.4011,3.49936,436.97,71.9569,13.2809,22.6291,2.23372,35.126,19.1938,7.19911,12.5106,2.24234,707.745,74.1649,19.5766,25.127,1.73967,53.2946,27.5057,9.86743,15.9566,2.6894,444.756,84.2619,18.6995,23.9878,1.97487,36.1457,22.5493,6.49242,12.8177,2.04595,1196.34,194.805,70.373,279.118,9.78167,76.069,42.5632,15.7537,49.6329,10.7964,557.723,72.9932,13.0267,28.069,2.31301,40.6493,23.4271,7.34295,12.8631,2.67721,309.788,41.0658,8.48465,17.5607,1.83332,25.0675,13.6411,4.70271,8.05128,1.67835
gr00t_wbc_h074_p000,3081,fell,56.04,12,17.8272,14.3363,1.72036,1.93005,109.309,21.7673,4.31419,14.6323,1.70568,11.4367,7.20197,2.57577,4.51289,1.05149,271.259,25.4806,4.91905,11.8377,1.43989,21.4906,11.8798,3.75906,9.02547,1.47313,285.202,45.1717,7.6338,20.2814,1.50318,20.8667,13.6942,3.96401,9.19062,1.64806,436.85,30.5711,16.2353,83.0491,2.51162,37.636,15.8605,6.37002,19.5499,3.36014,146.119,10.0472,4.17696,19.2431,2.70841,15.4632,7.06161,3.02315,7.97922,1.23901,312.718,36.1306,7.35449,17.843,1.56158,25.5063,13.3035,4.86665,9.0107,2.44014,154.891,15.6416,4.38512,17.4223,1.96669,12.8676,7.19618,2.56093,6.58566,1.90552,202.932,21.3217,6.46704,15.0539,1.73794,17.5749,8.16538,3.37966,8.8422,2.40456,317.115,54.1475,16.3351,18.4571,1.62555,24.0567,13.4877,4.99145,10.7906,1.82533,411.268,105.067,20.4175,17.994,1.09687,31.1953,23.733,5.63097,11.5512,1.73901,141.958,23.6548,12.1633,15.9225,2.48319,11.0869,7.63534,2.49153,4.86071,1.10604,1590.58,259.791,112.63,196.919,14.3579,63.0778,34.4265,14.9916,42.3999,14.0181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr00t_wbc_h074_p000,3082,fell,66.4,14,22.0717,6.89015,2.08146,3.0917,227.733,20.9576,5.18893,13.1844,1.66157,25.209,12.6528,4.59911,10.2358,1.71131,335.182,24.0103,8.29953,22.6933,8.76638,29.6795,13.2028,5.92129,17.2871,5.17048,354.837,34.4058,10.1219,41.5321,1.86313,29.0458,14.7121,5.37159,14.5042,2.91886,252.142,35.294,9.19773,20.3366,1.92291,19.3688,12.7525,4.45053,7.98375,1.81054,434.134,50.1251,9.1561,17.4502,1.99268,26.6825,16.86,5.4705,9.84926,2.39147,176.019,21.1319,5.38023,14.6189,2.18131,13.9057,7.62302,2.83473,5.04653,1.30275,541.489,58.1217,13.008,29.8848,2.01925,34.5556,16.6936,6.54242,14.6266,2.35814,442.459,73.6885,12.7479,9.77429,1.32515,33.1502,20.2363,6.09064,9.1327,2.18652,400.932,38.8056,10.5179,12.6606,1.55037,32.3307,14.663,6.42156,10.6117,2.21359,484.106,84.4006,15.7133,22.6559,1.46937,31.5794,19.8829,6.09966,12.7859,2.60477,227.169,43.1834,7.62901,23.0759,1.79119,17.2081,10.9434,3.53554,11.1438,2.7495,2076.63,186.392,87.4372,44.0077,2.13827,105.998,33.1136,19.6347,22.2503,4.54829,253.954,34.3769,7.351,23.2313,1.44525,20.4361,13.51,4.20546,5.94359,1.69639,3071.62,172.669,117.506,29.4981,1.3124,139.37,37.6011,21.1099,24.9256,4.95359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr00t_wbc_h074_p000,3083,fell,50.82,11,18.015,15.3104,0.565266,2.09528,268.675,37.1992,7.71376,26.5124,2.23517,22.9769,14.0177,4.59382,9.39779,1.91429,269.183,32.9107,7.12081,27.68,2.28149,20.837,9.55293,4.53113,9.9138,2.39279,579.053,80.5101,13.6306,24.3984,2.47942,40.3805,22.8622,7.55187,17.6881,2.92521,778.38,160.099,25.2763,49.9006,2.75669,54.535,35.123,9.15528,21.071,3.32968,177.959,14.0893,4.71463,17.1264,1.80129,15.6696,9.57747,3.1827,5.42381,1.35892,253.402,31.0594,10.4258,27.2847,2.08951,19.2942,10.9898,3.7165,8.20082,1.24014,597.708,65.7017,16.7633,30.6069,1.11177,42.8691,22.2768,8.77796,13.3175,2.1851,905.437,77.2432,21.9101,35.4271,1.40649,57.3513,25.0263,10.3765,16.0239,2.69854,373.689,36.2936,9.02386,27.3748,1.72039,30.4594,18.8485,5.54651,11.4037,2.16203,710.9,54.6501,17.6447,22.9964,2.786,38.2879,17.4575,6.70678,13.4942,2.13172,2124.04,115.125,78.9064,29.4141,0.288822,80.1244,20.5585,14.1133,21.1642,1.99749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr00t_wbc_h074_p000,3084,complete,90,18,8.99711,2.94646,0.0601471,0.0791103,262.4,34.8932,5.62102,10.2933,2.62194,20.7971,12.2358,4.05845,7.14277,1.51784,430.709,36.6375,10.4563,37.1911,2.34988,32.5472,16.085,5.95673,14.7688,3.51838,278.202,24.9938,6.29286,17.0872,3.2284,21.9267,12.4016,4.00796,9.86023,2.26419,346.822,33.2648,8.28596,15.5634,2.03266,29.3101,15.6463,4.93588,14.4795,2.0273,219.408,25.3287,4.9692,15.8713,1.37859,19.649,10.3218,3.92216,9.68996,1.76224,714.596,69.8728,15.2438,30.5174,1.64956,46.1309,21.8861,8.23246,19.0455,3.33018,941.579,139.174,50.6286,130.771,16.6217,64.5078,34.2594,10.4794,30.0019,11.922,121.198,17.58,4.02264,14.5847,3.08957,9.16713,6.17902,1.89585,3.82128,1.60561,760.328,74.655,24.5796,21.2489,3.022,58.4182,26.6667,10.9118,17.7901,5.64066,554.447,59.0261,14.1832,22.2423,1.83479,42.2862,19.1555,7.23043,10.9306,4.28464,451.902,73.0923,11.4849,35.4078,2.03723,36.2533,19.0634,6.17822,12.5272,4.04386,548.139,121.757,49.4876,204.126,13.5448,52.1993,28.4928,11.3368,28.6074,14.2182,716.138,52.9823,31.9407,32.0685,1.37478,50.7155,22.8143,9.35699,13.8276,3.71698,305.182,42.1831,10.6172,23.9659,1.7477,27.8258,13.828,5.80617,9.60302,2.41475,230.729,23.9767,6.0054,20.4423,2.55985,19.1492,9.02758,4.08721,6.58634,1.49007,247.079,22.788,8.36124,21.0259,2.23624,20.7921,10.6266,4.4548,6.50094,1.44054,259.497,31.8199,7.86285,23.178,1.45934,17.5937,13.1527,3.43641,6.35011,2.00023,260.201,31.6773,9.53448,24.5886,2.64874,20.9496,13.0442,4.54116,9.3092,2.12079
