policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2
amo,4608,fell,85.52,18,15.3563,15.5902,1.71667,2.3896,249.062,48.1498,17.6312,13.9248,1.19916,26.0741,20.7659,3.18605,8.62566,2.40307,307.942,54.4557,14.5963,48.1797,3.48657,27.9422,21.0693,3.37376,11.1051,4.35914,251.322,57.9365,12.1291,38.037,5.00224,21.964,16.8009,2.68304,8.8024,3.90281,203.059,47.4226,10.846,22.5132,4.26676,20.3806,14.2641,2.72348,7.41042,2.94453,233.893,35.2804,8.45012,27.8763,4.77824,21.1126,12.9215,2.47804,11.7383,8.35555,199.981,64.7674,12.1089,15.969,1.49685,21.5181,15.6546,2.58331,7.9412,1.97006,381.913,51.5432,12.3685,14.0454,1.49339,31.7887,20.2231,3.58524,11.1284,2.37698,1051.89,86.2962,71.377,34.2408,1.80998,67.0285,31.397,6.43132,20.6387,3.81249,531.804,121.013,37.3633,79.006,1.82606,40.93,26.4692,3.78035,15.1985,4.04686,599.553,113.024,33.1899,22.0451,1.85657,46.5146,28.6477,4.13516,9.7593,3.10225,927.931,94.5682,62.0726,36.3658,2.13687,54.4201,29.9711,5.49932,13.6523,4.08739,821.854,94.5604,47.1223,51.8755,2.61327,50.8766,29.5436,5.51191,17.138,4.98383,226.127,62.1276,14.7719,26.0356,1.59484,24.49,13.7181,3.05851,6.09331,2.03054,415.263,50.9951,17.7565,26.7869,4.72365,36.1879,22.1149,4.19529,14.0591,5.65618,471.051,101.717,21.5031,75.074,20.3491,41.6101,27.2417,4.5783,16.9281,12.0771,448.479,76.4813,15.8452,26.3794,7.08153,34.8974,23.2002,4.20714,14.1748,6.85883,317.273,50.7502,17.5773,17.1543,1.2307,26.0048,14.823,3.19329,10.0226,1.91449,2478.88,121.673,70.6887,54.7152,9.001,55.3699,24.9864,4.61412,12.757,3.0478
amo,4609,complete,90,18,15.6791,14.7732,0.305898,0.231748,211.238,38.2012,17.636,11.8945,0.970754,23.3034,14.5337,2.67912,7.53647,2.25668,160.179,30.3956,7.39026,16.0812,0.870864,16.2776,11.1254,1.85769,5.50641,1.13464,340.831,49.7539,13.0524,18.3758,2.19485,30.3457,21.9171,3.6398,10.1325,2.73342,287.884,50.6711,10.7125,17.1023,3.36356,28.3144,19.0493,3.68437,10.515,4.22692,533.744,116.471,23.1966,19.539,1.81164,46.7755,29.8298,5.00885,14.8109,3.9227,354.347,51.637,12.314,15.4112,1.73673,30.2346,19.8499,3.81923,7.63811,2.16272,361.539,106.865,22.1302,62.0453,2.29668,33.1184,25.3806,3.87249,18.4965,4.55723,382.722,77.7598,16.3997,19.0242,1.49981,36.0231,23.6824,4.33521,7.01723,4.32498,298.299,88.1178,16.6314,28.5101,13.0163,30.1685,23.428,4.04792,13.1686,7.36645,384.355,108.491,39.7049,32.4774,195.002,36.2407,25.1119,4.88121,14.4802,13.807,340.845,87.4554,22.0269,14.8551,1.80801,32.9659,22.3592,4.29725,7.94677,3.41681,159.833,38.3212,10.5178,16.8988,1.17566,17.9073,12.7748,2.43078,6.61826,2.23566,391.832,93.9852,20.1693,30.5928,0.734589,35.3022,26.8277,4.16456,11.4449,2.74615,275.52,55.5641,18.4568,29.551,1.69664,25.3189,19.8147,3.22455,10.8989,3.68108,630.89,105.874,37.1466,30.5072,1.32153,46.1344,31.6138,4.94268,16.2474,4.53453,233.263,54.214,22.617,37.6654,1.09868,21.2716,14.1139,2.68126,7.80466,2.41948,429.932,131.547,45.9643,45.6304,1.05984,35.5956,26.323,4.27032,11.5276,2.76716,498.964,106.215,40.2026,52.7929,1.69319,38.6718,24.1325,4.06091,15.5519,2.17208
amo,4610,fell,70.68,15,36.4742,10.8915,1.50258,2.69263,204.257,39.7742,17.7041,13.5657,1.36893,22.0897,14.3408,2.81373,9.07975,2.49509,341.52,72.5417,15.2288,36.7617,2.54322,31.729,20.32,3.62666,14.6202,4.83387,190.124,34.6132,7.15812,18.85,1.90267,18.2337,12.9283,2.20489,9.11543,2.21927,353.748,50.5968,9.46227,14.5418,2.4009,31.5832,22.4187,3.62107,10.6442,1.73375,270.915,41.3267,8.71352,13.0749,1.20892,25.3203,16.8124,2.72506,8.64668,2.19434,1543.87,325.204,76.2767,29.3634,4.74208,75.9979,60.7285,7.89503,19.3217,9.51119,561.346,128.149,23.5146,86.4248,2.02917,45.0999,35.4405,5.09911,22.0468,3.23534,150.138,46.0473,8.40335,24.9587,1.73664,15.6752,12.2949,2.32343,11.9831,3.35119,628.791,71.6011,23.2514,36.761,1.0143,50.218,32.9936,5.03857,18.1099,1.97858,416.01,82.1848,24.8562,194.098,38.3283,39.7418,28.5806,5.03868,28.2271,7.55419,792.447,95.9576,43.8042,67.7651,1.26115,55.3759,35.146,5.6377,23.2648,3.09404,445.007,89.9537,22.6975,28.9929,1.03403,35.377,27.5023,4.2912,13.9045,2.82156,360.502,47.0292,16.4253,33.3239,1.38049,28.6506,19.8261,3.34888,10.8458,1.60964,13905.3,515.987,1972.3,278.333,78.4424,331.167,106.418,55.8451,103.424,34.1003,4625.09,333.619,893.034,97.1339,1.45239,95.607,31.2953,16.2119,28.0891,3.52966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,4611,complete,90,18,22.6122,9.21633,0.265031,0.352433,271.823,49.7999,16.941,20.1008,1.25651,31.4331,21.5291,3.57602,9.65557,2.23467,241.664,34.6413,12.0015,21.1282,1.62208,16.8429,12.0752,1.99818,6.75135,1.32893,191.918,52.3513,11.0089,21.4584,1.89192,19.6851,12.6758,2.67039,7.58683,2.21337,389.938,80.5674,17.5583,48.9708,2.32361,36.0588,19.9984,4.55632,12.4516,2.22177,191.075,52.2665,10.2552,23.1189,1.06356,18.703,11.7019,2.42142,5.21765,1.32656,909.302,98.647,70.8583,222.313,2.4815,59.9428,34.7758,7.15777,24.4189,5.40135,251.204,112.879,26.5816,31.4485,1.74998,30.2359,23.373,4.8377,10.2938,2.26401,410.119,94.4689,37.5591,133.061,3.72548,40.732,23.3846,5.50662,18.1621,5.34391,324.37,95.2206,25.4636,27.0682,1.98968,32.4311,24.1477,4.20472,8.69828,2.34057,265.567,72.538,33.9225,21.4936,1.90401,25.1656,17.2258,3.66366,9.30023,1.86924,335.414,79.7572,20.2301,28.5065,2.4604,33.4224,23.0169,4.25998,10.0003,2.07956,145.599,31.1741,7.03067,20.2788,1.34663,15.635,10.082,1.99283,6.04301,1.27907,336.537,51.2775,24.0767,205.53,163.37,31.5663,19.7911,4.1517,26.2882,14.124,187.695,43.3125,11.5358,20.923,2.26732,19.3858,14.1834,2.48869,8.17223,3.35118,236.56,34.6881,24.1763,56.1837,1.94868,22.3394,16.1518,3.12252,14.1246,3.68011,608.212,135.292,30.4023,39.761,1.29141,46.8287,35.2671,5.23842,14.6277,2.56334,321.822,58.0022,20.7065,19.808,1.7851,30.8267,20.6788,3.68639,8.14987,1.87427,859.268,214.067,60.6512,246.182,79.1345,62.7631,49.6574,6.88145,30.7034,15.3699
amo,4612,fell,87.4,18,27.4143,36.5435,1.32784,0.77853,259.349,47.2376,18.2528,18.875,3.23206,26.4332,20.2478,3.14238,9.28404,4.28751,194.841,40.559,9.97926,37.5141,3.32712,20.7532,13.9032,2.54879,9.34297,3.49086,325.627,69.5813,13.6612,26.6362,7.24089,31.7874,19.1061,4.03101,13.233,7.77991,302.551,59.0664,7.83959,13.0346,13.3947,29.9956,17.0082,3.24223,4.08887,6.35905,247.454,33.7261,7.23316,16.6804,2.98809,20.4388,12.1084,2.32882,4.34027,4.54154,343.69,69.694,12.3419,9.99091,1.84603,30.63,20.4782,3.58264,3.269,3.49461,64.5305,10.2953,5.52677,6.12089,1.25998,6.90497,3.77988,0.839697,1.47858,1.75771,589.353,55.0205,28.363,22.9394,4.50528,43.9032,24.2065,4.7679,9.00597,6.17221,121.538,27.3504,8.12731,20.1804,4.65,13.8923,10.1651,1.85747,5.39939,3.38341,339.652,46.7904,16.9665,28.2053,4.30421,29.9051,16.3438,3.29654,11.5983,5.76197,159.841,25.8248,11.5496,104.27,30.0087,18.979,11.1042,2.29861,13.3642,6.59486,378.858,47.4354,27.1819,196.331,10.1481,30.5097,19.094,3.6057,19.3594,9.48404,967.529,106.011,46.0369,75.219,1.44267,52.9603,38.8079,6.22482,17.3181,2.43387,381.291,61.7734,19.8411,41.9219,1.16968,32.9933,25.1695,4.17729,10.2553,1.72468,381.761,109.753,31.707,29.7364,1.32806,29.7583,28.7897,3.96076,10.5856,1.92378,668.471,190.026,76.4337,57.1805,1.44568,52.5277,40.3195,6.58539,14.2702,2.81343,565.427,114.857,92.2237,51.1754,1.53426,41.3946,31.8566,6.05019,11.6399,2.72493,10791.3,760.76,1235.25,532.615,370.105,262.549,108.155,34.4345,99.4685,46.7169
amo,4613,fell,51.12,11,20.12,43.8508,1.42108,1.30549,404.333,83.0868,27.2828,24.8396,1.77377,41.6069,30.8784,5.20054,11.8585,2.74662,16.9584,4.91579,2.42767,18.2312,1.00037,2.3362,0.928209,0.357324,1.3633,0.680712,380.011,64.3127,19.7654,37.4628,1.33792,31.7527,26.2154,3.8048,11.9108,2.95156,242.144,48.3247,14.4592,59.7449,1.54969,20.7167,16.1113,2.30824,7.76343,2.08756,154.828,51.9267,15.1257,34.0948,1.36272,14.3352,11.7866,2.14094,6.60368,1.53093,584.708,107.85,32.1621,47.4627,1.00064,49.2955,32.687,6.03189,16.2481,2.79932,414.749,74.5824,55.2389,32.2974,2.40921,41.2641,23.6245,5.55398,12.6845,6.45656,549.077,86.498,34.4488,43.1156,6.84604,48.7026,27.7682,5.93981,17.0753,9.61038,472.119,282.224,41.411,43.7142,2.24144,47.8119,41.9243,5.96685,14.2203,6.03402,443.002,84.5044,31.1149,38.1782,1.29844,42.1178,25.9156,5.37724,15.3031,2.81443,6244.48,294.437,505.556,130.142,8.77714,126.206,49.3822,16.76,34.5363,10.0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,4614,complete,90,18,23.5237,25.4918,0.234369,0.301117,225.883,53.3018,18.4842,22.3058,1.67115,23.3482,17.8922,3.0631,10.4969,3.62963,158.032,31.3814,7.89561,16.3633,3.30837,16.3863,9.93476,2.01544,6.09393,4.4495,227.285,43.2996,8.92748,16.8937,2.53383,20.5473,13.8365,2.54759,8.22539,5.26167,375.643,67.9741,13.5941,15.1749,1.47032,33.1338,26.3486,3.88827,9.20054,3.35024,255.958,38.5708,9.34717,17.7521,2.06374,23.3203,13.5146,2.75836,8.06911,2.96605,136.456,21.6176,4.31768,17.4475,1.62371,13.623,9.78677,1.84566,6.73868,3.78761,290.568,45.4689,11.7702,17.58,1.85294,25.4166,16.3934,3.13473,7.94331,3.16985,279.026,54.8282,13.3473,18.5221,1.87237,27.8184,19.3255,3.38215,6.68011,4.12693,291.56,36.7758,6.95081,16.5893,1.78469,24.5296,16.6771,2.94826,4.74177,3.78879,618.277,116.604,33.8131,17.0983,3.53438,51.1718,35.962,5.47514,4.88835,5.93596,488.891,57.3042,14.9289,55.3135,3.45665,35.3424,22.905,3.59568,9.55203,6.42899,273.474,78.8164,16.4786,60.9722,1.48473,23.9834,17.995,2.97796,13.4073,4.33414,328.698,64.9116,21.0073,27.2753,1.07338,31.1632,19.352,4.1121,10.0752,1.52523,514.207,80.9811,25.6845,23.9554,1.91991,36.1927,20.9662,3.67799,11.652,2.1735,459.378,99.0905,33.5599,25.4948,1.39215,32.8209,25.0875,3.31362,13.6847,2.56251,378.098,55.9706,18.557,20.928,1.31803,31.2647,19.8305,3.7591,13.9071,3.86344,648.918,191.55,49.4598,66.6414,2.8635,52.7715,39.7564,5.45358,20.5359,6.61386,612.432,72.3168,40.545,25.5004,1.33597,43.0953,27.2054,4.62204,12.4023,2.81669
amo,4615,complete,90,18,24.7827,10.2406,0.0181596,0.0170675,237.997,38.2023,15.5469,15.8075,1.76414,23.6596,17.0393,2.73232,7.76557,2.19099,164.841,37.7781,8.05025,21.8212,1.58828,17.3763,12.0774,2.27238,6.62271,1.32008,320.987,45.554,16.4722,52.7188,1.7425,27.4664,23.1485,3.23389,13.8344,2.7024,213.218,32.4308,7.93825,19.606,1.51506,18.4235,12.5262,2.15001,7.65368,1.444,299.397,42.082,10.6364,33.9875,0.959294,26.5271,20.6411,3.14168,10.2368,1.69973,307.159,43.8569,14.0583,42.2842,0.9837,26.9532,22.2454,3.10961,9.81616,1.83308,537.246,68.021,26.8205,89.1564,6.43117,40.1799,29.2631,4.42401,19.2215,7.04348,308.425,69.5509,16.0173,32.6627,2.08245,26.4601,21.9617,3.22882,11.504,3.8874,317.01,115.936,21.5486,40.7737,1.58314,27.5586,25.2219,3.35532,14.2123,4.68363,916.694,171.976,37.6932,56.2031,3.28731,62.9156,45.8564,6.40888,21.8748,8.6696,319.265,93.5448,19.7675,24.5025,1.7911,30.648,25.5076,3.79929,9.87717,2.44847,196.987,44.5157,10.9068,12.6494,1.52848,19.4367,14.7417,2.25077,6.53009,2.13477,230.755,60.7402,14.7234,24.2465,1.78213,27.4757,16.7138,3.63748,11.0332,6.74904,281.026,64.5708,16.7386,15.4146,1.27249,28.4244,18.6705,3.98433,9.35817,3.78045,350.722,67.7733,20.1614,17.7962,1.72831,33.5682,20.7736,4.4461,12.4381,5.18736,575.985,80.5385,36.126,22.3079,1.52658,42.9235,26.5814,4.53925,14.0043,4.82194,466.146,134.634,26.844,99.0107,16.8645,42.585,35.2205,5.02921,23.5639,10.831,245.575,56.8396,13.071,26.1752,1.55639,22.1585,15.3659,2.74237,10.6274,4.52447
amo,4616,fell,26.82,6,30.3436,16.6581,1.57854,2.17517,353.118,66.2342,21.0609,9.56219,1.92551,36.5865,24.7555,4.6205,10.0814,4.43488,426.471,99.3864,17.6222,18.5918,2.36905,39.3113,28.6374,4.68586,6.92268,5.28274,264.043,40.9459,8.47332,21.9474,4.87288,23.8055,16.5581,2.87336,7.15598,3.15248,344.997,100.634,19.657,50.5254,1.57341,32.3337,26.6518,3.88298,13.2055,3.66036,310.029,59.1121,18.6814,45.2935,30.4139,31.4963,22.77,4.09607,13.9451,9.53601,3999.13,176.137,163.789,61.7238,1.13667,85.462,46.6948,9.13493,26.1818,2.65273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,4617,fell,40.9,9,12.7099,46.9954,1.60748,0.619099,175.592,38.6365,13.2626,18.4182,1.43287,21.5912,16.8932,2.69991,6.89344,1.32868,128.498,19.8363,6.85359,17.1077,0.856478,12.5763,7.38044,1.51157,5.4608,0.919218,185.366,31.3656,6.78308,18.6482,0.649313,16.5528,11.3254,1.85108,5.01256,1.11157,178.531,52.4256,13.01,25.7503,0.953956,18.5653,12.9252,2.41698,8.01719,2.02937,186.159,78.8363,13.6272,17.7161,1.49636,18.3785,14.5567,2.15037,9.58343,4.47939,202.57,35.1397,7.82247,14.6161,1.9462,18.074,10.9383,2.2985,7.51647,4.51516,388.821,59.7218,24.8122,22.841,1.11135,36.8531,22.9591,4.7907,11.6113,3.9177,390.847,53.1058,17.453,13.6629,1.2471,35.0063,20.4661,4.21463,9.87102,4.26125,4073.76,176.773,307.591,80.6319,2.59835,99.8814,45.3864,11.6768,24.863,5.99752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,4618,fell,71.02,15,26.3407,12.9658,2.76167,3.38909,184.68,43.9512,17.1167,29.6845,1.31474,24.9361,17.7554,2.89897,9.77392,1.74101,187.947,46.5129,15.1768,53.3844,1.73318,18.241,12.3449,2.54798,11.4533,3.28099,364.494,70.6517,18.6253,23.2323,1.68085,32.4098,20.7552,4.14721,11.3396,4.15758,303.946,86.3212,15.2679,18.2122,1.47123,32.1908,19.3639,4.47877,12.5566,2.38607,430.974,72.2679,28.948,29.8426,1.01161,34.8257,19.6258,3.92609,13.6054,2.52694,432.23,117.133,33.814,69.759,7.14233,36.0803,22.8324,3.61652,18.0055,7.63051,503.262,82.8579,36.1071,67.0007,2.34851,35.4891,25.2772,3.33099,11.9729,2.7645,205.93,54.369,21.9303,41.3674,1.77888,17.7902,11.5473,1.52547,7.988,1.85099,698.531,152.285,55.7239,21.7922,1.32869,56.5368,42.3183,6.06178,15.0053,5.90548,472.925,106.122,32.8148,20.373,1.65888,31.5313,24.1412,2.33379,8.4239,2.46196,526.676,78.4247,29.8881,39.2776,1.79006,28.6275,21.6986,2.03374,11.5753,2.54608,565.287,121.607,41.4088,36.8531,1.34301,43.1521,33.2449,3.39051,11.1871,2.0581,480.549,84.2201,38.198,22.7021,1.43484,35.4938,23.6868,2.69646,10.4494,3.04542,475.865,81.5797,29.1091,25.524,2.18628,42.5735,23.8845,5.0697,12.3951,5.59146,4501.78,146.323,349.218,82.2178,0.877172,99.4195,37.9368,12.4095,19.5592,3.7382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,4619,complete,90,18,11.0591,11.8105,0.198598,0.175024,438.126,74.1158,22.1407,15.5914,1.33698,41.5751,30.6681,4.4981,11.6678,4.01044,217.167,39.5464,10.2211,20.7881,1.508,19.9349,13.906,2.54854,7.64289,1.40557,282.194,61.1446,12.8628,23.1158,1.82785,25.4159,19.7397,3.1086,8.55441,1.62896,143.748,20.784,6.83733,8.6392,1.47322,12.0605,7.85253,1.66727,4.42966,1.34576,291.242,73.413,15.1551,19.4013,1.7153,23.4199,15.8001,2.75223,7.5951,1.70727,607.529,125.224,37.798,31.3365,1.75432,43.9615,30.4353,4.56626,17.3844,3.94864,107.399,18.443,5.78799,10.5055,1.54749,9.60117,6.22977,1.27864,5.06481,1.82528,427.454,52.4866,16.6262,44.1145,2.79749,34.4614,22.8107,3.7845,17.8706,4.68999,377.396,44.2222,14.6509,36.6143,1.76432,31.7238,22.0549,3.85406,15.7729,3.06998,491.334,168.111,24.254,19.1025,1.64924,43.672,37.8166,5.14167,15.6571,2.49672,338.862,37.0262,19.2012,115.066,26.086,25.9867,14.0746,2.60533,15.1987,9.30665,523.028,119.745,24.5971,21.3229,1.77934,44.0885,34.288,4.21077,11.7706,3.31085,643.56,133.237,46.3775,36.9284,2.46447,35.5483,25.6849,4.51022,11.237,3.46663,377.178,49.6418,14.0076,20.2043,1.69139,31.4524,19.5636,3.54321,8.49273,5.46419,285.768,78.2993,18.1631,64.0936,2.22932,25.2682,18.4036,3.4499,14.4719,4.64033,527.84,121.455,23.6648,98.4624,6.42459,42.9369,31.56,5.05652,18.6932,9.69463,342.226,95.0658,20.6688,22.4783,1.69354,29.7159,24.7387,3.8103,14.0812,3.32082,429.827,66.1096,19.0823,38.9118,3.54945,33.9901,23.4459,4.10552,16.9896,5.45333
amo,4620,fell,61,13,17.5727,40.0256,2.99719,3.81239,462.62,73.3939,29.6795,29.5359,2.20302,43.1364,29.0831,4.62252,15.7271,5.43486,341.935,86.7709,14.1258,25.6533,1.51055,29.1694,24.6613,3.48597,12.1631,2.39302,334.978,80.3806,18.3108,17.4408,1.67455,29.5185,22.6757,3.46429,11.2972,1.88224,542.223,101.341,27.1313,79.3152,3.42192,43.3051,33.7193,4.79372,17.3348,3.48424,297.296,64.5502,18.68,27.9262,1.11152,28.4033,20.959,3.64796,9.35198,1.73581,399.236,85.961,24.9017,74.1083,8.86255,34.7851,22.926,3.83794,16.7134,5.09487,80.2373,14.0923,5.52443,15.7079,1.63798,9.00494,5.77695,1.11987,3.25038,1.23826,376.848,61.5164,16.0044,37.8367,1.6367,34.0163,21.5757,4.11637,13.8421,2.46115,324.957,55.3595,18.0869,24.6582,1.23948,30.2116,20.8576,3.85291,9.45542,2.03672,168.68,29.8152,10.2163,20.1752,0.952744,17.8495,10.553,1.86234,5.26544,1.39666,85.2981,19.6895,9.22409,17.4732,1.2568,10.283,7.35828,1.46504,3.95784,1.23226,335.879,85.017,24.2956,34.3563,0.95359,35.0221,21.7438,4.08288,8.80348,2.60096,758.77,144.867,58.9311,34.0628,1.73432,26.8877,14.3322,2.97966,10.8875,3.71496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,4621,complete,90,18,20.9859,19.0421,0.0704964,0.0636947,281.638,58.8254,24.8167,23.3789,1.54944,32.1919,24.2404,4.12143,8.54902,1.90491,369.596,58.9708,18.3049,57.0304,2.78791,34.4393,22.7943,4.47629,13.9668,7.52275,264.823,71.3082,20.1918,20.8681,1.04008,30.7526,23.2516,4.74487,11.1794,3.71832,252.36,98.8871,20.5068,23.5499,1.96322,30.8258,19.9546,4.01524,13.5842,6.77168,464.063,86.7715,42.4714,122.214,3.9412,37.7617,24.941,4.30996,15.489,3.81131,380.43,97.7767,29.184,25.2589,1.1045,30.6276,20.9974,3.09637,12.2381,2.92132,207.285,43.711,14.6626,12.0818,1.01419,16.071,11.3585,1.72704,3.92063,1.18139,443.84,78.4489,29.2316,25.3453,1.52085,31.2379,20.0241,3.11196,8.791,2.31281,559.453,119.229,48.5899,182.333,5.72391,35.8792,27.4724,2.89396,24.5789,5.15262,580.816,79.7927,31.5442,17.9789,1.21457,31.8132,25.0291,2.42446,6.54166,1.86595,508.327,84.6794,30.3622,36.5473,3.12051,30.8858,23.0905,2.09845,13.3098,3.63973,558.911,104.645,36.0495,29.4745,1.07188,38.312,26.1805,3.21903,13.0504,1.7077,484.3,82.137,34.7089,40.4929,1.18554,32.3223,23.4574,2.28398,12.4599,2.37383,590.429,113.097,46.9666,24.2402,1.1789,38.0492,25.9391,3.78572,12.1779,2.6966,451.794,73.056,27.4859,15.6674,2.91246,34.3167,21.5277,3.27281,9.00592,5.42842,524.191,165.461,38.8522,19.5428,1.99759,33.9484,25.9291,3.60477,9.13741,4.48576,354.39,91.5239,28.312,28.8026,2.83992,27.33,19.7864,2.9208,7.07752,2.33092,444.301,117.897,37.724,34.299,2.34436,36.9882,24.0586,4.28521,13.6181,5.88757
