policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
amo,0,complete,60,12,24.7789,46.5421,0.0230235,0.0252246,398.525,63.7318,22.4563,26.5193,10.2402,33.4401,29.4602,5.37166,33.3018,41.3341,204.565,28.5706,7.90294,67.8891,10.033,16.4401,11.5499,2.34156,37.4882,43.1573,368.766,48.3458,16.7124,39.7737,9.82057,26.7585,18.6109,3.83901,39.3774,42.8929,462.29,61.5303,15.5241,38.3847,9.22997,30.8993,23.1955,5.04042,38.924,40.6292,315.928,57.4907,16.3047,36.4247,11.657,24.752,16.3324,3.34797,36.8681,41.7485,493.7,69.3996,19.2377,46.1356,9.6335,38.5265,26.6153,4.96208,40.2455,38.2297,396.771,59.1839,20.2392,42.1199,10.0366,30.3361,28.8813,4.25846,37.668,41.7012,344.587,46.1522,17.869,54.4672,9.90067,25.1509,24.6494,4.15103,32.6569,41.0564,414.202,72.8279,19.8774,49.2998,8.70563,27.7102,24.6663,4.68872,33.2963,43.4712,549.458,106.125,36.1908,79.151,9.18061,35.7391,33.1927,5.91808,40.7711,41.5817,352.416,41.5248,12.8613,43.8577,9.71324,24.8069,23.8835,3.73426,35.8864,42.1986,375.541,63.8675,18.0436,54.8008,9.98801,29.4391,20.2635,3.89291,36.8634,42.652
amo,1,complete,60,12,17.5901,21.7242,0.117224,0.112058,410.05,72.6151,23.6075,26.3906,9.97351,32.8311,25.4422,5.45649,35.1356,41.2264,489.276,60.6845,21.2883,37.3577,10.5721,34.862,27.1776,5.76491,35.8285,43.5293,318.904,44.7185,12.7692,35.272,10.4076,23.8852,17.9088,3.87658,31.5801,43.042,505.349,55.3901,21.5953,30.0792,10.1883,31.826,23.1469,4.9316,33.212,43.3557,315.999,57.4472,14.8696,43.4669,10.1616,24.5223,19.4337,3.81237,37.6211,42.4351,419.238,95.5584,28.7649,45.9043,12.4199,36.1598,25.533,5.80299,36.3505,42.9511,402.135,110.828,30.9659,47.6809,8.86304,32.8991,24.0289,6.0819,38.634,41.5515,561.989,135.891,45.4557,138.822,23.0815,39.612,31.3555,6.87585,50.8047,53.2549,419.543,132.14,32.9391,55.4052,10.1223,31.4817,26.8695,5.78969,38.5558,40.7795,749.853,103.914,59.4636,187.575,19.6402,50.9125,34.6502,8.44883,54.0975,46.6866,749.898,115.885,45.3204,83.0453,10.7225,52.107,39.0288,7.71791,41.3178,42.2233,570.201,91.9907,41.3719,82.5411,10.3075,40.7122,24.7191,6.75482,39.9298,43.0983
amo,2,complete,60,12,37.2991,3.02331,0.403286,0.345458,292.446,37.8436,17.2092,31.0808,10.4894,26.049,20.4342,4.36439,32.8451,42.2592,212.829,40.9873,10.6124,33.0919,9.98802,17.3876,14.1636,2.89968,30.5712,42.6447,537.78,57.9453,23.9643,30.8915,10.9946,34.2991,25.6724,5.75272,34.2957,43.86,328.437,48.6709,17.6708,55.8653,13.1162,22.7678,16.6886,3.7834,32.708,42.6813,360.983,47.7388,15.1322,29.5456,9.9539,24.3895,21.0984,3.92396,32.202,42.0958,568.412,80.9143,30.1514,94.9845,11.6072,40.5995,26.7414,6.85506,42.3734,41.246,426.062,74.2949,17.6378,40.6649,10.5005,30.1124,23.4071,5.03336,34.9122,42.09,437.678,62.7738,21.8056,44.0209,9.41048,32.6876,25.3921,4.45984,34.0059,42.2081,571.79,105.15,27.0657,46.2853,9.46369,36.0777,29.7442,5.75866,35.3985,41.8984,483.502,84.1304,36.4034,207.716,20.7409,38.9143,31.2787,6.51672,47.4193,43.9639,459.762,70.7156,29.8913,57.9233,9.59693,36.2707,25.7089,5.22112,41.3105,43.1919,1059.01,91.0675,60.4438,63.66,10.0313,63.7883,39.3139,8.17286,51.6654,42.5759
amo,3,complete,60,12,25.8134,12.9939,0.176604,0.135377,497.522,80.6142,30.5102,78.6167,10.3646,38.6156,29.9609,6.0409,37.2749,44.6815,437.743,56.0916,16.3388,35.1999,10.8954,30.0087,20.9089,5.11836,33.8392,43.9917,610.759,69.6757,30.7337,100.922,11.2566,39.3734,30.1258,5.06259,40.8974,42.1268,444.989,50.3009,15.7719,45.1279,9.49332,28.6638,26.7784,4.51252,37.1418,44.7889,492.693,62.9711,19.0584,31.9273,12.1695,31.5633,27.0306,4.73901,33.1899,42.4441,446.17,55.0593,19.8853,66.3102,10.8672,32.2794,26.7004,5.01531,38.1949,44.9129,480.598,91.1365,26.7533,45.3244,9.76552,34.988,29.4929,5.52867,34.7428,41.8704,372.989,81.6496,20.2105,38.8257,9.72153,30.8742,26.462,4.23955,33.505,41.7639,1035.34,182.461,72.3535,75.289,10.7925,60.8082,48.1497,8.93407,46.4401,43.3038,327.057,65.1057,23.4958,43.6122,10.7658,28.0336,20.2864,5.13174,36.7252,43.3184,603.198,121.139,82.1431,76.6082,10.7176,40.4607,30.0452,7.58298,42.4758,43.2511,805.003,110.349,52.2001,65.3734,10.7747,52.6666,38.1282,7.89388,42.8785,42.5212
amo,4,complete,60,12,35.5494,14.1221,0.178427,0.141861,399.516,52.873,24.9486,57.1349,9.78263,33.4969,27.1488,5.08303,33.3953,42.8177,287.933,48.5778,13.009,33.5698,10.7393,23.0703,16.7934,3.73212,32.1546,43.274,494.799,65.5189,20.7882,43.1426,11.4799,35.3606,29.0031,5.58625,37.6433,41.9648,149.825,28.8983,12.4569,26.7963,10.097,15.9024,8.28911,2.37029,36.4581,42.8687,507.71,109.937,33.5537,39.4815,8.34958,42.322,28.8968,6.52229,37.0975,41.2938,733.185,213.944,106.228,213.024,11.5263,59.6766,43.7235,11.3108,51.2035,46.4652,641.504,75.6086,37.5205,47.1932,11.4378,39.7508,23.7786,6.0834,36.9553,44.8054,564.728,64.2429,34.1273,80.7043,15.7776,38.11,28.0117,5.63245,46.0826,47.4718,1023.46,101.566,53.6408,166.582,13.7985,59.3657,43.3574,6.35432,47.9983,43.495,644.959,80.6224,22.2929,49.529,10.077,42.9497,29.9773,3.53847,41.1509,42.0563,598.897,66.9415,18.3704,33.7797,9.81522,39.6039,28.9868,3.6723,35.4968,41.9566,1153.23,182.083,60.7911,72.1803,10.651,73.6419,46.3371,6.58991,44.823,43.3932
amo,5,complete,60,12,24.263,3.21026,0.0434121,0.0423653,584.666,100.895,27.1706,37.1399,9.39233,49.2275,37.7021,6.89572,34.0348,42.4754,460.603,58.2448,17.9926,42.7196,10.1611,29.941,30.1676,4.78307,34.6426,45.0082,319.806,44.5659,16.5129,37.605,8.5611,21.4982,19.8584,3.58878,35.2176,42.3699,251.409,43.9154,11.1462,38.5698,10.697,19.0611,16.6941,3.18433,34.5032,42.5623,517.751,69.2513,25.1134,88.2075,9.28818,36.2464,30.3361,5.41345,36.9596,45.0829,423.927,80.3198,23.3561,72.6571,11.5618,31.0815,26.592,4.91474,40.2962,43.0979,227.005,53.9789,14.4709,43.1655,9.47961,20.4966,14.3753,3.55566,33.5924,42.7596,600.123,123.502,30.7702,60.8494,11.1804,42.8028,36.8815,6.81977,38.1086,40.6684,774.761,120.072,32.005,44.8192,9.94707,52.3297,40.7149,7.15976,37.9288,44.7662,1208.38,146.225,102.777,60.2571,10.1342,61.5899,41.1758,9.85904,40.6071,44.4647,690.439,78.5477,34.7603,69.8248,13.2894,45.8092,31.0877,6.81343,39.1184,43.7084,347.744,43.7852,12.8244,27.535,9.57578,25.9028,20.8693,4.32106,31.5445,44.4433
amo,6,complete,60,12,39.9557,33.4755,0.38255,0.432313,323.969,49.7446,17.8333,31.5016,9.92163,29.3823,22.7803,5.07085,30.441,43.0439,366.064,46.1144,14.6288,27.9852,9.20568,24.367,21.6103,4.14114,29.125,42.4984,250.708,35.6311,10.1136,31.0456,9.33697,18.4426,19.8525,3.04525,27.0475,44.3963,496.684,72.3027,18.4062,40.3707,9.66992,33.8744,29.459,5.0529,34.4501,41.6437,414.572,56.1156,18.7723,40.94,9.6679,30.2436,23.6451,5.03998,33.935,39.8248,674.592,156.69,38.3155,78.1615,10.8336,45.0446,42.4693,6.46259,42.7968,42.78,431.422,62.2368,20.009,46.4023,9.86315,31.5576,29.4434,4.63292,37.8828,42.3232,886.077,99.2915,42.4856,52.4695,9.75912,55.4798,33.906,7.95837,45.131,42.4352,285.276,38.1163,14.1931,35.3573,9.09385,21.6713,18.4398,3.4778,36.0925,42.4495,408.123,65.1656,19.9733,44.1921,9.8662,28.9423,25.6902,4.3576,38.4058,41.5898,1158.17,118.118,67.4573,70.0849,10.2668,67.1822,42.7734,7.97707,48.3661,40.7868,1123.85,181.21,63.181,255.351,40.8266,65.985,47.0447,9.16716,71.4173,57.5895
amo,7,fell,26.36,6,40.1578,5.50104,0.585618,0.867095,377.252,58.5885,22.3294,28.5147,10.0522,29.0206,23.0985,4.92227,28.4565,43.4294,490.932,53.6537,21.8875,89.3654,15.186,32.6569,24.8186,5.5094,35.856,45.5687,450.933,69.3799,17.4426,26.434,10.3517,31.6384,24.4592,3.90379,31.7374,42.3067,466.199,68.2757,18.6168,27.5328,11.1691,32.9096,27.7963,5.02622,33.1581,42.3519,539.833,80.6044,27.5934,31.4289,10.2215,39.2005,30.8626,5.5246,31.6827,41.365,2708.79,295.066,333.433,55.7153,9.0621,95.4956,47.5499,20.857,37.6101,22.6837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,8,fell,56.54,12,113.847,18.0991,0.918493,1.59243,217.104,33.3664,17.0394,25.892,10.1903,21.7062,16.201,3.64379,31.9706,43.0396,420.893,76.3397,14.5918,34.8672,10.0085,33.2332,22.3159,5.21469,32.6585,43.2776,651.398,72.6008,29.2683,76.2175,10.7013,39.5988,31.0265,5.54436,37.9239,43.3816,822.28,118.321,29.0986,51.0479,11.0973,47.563,35.2213,6.04228,35.7647,41.5641,268.566,61.3806,12.8163,27.474,8.78625,20.8659,15.9881,2.97673,29.1035,43.0955,738.469,132.98,42.6524,96.5725,13.1755,57.7622,51.1467,7.46526,52.0641,45.9791,1386.2,130.626,121.351,44.6764,9.02281,90.353,56.4171,11.4025,41.2832,42.8382,1392.12,99.9872,126.509,189.674,14.0452,86.5693,46.4521,10.7506,54.8478,43.9727,856.665,158.1,57.1403,58.7009,9.59895,51.4674,52.7547,6.49555,41.7724,41.9453,985.375,157.618,78.2639,45.4647,9.75629,73.662,59.7644,8.7476,39.7775,43.8145,1506.46,148.739,114.006,181.593,18.6728,97.7193,61.2146,11.5176,60.0709,48.7665,2320.1,267.167,153.473,76.521,12.51,79.7816,48.8232,11.0344,31.7245,17.1674
amo,9,complete,60,12,18.3107,8.20006,0.235951,0.225618,302.114,41.672,22.7464,32.5223,10.0467,27.8289,19.589,4.2026,32.7025,42.7575,199.858,42.9514,13.2166,80.2383,9.8438,19.0535,15.4475,2.42686,29.6085,44.1741,382.31,56.4358,17.9391,51.0545,9.72707,28.4852,21.9519,4.17515,32.5456,43.4662,479.374,48.2289,18.7825,36.952,10.4407,32.7034,28.5008,4.72722,31.041,43.0876,487.401,93.0033,22.6072,58.4621,9.8693,35.39,29.3935,5.24921,37.0256,44.0551,310.757,78.0198,16.6201,45.4165,8.55345,24.5647,18.3151,4.28849,34.8227,39.9071,510.842,63.5771,19.3694,34.3758,9.86289,35.0242,27.5765,5.15465,30.7599,42.3808,489.467,99.7768,19.7818,36.6969,9.78388,33.845,28.553,4.84031,32.5237,41.8928,404.52,51.9337,17.5747,34.7229,9.55244,30.2469,22.862,5.01436,32.8797,42.357,357.124,47.3225,16.1465,31.5575,9.37976,23.8207,23.4608,4.23978,30.6282,42.312,425.748,64.6677,18.7769,32.8831,10.1175,29.0603,21.9408,4.10396,32.0508,43.5998,462.844,66.2777,21.1463,35.164,10.5342,34.259,28.9518,5.54759,32.5581,42.8036
amo,10,complete,60,12,17.7526,18.4344,0.148323,0.19438,425.462,76.0053,22.018,34.1425,9.30836,35.6227,29.1035,5.53341,35.5766,41.9541,149.17,18.5879,6.99831,31.9875,10.2662,13.44,8.46242,1.99361,31.8055,41.6381,407.077,71.0097,16.3268,42.1608,9.37379,29.2766,27.1593,4.61095,30.5852,42.029,257.343,26.8555,11.9531,41.3638,9.79227,18.2921,13.919,3.0271,34.0279,42.9438,402.121,54.6655,20.212,48.0778,9.28603,28.3382,26.0071,4.66985,35.4275,43.7604,305.803,42.8418,35.0567,74.4566,10.7762,26.2304,20.2599,4.52928,39.6366,42.0709,243.456,28.3563,10.1907,42.4866,9.78677,19.1321,14.2344,2.96534,36.2138,39.8456,378.69,69.3268,26.7608,36.0221,10.0733,31.0148,26.1278,4.5495,40.984,40.9815,192.12,32.3634,8.86888,32.1138,8.76725,15.6148,14.7391,2.60354,34.9578,43.975,288.589,47.9194,16.2557,37.047,11.6233,23.252,19.7704,3.6514,36.5764,42.1384,349.716,58.9019,21.613,33.0352,9.60958,23.4136,21.3046,3.98728,35.7942,44.6551,477.766,166.031,51.0228,29.1437,10.4287,37.2377,36.4328,5.97655,41.0811,43.0213
