policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2
grove,4096,complete,90,18,7.57694,3.56716,0.00841135,0.0136083,523.27,155.319,25.2459,59.3638,2.6802,41.4378,97.0381,8.0077,13.9327,2.31156,214.498,75.9919,11.199,17.6825,1.73173,20.1155,52.0436,4.53705,6.82052,1.34283,254.56,66.2721,25.1234,76.5572,2.69923,23.5046,39.3012,5.34196,12.4381,2.36325,320.467,120.374,17.7066,28.7172,1.58839,25.6627,74.5342,5.63081,9.73073,1.5296,323.178,86.002,20.0038,28.4694,1.87503,24.7311,60.746,5.2545,10.1308,1.57161,483.618,152.14,32.4465,56.4579,3.08533,44.5888,99.8935,9.55493,19.0524,3.51862,288.521,102.707,14.4699,15.7264,1.75492,26.7768,59.2833,5.62009,9.31979,1.92586,445.563,123.982,50.4843,108.226,12.0917,35.61,73.1511,8.49381,24.9118,10.4703,296.367,86.8082,25.7946,65.1272,2.67668,23.7844,62.1946,5.51441,13.2255,3.12812,519.779,187.123,25.6305,60.7935,2.10319,35.4092,87.3143,6.84995,14.2904,2.85559,369.044,73.8884,20.7297,26.7255,1.702,27.8506,48.2119,6.31896,10.8727,1.49833,469.296,161.487,24.6081,36.815,3.06358,35.4986,86.3469,7.42447,14.2464,2.76363,290.77,119.131,13.6728,19.9875,1.64579,23.9905,57.4974,4.78853,10.0082,2.08911,439.744,132.038,21.6072,22.7238,1.9508,27.7628,60.0586,6.59047,12.7742,2.06902,319.06,66.2098,49.326,15.3502,1.75773,24.8012,37.0907,5.45579,8.9307,2.27968,431.845,135.873,19.3186,15.8743,2.10534,29.778,70.0624,6.11219,8.82811,2.78644,634.855,158.927,29.2783,27.6624,2.42615,44.216,88.7719,9.22344,14.5361,3.01631,489.537,148.875,75.0988,115.014,16.4976,37.4669,70.5139,10.0098,20.9113,12.0107
grove,4097,complete,90,18,6.34131,4.10748,0.026008,0.0259127,291.612,89.7807,17.8051,21.5422,1.74429,30.2351,67.9661,6.02814,11.3372,1.73928,311.275,75.6865,17.4156,25.7217,2.4669,28.4545,63.7301,6.05722,11.8369,1.90846,381.869,115.719,18.6034,23.9904,1.3022,24.1113,56.1236,5.66772,10.7965,1.31462,1045.46,183.216,38.5118,25.9731,2.17408,49.246,94.3483,9.6419,14.764,2.75888,569.758,109.864,32.6653,40.6077,3.39999,32.3147,70.5778,6.72163,11.1127,2.83226,154.117,59.2351,10.9482,15.2753,1.9728,15.002,36.387,3.26457,6.93153,1.7967,540.686,146.68,29.6049,78.209,2.18795,39.6368,96.8838,8.01638,19.1801,4.07347,562.945,146.129,23.5721,65.6381,3.57327,34.0409,77.3031,7.57795,19.6519,3.53056,324.884,48.5355,16.659,13.867,2.12609,25.9978,40.9828,5.96456,11.1156,1.82343,884.428,149.981,44.2986,142.483,6.16239,48.7455,85.2684,10.6218,24.7493,5.50963,286.552,56.1584,11.8608,14.1368,1.22585,20.4484,47.4682,4.5173,7.22342,1.26277,1438.65,210.087,51.5053,28.1038,1.97525,69.4251,133.596,13.7803,23.97,3.66159,1008.56,371.777,50.0364,42.3716,2.36027,71.4077,163.535,13.3238,26.0826,3.99122,382.101,100.673,27.537,46.5589,2.15581,30.0705,63.8718,6.49697,15.9988,2.23738,344.667,90.4513,16.7865,26.612,1.39516,21.9478,52.2681,5.06345,10.434,2.15391,147.623,47.9784,9.52841,25.1528,1.47111,14.559,28.5809,3.33502,7.70339,1.4573,237.171,51.4976,13.3078,15.1466,1.49114,23.8111,44.0021,5.24236,11.7237,1.43117,1624.46,138.526,62.9968,40.3823,2.16891,59.1728,85.4908,11.8858,19.7915,3.17558
grove,4098,complete,90,18,5.97268,3.20886,0.00518777,0.00805079,279.459,114.139,11.124,19.7054,2.08051,28.9337,63.7622,4.99338,9.46306,1.62724,256.933,63.7601,13.4941,19.581,2.16991,18.8446,40.6521,3.9215,6.26387,1.13106,262.254,83.0117,16.2763,17.799,2.68175,21.4546,50.0777,4.81165,8.47596,1.96588,306.854,120.323,25.0754,28.2875,1.3857,26.2851,62.2035,5.43861,11.9167,2.62854,371.771,111.419,20.7991,51.6468,3.49236,27.5428,63.16,5.93873,14.8859,3.91428,429.722,85.4218,18.2203,16.5734,2.16613,28.9859,58.1572,6.49147,11.6531,2.4436,187.058,35.1848,19.4034,14.5894,1.73705,16.4458,25.4472,3.61297,5.82038,1.56314,1013.78,236.527,112.807,214.227,10.4007,56.4774,116.765,13.6216,28.6707,10.0186,350.997,66.7796,20.927,24.3086,1.74718,25.6714,52.7376,6.32247,10.8796,2.2153,138.265,50.0416,7.82309,18.2938,1.97337,11.4528,29.5432,2.41344,5.25881,1.37499,659.879,179.657,38.5154,39.9993,1.92779,44.0149,95.3351,9.54723,19.6103,3.32038,1110.34,151.891,66.0511,153.613,7.17872,54.1509,92.3712,11.2528,29.4289,7.2613,621.446,184.574,32.7173,23.6045,1.56163,42.6812,96.6469,9.18014,14.069,2.41795,344.802,132.437,15.928,21.744,1.9959,22.5059,64.0422,4.86347,8.38648,1.31103,322.541,71.5917,17.286,28.614,1.83728,23.0069,47.5732,5.2656,8.42463,1.53636,205.933,66.7333,13.399,19.5414,1.24041,18.5046,37.8897,3.8175,6.72986,1.01688,331.056,125.771,29.7783,33.3749,1.64317,29.2177,68.4879,6.51613,10.1733,2.24523,344.405,76.646,31.3196,84.0325,2.30044,28.1133,47.3471,6.32402,14.7444,2.57173
grove,4099,fell,45.62,10,12.9832,12.9794,2.77067,3.69114,283.479,89.3237,18.1889,34.534,1.63161,29.1034,62.2952,5.61279,11.2336,1.9127,277.085,75.629,15.9359,41.0472,2.791,20.4035,47.5407,4.1518,10.9907,2.18589,466.983,112.995,23.634,30.2203,2.15448,29.8363,72.4298,5.89661,12.3588,2.76306,250.489,46.1293,14.3982,24.6003,1.89336,19.3087,38.456,4.48479,8.73081,2.08588,159.171,75.5279,15.8119,20.2828,2.14389,14.1298,38.0503,3.23758,6.28109,1.63591,209.971,62.1176,12.153,22.6955,1.70818,20.3614,48.5853,4.51944,7.35316,2.28125,106.333,37.2455,5.40639,18.872,2.4763,8.13261,21.9274,1.85447,4.02933,1.1863,212.422,55.1564,16.8342,16.8286,2.0963,24.3119,43.5685,5.89966,7.9537,2.39196,410.896,70.6948,18.3568,20.8971,2.42081,27.093,53.3819,5.53694,8.8863,2.57057,1623.44,189.56,166.607,259.81,19.9329,50.1295,60.6285,12.3266,36.6,16.6054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grove,4100,complete,90,18,58.6423,5.08034,0.0130412,0.0190473,377.482,122.371,17.8676,23.7456,1.76917,33.5868,80.936,6.61356,11.6949,1.85774,278.813,73.7086,14.4343,29.3038,1.34431,23.6778,48.5946,4.77036,8.74206,1.58315,218.066,47.5754,17.8128,78.7126,2.22687,15.8733,29.2368,3.60251,9.96299,2.14218,488.517,96.8822,22.2273,28.7686,1.15684,29.5207,68.7273,6.30389,9.27972,1.71188,394.958,74.1535,19.9522,74.4976,2.51859,29.0713,59.2981,6.93707,14.5204,3.18508,354.416,109.886,49.6906,118.995,3.58736,32.4548,71.7688,7.02456,15.9144,3.50724,171.117,45.5625,9.29941,21.1173,2.327,16.2703,31.1944,4.02135,6.21227,1.03782,341.167,101.594,15.8091,21.0265,2.69288,25.1865,57.7846,5.21136,8.43779,2.11557,161.619,53.0892,11.704,16.2428,1.96898,18.0319,41.4764,4.01771,6.61736,2.07198,278.755,67.8918,17.4137,23.6298,1.96189,26.9627,48.7476,5.84102,10.4843,2.40778,305.482,64.2382,17.7958,23.5591,2.05844,22.2348,44.9372,4.5651,8.63771,1.55916,899.139,166.261,84.008,102.628,4.81238,52.9324,108.505,12.463,19.5162,5.53164,3665.07,803.744,217.923,186.276,13.9548,146.979,281.344,32.115,40.765,12.255,1605.31,442.141,126.664,175.8,10.3505,94.8987,203.748,21.1574,37.5615,11.0507,1203.31,358.715,68.5219,142.535,9.10983,76.4775,171.537,14.8209,24.1835,6.20022,3154.42,496.39,201.289,61.9089,2.24026,133.268,229.754,26.6948,29.5913,5.83563,587.106,114.302,33.4595,55.2289,2.82632,39.6684,76.6551,9.97652,15.8486,2.91126,78.1299,38.5596,6.99432,12.7888,1.45489,10.3531,21.8309,2.1,3.80213,1.38898
grove,4101,fell,65.8,14,10.5922,11.8945,1.36337,1.61388,376.123,123.971,16.1957,17.7644,1.62626,34.0863,77.4395,6.69903,11.8417,1.9185,577.179,160.005,19.3094,19.1434,3.59177,34.5716,84.5815,6.6354,10.133,1.76618,439.642,108.609,19.6837,50.1311,1.68548,33.0142,61.881,6.94132,11.7747,2.61491,265.509,58.4663,13.2972,19.6642,1.995,22.943,48.4407,5.07777,7.00532,2.00349,320.194,91.1147,15.5682,14.6382,2.1685,26.4445,55.922,5.61056,7.30415,1.6653,307.37,90.7746,21.0111,19.5572,1.63517,27.1884,63.7239,5.94682,7.44985,1.64874,622.442,222.805,30.6831,33.7563,1.97182,47.3367,113.977,9.59638,15.1165,2.84606,489.416,122.383,18.7298,20.6238,1.15478,31.9588,78.396,6.51926,11.7353,2.3011,390.607,84.6443,17.0093,23.299,1.40607,28.5428,56.4958,5.88836,8.82284,1.93312,286.931,67.8427,13.3769,21.0472,1.28619,20.2506,43.4612,4.52294,6.1456,1.59452,61.0203,31.9777,4.04503,16.4216,1.52629,6.52838,14.6051,1.63787,2.7795,0.800055,545.616,115.574,31.7921,25.6042,2.55433,34.552,68.0478,6.76657,10.527,2.78,414.453,124.088,22.6607,27.4501,1.9129,30.388,73.7163,6.95895,12.3066,2.28148,2854.14,272.23,105.747,144.712,12.9481,67.1602,80.1736,13.5059,33.8142,12.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grove,4102,complete,90,18,75.9406,3.89435,0.741136,0.838246,311.346,101.762,14.2487,15.6763,1.90688,29.8065,65.4369,5.62614,8.59056,1.56146,281.863,83.9351,9.95624,19.7209,1.77153,20.7065,44.6415,4.14368,7.01727,1.48139,220.731,52.0517,16.8445,25.8144,2.13219,19.3014,40.0603,4.67649,8.35051,1.3886,328.884,92.1979,21.1564,19.0131,2.0401,28.9865,57.5523,6.28693,8.74576,2.25591,237.088,69.0381,15.4617,56.803,1.8773,21.8991,37.0143,4.55512,11.8118,2.38439,874.94,147.237,41.0888,58.1166,3.11231,41.3578,77.8795,8.58967,18.9554,2.93652,537.248,158.701,29.8338,70.9176,2.73188,37.8721,82.5095,7.71966,19.6728,3.54572,186.266,106.248,10.8885,28.3894,2.23284,19.051,52.2536,3.73696,7.24092,1.73084,161.182,48.4958,9.0242,20.641,1.48522,15.5764,36.5387,3.26464,5.65509,1.19892,573.029,159.972,30.2524,29.8925,2.83272,40.4569,106.172,8.64817,13.7685,3.72216,226.029,44.3835,12.7131,22.848,1.3086,16.6662,30.3994,3.36787,4.96213,1.53347,160.553,55.91,12.8049,13.827,3.2942,13.6391,32.6792,2.93703,4.90778,1.73033,680.721,168.679,44.6895,209.521,29.8484,43.8699,99.6369,10.5298,48.3415,19.3539,283.607,98.646,20.581,30.2672,1.67833,27.0721,61.3951,5.36261,9.30053,2.29207,261.631,38.3396,15.5791,20.3785,2.7192,19.904,27.7055,4.26317,6.71438,2.05796,383.538,83.4332,23.407,18.2541,1.95819,27.4053,53.5766,6.25728,8.56486,1.96029,3997.77,1112.05,182.158,287.107,7.31082,168.031,378.522,31.2787,62.9157,13.1168,1384.95,310.635,61.5412,56.7844,2.06881,76.8168,170.201,14.4912,24.1825,5.29415
grove,4103,complete,90,18,12.574,3.72929,0.00734371,0.0060686,324.932,143.733,19.0759,26.3644,2.35913,33.4593,77.0401,6.84887,12.0515,1.74039,217.518,65.1791,9.82168,27.5089,2.39329,17.0011,32.33,3.2261,7.20857,1.52581,781.984,177.57,51.9888,80.8917,14.6459,49.4188,88.3678,10.295,23.1433,6.75678,556.975,146.211,23.0877,36.3367,1.57958,37.6416,79.4628,7.58774,14.9319,2.32644,323.277,70.3441,23.6057,77.6398,1.73951,22.1954,51.6748,5.33744,11.1375,2.33165,400.438,110.122,26.6305,47.2586,2.17637,29.8634,75.984,6.42848,14.4802,2.86701,461.715,119.224,19.722,31.7333,2.41199,28.999,63.193,6.4573,9.80971,1.50433,463.143,144.505,30.5482,28.4487,1.65587,34.3902,76.3935,7.54865,8.99955,2.13157,398.284,87.1631,31.6169,99.7163,3.66401,30.2796,63.4768,6.77568,13.284,3.90753,197.265,53.2688,11.5345,16.6543,2.14294,19.7454,47.5603,4.44407,6.8157,1.82894,157.584,75.1359,10.7369,15.7234,1.80221,13.1381,40.0121,2.94406,4.62393,1.2484,323.741,83.913,21.0472,51.0415,1.90202,29.2425,65.9411,7.24559,14.4886,2.78369,328.314,109.169,19.8947,129.406,6.58911,24.3412,59.4049,4.90195,14.9805,5.02902,236.326,43.5927,15.3841,17.1507,2.19778,19.6919,34.5568,4.53843,7.24355,1.58532,397.296,77.9775,17.4107,23.7747,1.81608,27.6876,60.8166,5.48749,11.1713,1.77363,2385,407.713,137.888,220.594,6.96627,104.755,207.844,22.9798,43.4859,10.8791,1688.82,254.582,126.183,187.4,6.99847,81.3661,135.544,19.4159,33.7851,8.1827,527.034,137.856,82.605,59.0907,1.88766,46.0119,79.5962,11.0656,15.68,3.21424
grove,4104,fell,55.84,12,11.6843,11.4831,1.64558,0.79302,199.991,48.0896,13.6498,30.7468,2.051,20.3934,42.402,3.90126,7.49128,1.58432,361.912,87.011,18.5863,68.5824,2.28456,26.1582,59.5038,5.22439,13.9572,2.5725,338.71,90.6853,18.6587,15.2078,1.82977,29.3621,67.7179,6.54789,10.5797,1.8584,387.937,78.4885,15.244,43.4577,2.67637,24.4734,49.7852,5.46432,11.2578,2.71581,299.455,52.844,11.8279,20.2884,1.73251,20.1361,40.8322,3.8309,6.83481,1.61624,275.511,103.431,17.1655,54.6152,1.57884,23.309,62.5622,5.27825,11.6419,1.8085,431.985,80.6738,29.7846,19.6182,2.16675,34.7221,62.6436,8.03555,10.9756,1.868,320.284,74.4081,15.8498,20.3197,2.05077,24.5944,55.0898,5.58873,8.19953,1.73253,569.381,123.135,26.5995,17.9044,1.68267,40.1733,85.7643,8.53217,13.6528,2.22853,418.053,113.466,16.9623,34.0118,2.67551,28.0397,66.2398,5.7707,13.8194,2.33439,589.538,62.9432,30.2493,15.1411,2.18846,31.2233,40.5576,6.55053,9.44645,1.79326,2181.53,193.975,137.442,51.4167,18.4275,65.6917,64.7433,11.6715,20.0811,17.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grove,4105,complete,90,18,53.2577,5.94213,0.647929,0.730062,447.782,132.427,16.0635,13.8943,1.93046,31.1563,78.2204,5.53691,10.5835,1.76683,315.728,67.7285,15.2378,15.7821,2.18879,22.5955,52.3004,5.07236,7.43506,1.40118,295.112,93.3922,18.642,32.9136,2.42977,25.1386,55.7274,5.75033,12.2793,3.16075,380.341,98.7333,16.1616,20.1272,1.68644,24.7061,56.8263,5.18744,9.33474,1.39128,171.079,57.2258,9.36757,27.9718,1.93581,14.8712,39.6615,3.28263,8.51248,1.25874,575.339,130.581,28.5725,30.5054,1.8425,41.9168,87.2644,8.7884,16.3886,2.3464,162.284,61.9839,13.6115,43.4402,1.7981,13.4545,35.8248,3.2128,10.5872,1.91046,543.156,107.994,39.752,27.7758,1.34112,42.4181,80.2956,8.39264,11.7515,2.306,713.473,201.174,32.5341,65.8692,4.14041,45.343,105.498,9.50327,15.8986,4.34779,6410.91,911.82,304.362,293.349,23.2362,219.682,373.579,45.8425,78.0737,15.0251,1418.37,226.78,73.4792,118.596,2.41985,74.674,156.136,13.4094,29.7088,3.56804,457.306,139.881,14.0222,19.3004,1.22295,32.0701,82.5973,6.33734,11.6729,1.62672,403.893,102.553,23.2689,23.0953,1.68179,31.9736,73.8245,6.90049,12.7501,2.35591,227.761,86.6882,12.3337,81.4867,2.22959,22.3724,49.4906,4.4607,14.0027,3.39101,368.463,84.0913,16.73,61.5978,1.24675,27.5186,61.6439,5.5487,14.7594,2.4627,361.714,116.165,15.933,16.2025,1.33247,29.3295,65.4951,6.29369,10.9943,1.37761,2473.21,752.986,123.27,209.518,20.2309,116.343,260.527,22.3916,53.8987,12.186,743.028,155.756,38.3484,29.4979,2.4739,51.822,106.37,9.87466,18.801,2.52397
grove,4106,complete,90,18,9.64425,3.67483,0.00930743,0.00875077,301.689,107.662,15.3623,20.2813,1.69545,27.462,65.2121,5.64807,9.30147,1.45865,393.749,89.6833,17.7226,37.8527,1.59679,27.8336,53.2497,5.15795,13.2107,2.30573,202.93,43.5633,11.0299,12.7163,2.02369,19.3687,35.1685,3.9897,8.24195,1.43694,277.393,83.5801,14.3426,66.4167,1.84151,25.8172,51.8489,5.40843,17.2302,2.28656,593.464,144.668,27.7953,22.2687,1.45943,39.8079,89.8802,8.46804,14.2494,1.86677,275.524,92.9606,13.4676,34.6551,1.75951,19.8732,47.2765,4.38173,8.01546,1.45734,342.05,88.3708,23.967,74.1816,2.59646,28.1753,59.225,6.52436,11.2732,2.80561,309.355,77.6783,26.2152,94.162,5.03806,27.1414,56.0232,6.49525,10.659,4.5495,439.657,151.079,25.6152,29.0643,1.3318,36.5806,77.965,8.05284,12.169,2.50508,366.649,84.8743,37.9185,225.925,13.9567,29.722,72.5955,6.42337,27.3758,11.3547,251.168,53.7827,17.5184,22.6195,2.12287,21.367,40.5061,4.54827,6.5053,1.49776,791.371,187.958,97.3233,219.926,17.1,60.6384,105.401,13.4275,28.8287,10.1558,110.721,33.7947,6.46725,16.8439,2.0734,9.7445,23.5002,1.91371,3.15155,1.1333,320.854,84.333,17.4311,21.2349,1.54452,26.5512,59.9226,5.84627,8.86831,1.45914,1396.84,320.023,54.6004,32.6583,2.26335,79.4154,171.951,16.441,23.9388,3.82112,2221.04,328.039,138.043,30.6339,1.50581,102.513,181.044,22.5036,26.2332,5.16725,665.935,228.716,27.3508,15.3891,1.84874,50.9693,120.555,10.4578,14.9367,3.11192,381.203,84.4846,22.758,18.0816,1.91069,28.6734,62.9748,6.29317,8.49783,2.00789
grove,4107,complete,90,18,15.6472,3.70325,0.00646216,0.0135365,287.61,91.8661,12.7041,12.5047,1.16431,27.6741,61.262,5.15635,8.18993,1.35487,330.658,70.9003,11.9967,16.6463,3.32056,21.2917,54.7347,4.12256,8.63644,1.50321,206.585,53.8933,19.0059,51.2981,1.84614,18.818,33.3378,4.28016,9.27533,1.95341,435.551,87.9709,26.4316,24.0083,1.20444,30.855,46.6947,6.81985,9.66816,1.86303,392.47,83.9693,50.4453,132.544,4.8789,34.4077,61.8038,6.83814,16.7386,4.18053,358.453,87.706,25.8055,26.179,2.02562,27.7162,57.2946,6.10872,10.2017,2.0657,300.699,94.3513,24.3966,47.9671,2.72024,26.5771,63.4126,5.97973,11.4059,3.10682,2083.4,308.973,122.606,193.872,6.7204,90.6287,171.904,17.204,32.495,9.0574,431.71,180.458,19.8399,72.8386,2.14698,31.8426,90.9713,6.7967,13.0556,3.58937,1007.82,282.592,112.976,176.605,19.1383,62.2534,135.977,13.8131,30.3731,15.4247,344.885,78.0177,18.9648,29.6135,1.59452,23.5943,50.4855,5.2973,10.2086,2.32675,236.846,66.6316,17.2331,22.7546,1.55262,22.4826,53.6553,5.35937,9.64423,2.48434,362.568,79.4399,30.6722,44.9674,1.91873,29.5688,58.065,6.76228,13.1346,3.22827,334.84,76.9429,28.8209,63.4537,1.91376,23.096,45.4363,5.20188,11.8154,2.80026,640.178,104.504,29.8396,63.2919,2.43855,40.165,75.7768,7.95984,17.4744,3.89472,585.535,152.832,33.9975,34.6171,2.03059,41.6699,92.118,9.74777,16.693,3.81319,1265.85,456.491,52.4078,62.159,2.02088,75.9348,180.99,14.984,25.5529,4.83161,729.157,157.391,35.3624,18.7877,1.82169,43.8098,97.0588,8.67772,11.9298,2.28867
grove,4108,complete,90,18,6.93293,3.71876,0.0143369,0.0148037,501.482,166.32,19.9644,19.3973,1.29947,40.3006,97.1403,7.19324,11.5833,1.79133,320.518,79.7268,18.2669,29.1572,1.28583,29.1217,68.3804,6.81219,12.1643,2.1192,462.589,110.441,21.8047,53.2938,2.62661,30.0266,66.8581,6.08475,11.2113,2.59862,657.244,194.069,34.9784,26.9802,1.73889,43.7275,96.2969,7.75044,13.6721,2.59339,265.488,81.5579,16.7076,17.4354,1.98354,24.0067,57.5749,5.46591,10.1771,1.79443,287.433,60.499,15.9967,20.0482,1.14512,21.4264,39.7044,4.78486,7.72335,1.36559,1126.84,236.069,54.3321,36.2457,1.77177,50.6094,120.881,10.7585,18.5768,2.52749,590.96,152.225,31.6381,100.115,2.53353,34.9938,72.4186,7.06503,14.6935,3.03431,581.713,137.841,40.4591,98.3217,5.49638,42.1282,95.2976,8.86694,16.5333,5.68144,390.588,87.2385,19.1346,19.834,1.85493,27.3705,55.2862,5.93197,8.92004,2.2173,1332.25,156.789,57.169,28.432,1.7788,57.9229,98.9202,12.1585,16.0221,3.17816,810.502,161.187,39.4646,31.6177,2.14744,41.5055,80.9433,8.88202,13.8774,2.23733,909.377,231.397,49.0958,44.6922,1.13063,50.7532,120.903,10.3498,19.2724,3.14643,1835.41,476.291,95.9596,72.1796,1.77149,98.195,206.573,19.3884,27.9214,3.47548,352.999,126.182,38.4142,28.8613,1.93988,30.0568,76.0367,7.21169,11.5719,2.08583,147.512,49.9402,10.4187,24.9304,1.79503,15.9415,36.5501,4.04379,5.68105,1.42855,375.346,73.8921,19.4239,24.2202,1.6576,26.9642,53.49,5.97266,6.82917,2.09408,591.122,135.833,27.6336,22.0692,1.21597,40.5126,74.777,7.85123,9.53184,2.37714
