policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw
amo,2560,complete,90,18,29.3494,6.84786,0.200321,0.293811,546.555,95.6919,31.3912,70.8137,2.7029,42.0242,37.9632,6.40831,17.0775,2.80119,22,0.41664,1.67818,215.142,36.0369,11.8968,30.7875,1.71594,16.4377,11.0446,2.71127,6.15452,1.48475,8,0.513142,1.70933,73.7244,8.97849,4.2519,23.9897,1.26896,6.63176,4.34567,0.913594,4.00899,1.17039,3,0.319216,1.51779,399.359,50.2964,19.7714,23.0691,2.57343,26.5427,25.2511,3.96704,7.44399,2.1279,16,0.617794,1.99312,409.384,59.0067,18.5895,27.0738,2.77201,29.5381,23.0254,4.68186,8.74955,2.3768,15,0.58013,1.99856,395.206,54.985,18.0254,29.1994,1.99325,27.6238,26.9506,4.02196,8.38538,2.21592,13,0.708236,1.9148,230.706,32.4768,10.9202,28.7779,2.12071,18.903,17.6382,2.68622,5.75072,1.58557,9,0.509837,1.53865,434.79,48.6132,25.8421,116.617,3.52739,33.8764,22.1526,4.52043,16.9207,4.2772,19,0.453259,1.20525,483.583,62.0316,25.2703,31.1853,2.4053,35.8398,29.2643,4.70562,10.6983,3.0743,17,0.558077,1.94099,285.086,88.3638,29.3377,37.8451,1.58846,20.2655,18.4322,2.93568,10.0395,2.42534,5,0.521704,1.46272,284.472,47.4351,14.546,28.8641,1.8025,22.3177,17.6322,2.99277,7.465,2.02435,10,0.455024,2.20196,373.942,46.9414,17.3353,31.1903,1.65054,28.6512,23.5581,4.21973,8.96787,1.74784,17,0.470544,1.52091,398.421,50.7314,21.9052,35.793,1.78562,27.1595,24.4302,4.08133,9.19765,2.29403,14,0.61699,1.76083,786.859,109.667,38.0918,37.1111,1.75662,46.5962,33.028,6.47193,12.2423,2.94553,21,0.415243,2.05988,341.335,43.5807,23.5858,68.0583,2.31968,28.0447,22.8647,3.99736,10.2759,3.19087,13,0.566649,1.85973,608.255,66.9904,43.3206,134.291,2.84402,42.9506,34.1482,5.75561,21.6022,3.19988,19,0.596882,2.00605,345.235,79.0789,23.2495,57.0121,2.2502,26.3274,17.3511,3.97547,10.0239,3.05817,13,0.340708,1.67653,525.494,72.8444,26.693,31.5355,1.35428,35.6047,29.3707,5.27077,9.53036,2.06603,18,0.498632,1.94495
amo,2561,fell,76.52,16,32.4942,9.36795,0.900135,0.785908,475.29,61.0847,23.9772,17.8891,1.98162,39.919,29.8391,6.58762,14.3271,1.99089,23,0.441278,1.64764,254.973,37.2639,12.1273,18.8635,1.45604,18.5415,14.1341,2.94297,7.11266,1.11821,8,0.626591,1.96934,380.958,57.2651,19.3004,53.4886,2.21276,28.0983,19.9526,4.17589,13.568,2.48323,19,0.432498,1.33042,511.49,71.9178,25.3036,26.4027,2.34543,35.4374,24.2946,5.12823,9.77227,1.7733,33,0.486116,1.19973,602.559,52.7183,30.5192,68.2445,3.86127,37.9083,28.3925,5.46367,15.9918,4.8441,27,0.691888,1.21447,615.357,87.1667,22.5827,21.9913,1.64988,43.3215,37.1052,6.22377,13.1947,2.12829,33,0.404456,1.14889,575.2,67.534,27.8783,18.0296,2.25075,42.0231,30.3946,5.68588,13.709,2.28844,19,0.536147,1.70059,201.021,34.4879,8.02869,11.6501,1.17144,15.1905,12.1018,2.40543,5.37623,0.970629,7,0.488557,1.67676,339.859,41.6347,14.7422,19.8774,1.22313,24.8814,22.4368,3.63043,8.42187,1.46573,12,0.58112,1.79158,461.51,67.4295,19.7175,35.6686,1.85574,32.9459,27.0636,4.8321,11.9298,1.99513,17,0.50356,1.70774,453.231,50.691,21.6315,96.2721,1.60882,30.5729,25.8493,4.30384,16.4353,2.73759,18,0.531073,1.53195,1024.4,108.749,63.8056,58.0946,1.95477,60.1073,40.8521,8.94108,20.8626,3.72738,23,0.45542,1.67807,509.115,80.3572,21.2565,50.4331,1.49275,39.1399,29.3446,5.7198,14.9461,3.16449,19,0.494966,1.57326,386.974,50.7107,14.1967,33.6798,1.995,26.216,25.1796,4.08215,12.0752,1.90544,18,0.626037,1.48485,911.981,145.953,55.054,55.3503,0.901775,57.1505,39.77,7.93263,16.997,3.33645,22,0.425667,2.53693,3966.72,529.33,410.202,222.93,16.3005,145.377,64.3573,33.2447,67.0785,24.1182,2,0.19561,2.80708,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,2562,fell,40.66,9,48.864,22.8661,0.676456,1.07142,336.22,39.3626,23.1662,64.4277,2.87433,28.3601,22.4258,4.17308,11.7937,2.20777,11,0.299352,1.61338,559.083,91.4522,45.4211,30.2045,1.69902,37.1343,29.4911,5.52557,10.2927,2.19251,31,0.498299,1.01576,509.192,56.429,34.4915,22.2499,1.17665,39.7701,26.4657,5.07577,12.0722,2.01177,37,0.59826,0.62767,609.766,82.8338,27.8327,27.4966,1.53696,38.107,30.7775,4.80188,12.1877,2.58162,27,0.661056,0.659199,475.266,87.7076,24.7498,36.4078,2.31649,33.9342,24.7441,4.61746,13.1084,2.67542,26,0.638838,1.24008,912.963,111.364,58.1117,29.956,1.88767,53.2418,40.9544,6.08103,16.4664,3.30788,35,0.617129,0.835216,962.686,153.42,54.9678,40.5086,2.15303,58.8378,38.7737,6.99648,19.5407,2.83671,25,0.697077,1.40752,710.476,97.4565,51.1294,33.0993,1.23601,48.5615,33.8238,5.75272,19.2214,2.26704,27,0.543135,1.51511,616.565,66.5579,43.0721,21.7182,0.420523,16.8763,10.0295,1.4702,9.73987,1.64112,1,0.969574,1.78666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,2563,complete,90,18,82.8166,11.8234,0.415643,0.433351,403.911,45.5341,21.3114,21.5976,1.80803,34.7957,27.8206,5.26324,12.0662,1.93395,15,0.47899,1.65351,355.129,62.8037,13.2855,31.2413,2.88346,29.4687,22.5463,3.85866,12.8717,2.05676,22,0.471315,0.98622,400.157,83.4981,20.8523,61.1213,2.30822,33.8317,29.2778,5.13563,13.6676,2.92518,21,0.455229,1.33154,542.136,88.2538,24.1039,38.1063,1.08122,38.9886,27.9551,5.85224,16.0097,2.16397,29,0.469225,1.56843,569.739,79.9924,41.8189,23.8083,2.41468,37.967,24.8744,6.2418,13.2,2.07351,20,0.547469,1.94084,601.911,103.76,42.4347,27.8095,1.08812,43.5287,28.6929,6.83144,14.4896,1.99466,20,0.56464,2.13246,398.419,79.9189,18.6213,21.1397,2.02059,30.1112,22.811,4.78748,11.3933,1.88279,17,0.501038,1.73606,437.362,73.2412,20.9932,71.4664,1.83898,31.8372,30.6544,4.5312,16.8713,2.74884,16,0.474324,1.62606,691.828,87.248,36.2585,135.851,3.74452,44.783,37.7723,6.74336,23.2738,3.9824,17,0.581634,2.35244,512.254,86.2093,19.3329,33.1106,1.44951,33.993,25.2414,5.31667,15.888,2.33881,26,0.420876,1.54414,713.265,88.3128,33.6974,37.0923,1.0528,43.3423,35.5123,6.64342,16.3152,2.59547,18,0.532569,1.98674,925.006,115.208,63.7933,57.7307,1.90924,59.9003,39.682,8.22837,21.7204,3.93113,22,0.471989,2.54169,176.535,25.4639,7.43484,25.2369,1.03391,14.4612,15.6042,2.35629,6.35183,1.1756,9,0.553889,1.42168,452.818,64.5401,21.0634,31.8772,1.71091,33.1093,25.812,4.62955,10.4998,2.56674,16,0.462328,1.83917,312.83,61.2666,19.3598,35.3047,1.78788,24.6536,19.2458,4.18991,7.46936,1.66671,16,0.424438,1.59456,1116.11,154.438,65.7492,164.178,17.9256,61.4664,41.6353,10.0489,29.9242,11.1873,23,0.455996,2.37781,8523.44,632.816,652.439,452.885,31.7239,320.261,151.471,52.7258,103.209,33.4236,17,0.318438,3.22766,533.242,99.3295,47.0068,52.5099,2.55167,36.7099,32.8432,5.97753,14.4466,3.79468,15,0.603287,1.99348
amo,2564,complete,90,18,18.6277,12.1296,0.0564048,0.0780127,399.278,54.2903,24.281,21.5897,3.35533,34.3298,27.3839,5.47424,9.29439,1.81345,13,0.498004,1.84529,163.775,24.9927,7.20326,13.4478,1.98275,14.1086,10.1681,2.03381,4.44035,1.18594,8,0.355945,1.13484,218.809,40.5007,8.44915,13.8014,1.84616,16.584,15.0965,2.9541,6.4671,1.56362,15,0.405599,1.34797,400.246,52.139,15.9804,18.7268,1.29737,28.7656,25.378,4.30795,8.38912,1.65495,18,0.496865,1.71043,273.265,48.0677,12.8563,24.6363,2.01728,22.2723,17.4441,3.82009,9.09916,1.74254,13,0.502336,1.51677,197.558,39.2738,9.53487,22.5946,0.782922,17.7037,13.2434,2.81172,6.39352,1.0533,11,0.430546,1.59234,459.418,60.9297,22.4766,48.9559,1.23981,31.8308,24.2267,5.17724,13.1596,2.35062,18,0.556076,2.15806,1837.37,319.688,134.482,69.3225,1.2716,89.1473,70.3172,14.7392,23.8412,3.6191,23,0.357011,2.27333,400.836,65.4003,20.1938,31.1766,1.88426,28.339,27.5255,4.59396,8.77045,2.07828,13,0.611674,2.36883,413.819,96.6371,22.0028,25.4947,2.28648,32.8132,28.9547,4.9394,8.09115,2.27898,15,0.492049,1.82221,457.477,59.8264,26.9481,27.9012,2.09898,35.8227,22.9698,4.67964,8.11751,1.76545,15,0.486478,2.08135,125.753,20.2429,6.27332,14.9567,1.94902,10.3867,7.61694,1.52737,3.01765,0.813619,7,0.301309,1.11206,506.745,63.535,28.5614,34.9551,1.22818,33.6819,27.1365,5.06428,9.84716,1.80423,22,0.558053,1.74082,466.42,75.65,24.6248,21.0726,2.71498,33.6028,27.3754,4.70641,9.28266,2.35515,16,0.53498,1.57466,496.405,61.386,29.613,47.6014,2.13545,35.0045,27.6688,5.48867,13.7194,2.64511,14,0.71423,1.99681,660.327,66.4066,31.7919,36.2325,3.02297,46.3513,26.7496,6.10916,14.786,3.55674,19,0.601414,2.24758,281.046,76.5032,14.2881,13.1812,1.61363,22.3658,17.8107,3.9345,7.84202,2.12724,11,0.517135,2.28082,423.32,94.4745,21.8936,22.1696,1.17175,32.6337,22.6199,5.47599,8.40847,2.12707,14,0.584871,2.68585
amo,2565,fell,59.72,12,107.475,10.8458,2.22174,0.841978,377.347,49.2967,21.3369,17.2409,2.8746,30.3894,25.5135,5.02076,10.8828,1.90368,13,0.574258,1.87208,201.129,30.8832,9.69558,18.1217,2.74981,16.8369,11.6334,2.49731,6.36894,1.18811,10,0.472742,1.5195,724.733,83.3136,43.8449,39.7407,2.46046,43.318,28.9114,5.62865,14.6629,2.91789,30,0.458984,1.46784,765.024,99.2853,29.8769,20.5368,1.96995,49.0954,34.9665,5.33257,12.7129,2.49472,31,0.580986,1.00705,657.002,151.786,33.2682,26.8607,1.64962,45.4597,36.4039,5.03806,11.4107,1.88798,33,0.580072,1.16456,621.722,124.948,45.4239,34.6418,1.52851,46.4325,34.1645,6.08084,12.237,1.74137,27,0.621856,1.32479,493.227,73.5488,28.8718,27.976,1.88412,33.5723,22.8131,5.58772,11.7054,1.75751,25,0.52132,1.601,630.118,62.7925,32.0892,32.2235,2.66287,39.8808,24.9721,4.95723,13.4745,2.07081,26,0.590181,1.4304,650.438,78.5881,46.1114,75.6255,2.4649,38.8816,26.5553,5.40455,18.4773,2.77328,30,0.594265,1.26651,761.82,140.346,63.6844,59.0702,17.0951,56.1774,40.2968,7.19401,19.8649,7.80881,32,0.528597,1.02516,657.591,90.7515,50.0201,28.7579,1.39322,44.5322,29.8177,5.92889,11.1573,2.19245,38,0.461506,0.776704,7369.07,242.911,751.714,201.974,10.4891,275.804,104.445,42.1436,72.8438,18.8953,56,0.479558,1.52173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,2566,complete,90,18,27.1295,4.14048,0.223829,0.217209,427.673,49.3699,21.3408,12.3679,2.4905,35.0906,28.5201,5.20946,10.6369,1.98208,18,0.410049,1.41649,263.28,64.4435,10.0287,16.3749,1.25624,21.524,17.1293,3.28756,7.83256,1.46319,11,0.405939,1.74316,414.695,57.5225,18.7262,45.4947,1.47732,28.4739,28.0632,4.84314,12.8124,2.32335,18,0.544866,1.75097,405.113,65.2767,16.8451,26.2256,1.5841,27.1121,23.1678,4.07664,9.03492,1.71378,16,0.409629,1.57104,545.645,86.2535,34.5107,135.077,6.23559,37.1587,31.506,5.95615,18.0537,5.25896,21,0.469748,1.6714,432.192,55.793,17.4673,41.4387,1.87106,29.5146,27.5933,4.35809,12.3464,2.8511,17,0.601689,1.424,481.12,86.9384,19.8599,45.0474,1.47562,34.7531,29.6288,4.38152,13.2636,3.21803,16,0.495828,2.00785,762.955,91.4454,43.4525,152.061,14.3241,51.0251,37.7356,6.59884,25.4592,9.50136,17,0.640858,2.54626,348.117,42.3723,16.4529,44.2606,1.52517,25.1657,19.7495,4.04445,10.2348,2.83799,16,0.383546,1.37935,353.986,49.5372,24.7504,128.803,14.0584,29.9448,25.4149,4.27376,16.8615,9.06306,15,0.633703,1.58858,829.587,84.2287,30.633,121.574,18.1413,48.4801,37.2693,5.59918,25.7931,10.2686,13,0.495652,2.56001,428.259,49.9048,20.0919,31.6695,2.15186,30.4453,25.4937,4.30386,8.65834,2.02863,19,0.493838,1.47617,311.443,44.0641,16.0864,20.722,2.18566,22.5741,24.1475,3.7353,6.87667,1.85449,13,0.641519,1.96145,300.385,43.1232,14.8553,22.2591,2.19224,19.6395,16.8378,2.81194,4.9947,1.30618,11,0.444339,1.3911,534.224,79.7853,24.0265,25.7864,1.28149,39.6619,29.1669,5.49414,8.91941,2.08623,23,0.437112,1.50487,784.91,126.884,91.1208,187.881,10.6769,53.4273,38.267,14.25,35.8786,12.3354,20,0.398635,1.71876,803.481,133.609,77.6375,20.6967,1.30882,50.0355,35.0227,7.8677,10.3178,2.32522,18,0.56156,1.79816,403.693,53.5333,22.1105,24.5974,1.48154,30.6604,27.0161,4.55228,8.9757,1.8564,18,0.562368,1.5753
amo,2567,fell,57.14,12,21.5131,50.8582,0.87412,0.490927,304.595,42.4929,21.7645,33.4324,2.14129,28.1953,22.9949,4.6573,9.14195,1.58564,15,0.453207,1.31023,159.354,18.9855,8.50568,20.1363,1.92516,12.6449,9.60901,2.01574,4.07736,1.05018,7,0.429186,1.22735,198.446,33.8005,13.8663,58.0684,3.10736,16.923,12.7519,2.59943,12.1463,4.95064,10,0.48451,1.31902,262.872,37.6975,11.4002,25.5288,1.76667,18.3644,18.6866,2.94086,8.85105,1.43166,12,0.491552,1.49331,175.927,33.4316,9.62905,19.1511,2.04583,16.0035,13.2384,2.47451,7.35402,1.33311,10,0.405816,1.31969,318.344,38.7348,13.5853,22.5485,1.64997,23.6477,17.3341,3.39503,9.92503,1.40978,14,0.462926,1.62012,204.158,49.3928,20.4129,14.057,1.61031,21.2183,19.0426,3.06231,9.92188,1.42384,13,0.455645,1.37387,423.521,80.4286,21.0771,14.5221,1.35243,29.4575,32.4201,4.52694,11.7744,2.0944,18,0.526356,1.44468,387.925,85.8356,32.7981,20.4684,1.61542,30.8227,29.6651,4.59519,12.1888,2.11696,26,0.445279,1.10602,417.286,62.9562,21.3706,20.3872,2.07294,29.3821,23.1041,4.69515,14.298,1.85682,16,0.636462,1.8806,403.743,78.2539,21.7394,31.8169,2.29986,29.5765,26.935,4.89053,14.2971,2.51184,18,0.528949,1.566,6661.15,520.768,711.438,242.84,14.3216,242.776,103.71,40.8112,111.307,32.4756,2,0.284893,3.09106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,2568,fell,50.66,11,16.4958,14.0297,2.97029,1.44556,234.842,32.1359,16.3872,30.0746,1.9275,23.0874,18.0998,3.65411,9.76179,1.51301,10,0.44997,1.49918,413.991,71.1224,17.1405,34.2243,1.94987,31.5427,24.4578,4.45336,11.9781,1.78891,18,0.548052,1.72216,244.275,60.5316,15.1977,32.0625,1.6086,20.5552,14.6557,3.09109,6.52161,1.36781,12,0.462465,1.62184,439.957,97.4583,27.6813,39.7387,1.69652,33.2107,27.1035,5.44977,11.5488,2.64991,17,0.490776,1.96849,382.408,76.1077,23.4931,51.5822,2.46012,29.7406,23.9864,5.19909,12.1287,3.04825,17,0.493411,2.16162,332.726,68.9266,26.998,38.2598,1.91215,27.6332,24.1337,4.9951,9.55226,2.08697,13,0.592927,2.24815,292.158,59.105,20.9627,37.3386,1.92695,21.9449,19.1746,4.09089,7.86216,1.80438,9,0.615757,2.4868,303.49,40.8657,17.883,20.5603,2.3097,23.7922,17.1365,3.41762,7.3078,1.83539,11,0.587282,2.01422,434.894,48.59,16.9966,37.7579,3.19615,28.0979,22.0621,3.98167,12.9266,2.19805,14,0.450751,2.11299,617.179,119.966,23.0583,22.2781,1.4972,46.2141,35.5865,6.23914,12.2305,2.37314,29,0.425244,1.49495,1904.21,68.5142,100.897,94.8171,11.1107,55.7811,18.5977,6.47614,21.7115,6.36663,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,2569,fell,20.94,5,25.8146,16.5092,2.34838,1.1262,168.177,23.5041,15.0854,26.3397,2.46769,19.8759,12.8314,2.65865,6.17985,1.86063,5,0.438606,1.25001,237.052,32.11,9.47367,13.3276,2.07498,17.6263,12.4985,2.67117,6.32744,1.215,11,0.371145,1.99097,469.554,67.152,17.7927,18.6441,1.78291,35.4399,25.5981,5.50086,13.8132,2.126,30,0.514728,1.27002,511.582,65.1659,21.2236,21.919,2.85919,36.3267,30.4162,5.08621,10.5293,1.77594,24,0.461877,1.35693,1907.71,226.928,111.607,59.7214,4.25497,57.3199,38.9547,7.15204,28.2571,8.71287,1,0.691063,1.68546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,2570,complete,90,18,24.1876,36.4921,0.181137,0.123528,249.312,43.2674,15.7214,14.0572,2.20564,24.9904,18.5804,4.20764,8.62608,1.8506,14,0.448857,1.30587,237.997,31.201,9.534,35.936,2.39942,17.1632,15.9798,2.64119,9.20951,2.16188,10,0.554891,1.66968,181.13,28.3362,6.86194,19.464,1.86883,13.6579,10.1971,1.96179,6.40599,1.26254,9,0.385607,1.08169,198.183,30.9684,14.1389,29.0838,2.98906,15.7146,14.7914,2.71642,9.61694,1.75403,10,0.493038,1.38389,100.617,12.0096,3.71581,17.2585,1.51607,9.28207,7.67573,1.43042,4.89046,1.151,8,0.368402,0.6603,413.032,62.9809,15.1298,18.1198,2.5418,28.2764,27.304,4.53426,13.2427,2.89681,21,0.543672,1.52939,525.952,63.136,20.9878,30.8758,1.47076,33.8843,30.7146,4.77151,14.6508,2.62224,16,0.531703,1.7569,405.38,51.771,18.2823,30.7782,2.31864,28.0952,26.6283,4.06689,12.5633,2.24602,15,0.449688,1.47877,317.048,60.7656,16.0424,25.1054,1.18328,21.3345,19.5938,4.02053,11.0212,1.88931,17,0.48116,1.25207,303.94,34.3073,12.9812,25.5204,2.84212,22.6113,19.7138,3.21625,9.79595,1.83627,12,0.543015,1.92321,527.968,54.156,21.9996,25.2639,1.81421,35.375,24.2633,4.58164,12.4842,2.14669,17,0.412051,1.53982,1225.46,95.5558,70.9586,52.3036,1.87065,69.0123,43.6769,9.16594,24.415,4.55397,27,0.468938,2.55879,451.618,79.8793,20.3203,34.604,2.53332,32.1124,28.47,4.93719,10.6858,2.79178,18,0.486691,1.71643,381.811,57.7747,21.866,25.6657,1.28078,26.7602,26.8661,4.53677,10.5972,2.58543,14,0.597097,1.83623,558.637,89.235,25.8299,31.7005,1.6061,37.1232,31.8519,5.2505,14.1304,2.96515,17,0.663833,1.90054,1166.13,102.897,92.2297,171.922,10.2594,68.142,42.0332,9.09583,32.7424,8.92824,23,0.489663,1.77878,506.6,95.8183,33.4663,82.6115,2.29214,36.7227,30.8449,5.44457,22.8328,3.38014,21,0.53479,1.86594,404.583,50.6859,17.9261,22.2564,1.419,26.0138,27.5431,4.05391,12.7816,1.68206,17,0.533254,1.47888
