policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw
wbc_agile_velocity,0,complete,90,18,7.99738,3.5051,0.0166855,0.0190854,404.862,154.562,18.223,22.3579,1.37135,30.3685,85.1595,5.09357,7.7272,1.63242,20,0.501874,0.869991,218.226,68.8813,11.3159,32.0713,1.4607,18.3007,44.1895,3.47996,6.56126,1.73279,10,0.488773,1.27184,336.393,109.7,25.9297,91.1884,2.48567,31.6303,62.7618,6.23509,13.6152,2.42614,26,0.608931,0.927994,351.577,106.392,19.854,20.3657,2.05989,29.2873,60.7283,5.70118,9.50248,1.93388,21,0.421568,1.00062,235.387,82.1175,10.1602,15.912,1.64434,15.7567,39.3129,2.94112,5.3344,1.64008,11,0.5458,0.986371,331.496,83.2072,17.7644,22.4405,1.08245,29.4976,57.2082,5.99606,8.77289,2.22006,22,0.723234,1.10939,336.425,75.8458,71.2762,174.056,8.64356,29.6795,49.7017,7.85844,25.2116,7.78695,20,0.57582,0.855084,450.026,108.596,24.2327,29.3853,1.58609,30.666,58.265,5.83988,12.4408,4.48439,18,0.58118,1.07965,438.16,96.7974,20.6902,32.6753,1.03858,32.0007,58.7911,6.49245,13.5874,2.18934,21,0.473955,1.16566,148.952,79.8017,9.4807,30.6147,1.04243,12.129,35.6291,2.28158,6.68513,1.36102,11,0.810794,0.744658,269.978,64.0438,44.8335,67.7389,2.07922,19.7954,32.2223,4.25086,13.4736,2.36989,17,0.612893,0.805588,728.739,146.688,27.6159,31.2908,1.55502,42.3249,83.1591,7.84422,15.9534,2.53233,19,0.621964,1.29402,193.389,58.811,13.5603,43.3826,1.55109,18.4462,35.4048,3.70655,8.39334,1.7679,12,0.41924,0.941083,392.99,101.27,22.42,29.8727,1.08797,30.8203,58.0459,6.744,12.4519,2.36414,18,0.399371,1.28974,425.458,94.5168,135.571,293.289,6.02518,29.9008,53.3265,7.99129,24.5404,6.74655,13,0.641956,1.19177,437.79,159.214,20.6843,32.7412,1.00751,30.9646,72.8769,5.55585,12.8025,2.33482,26,0.376077,0.737798,239.261,63.8207,12.7594,28.2831,1.25223,20.1784,37.2516,3.63519,7.73586,1.56193,10,0.693385,1.01099,343.564,64.2943,32.7032,196.536,98.2779,27.7094,46.4233,6.39041,25.281,10.8678,21,0.565377,1.00155
wbc_agile_velocity,1,fell,60.6,13,17.6252,5.25873,2.35579,3.82137,320.183,88.3255,12.7184,11.9358,1.80194,27.502,60.3559,4.7259,8.10286,1.79689,27,0.531945,0.698225,244.022,84.2555,9.23528,13.7786,1.27851,19.8208,47.766,3.34863,8.03337,1.88901,18,0.5446,0.788023,317.619,78.5174,23.2589,111.223,2.36004,25.1017,50.0694,4.91564,13.9665,4.08987,20,0.492737,0.911411,292.478,81.5871,11.437,13.7218,2.10654,24.0924,56.1978,4.30736,7.44543,3.2163,18,0.562239,1.07925,445.231,82.3938,25.2866,56.2549,2.41015,28.0141,51.0104,5.57173,9.75377,2.82135,17,0.701295,0.86848,537.037,145.668,23.8348,30.4576,23.0309,39.5039,86.3111,7.95308,18.1734,9.68004,28,0.556536,0.963072,276.334,82.3458,17.305,21.6286,1.43037,28.2045,56.9926,5.61019,6.49323,1.52728,21,0.555789,1.28494,59.3054,18.0215,9.3643,34.1382,9.68526,7.2623,7.07891,2.3408,7.23465,5.99613,2,0.389557,1.18529,328.948,102.027,16.5623,21.2622,1.33226,25.6706,52.7717,5.25298,10.7099,1.93594,24,0.382448,0.733076,382.22,108.946,13.998,13.1027,1.36347,27.5725,58.1972,5.2569,8.7223,2.46016,28,0.506206,0.68188,780.933,194.824,31.3459,15.7448,1.53592,44.669,94.1919,8.74555,12.6029,4.29738,19,0.702456,1.02986,529.437,128.923,21.7812,19.3282,1.47324,35.4143,75.9564,6.29638,10.5523,3.45937,27,0.43818,0.828808,1831.75,106.552,171.075,15.513,1.21686,59.8674,48.3708,12.0019,12.2446,4.17715,1,1.08093,1.45467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,2,complete,90,18,29.383,2.71843,0.39274,0.331543,289.51,120.649,13.3308,15.8454,1.17356,23.6843,52.0486,4.37473,6.72197,1.37608,18,0.710921,0.858988,133.267,34,7.86319,16.1849,1.46155,12.8047,27.3786,2.6996,3.97578,0.886563,10,0.555958,1.22546,230.367,73.7113,13.5974,19.8035,2.28812,21.7022,49.6463,3.78096,8.01805,1.58117,21,0.554563,0.821292,251.055,87.2079,7.17414,12.2029,1.70938,17.3338,41.1934,3.06495,7.31961,2.03137,18,0.826501,0.610271,396.853,96.6647,12.2193,15.3035,1.3028,26.2417,51.8845,4.60635,6.73813,2.90671,21,0.471323,0.855097,276.652,57.4196,8.87359,23.3035,2.06861,20.1629,41.6141,3.81217,2.94459,2.68948,15,0.507791,1.10459,339.353,90.6685,12.3647,13.8463,1.77321,28.6118,57.6386,5.5001,4.91496,3.97406,24,0.534221,0.980714,758.762,154.734,26.4645,34.8634,2.1883,45.5244,94.9022,8.54601,14.8789,8.08957,25,0.549034,1.13236,595.771,167.965,22.6265,24.0468,0.802063,43.7722,91.4199,7.54664,11.4477,3.49057,38,0.58483,0.80655,436.838,101.562,18.2092,16.8152,0.889071,34.4126,61.7714,6.22976,7.8985,3.50642,32,0.679526,0.803052,420.656,95.739,83.5246,13.8836,1.47465,32.4165,62.171,6.70408,10.252,4.54038,19,0.544864,1.17591,135.479,54.1404,9.73521,15.0644,2.42166,15.7588,34.991,3.44576,7.26779,3.0354,9,0.709498,1.66059,804.519,161.363,29.4919,16.6882,1.8599,51.1603,100.958,9.01918,17.8564,4.73081,34,0.578103,0.933452,278.516,73.9382,14.0335,16.8679,1.45221,30.5063,60.2572,6.19877,10.2787,2.32445,21,0.460859,1.27979,316.595,104.044,14.8385,23.9832,0.864914,26.4552,53.9087,4.92728,7.9692,1.31885,21,0.499756,0.832699,449.184,117.797,27.5593,28.2088,1.23915,34.9975,67.5441,6.74823,9.73038,1.51231,16,0.635569,1.30453,1851.28,385.69,96.1867,52.8362,2.19821,102.636,171.879,19.1191,23.6129,6.09792,50,0.662085,1.08861,1106.43,273.856,42.6338,36.3898,1.9307,65.8064,125.516,11.9868,13.872,2.7125,35,0.64453,1.1322
wbc_agile_velocity,3,fell,45.58,10,129.198,17.6996,2.06653,3.46725,329.492,109.413,14.7114,27.1965,1.63773,29.6075,68.5066,5.05185,12.2553,3.38109,23,0.45155,0.874041,335.677,128.107,12.6042,20.1743,1.18297,24.6938,65.7115,4.40772,8.29556,1.48578,20,0.538334,0.792301,199.709,59.2426,10.3307,17.6317,1.09092,19.0775,38.5263,3.47963,6.83188,1.21784,12,0.522361,1.17701,348.161,119.076,10.9017,20.9882,0.918319,23.4376,48.0345,4.01457,7.45836,1.40963,17,0.742183,0.770424,312.875,67.4781,17.3085,71.6374,4.67312,22.5878,44.1142,4.71518,15.041,5.88651,19,0.584106,0.968321,225.499,77.7178,11.3466,75.2403,4.04118,19.1977,37.7032,3.80139,10.9485,3.93058,15,0.484009,0.728223,266.933,62.7289,11.2471,19.9993,1.18351,19.6497,34.6222,3.72513,6.70759,3.44202,14,0.440978,0.785541,3242.21,393.967,121.863,158.937,9.70896,147.61,194.868,27.7902,51.6348,16.3622,45,0.448447,1.34971,2189.9,462.533,80.6209,188.975,3.65079,104.593,200.325,19.8547,35.6433,7.07108,41,0.707305,1.55236,770.117,59.6245,55.4076,29.0419,0.209295,30.1665,33.0371,6.31679,9.76402,1.36853,2,0.539471,3.57225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,4,fell,56.68,12,13.3184,8.85709,1.42257,1.58896,205.646,106.506,7.15912,11.1686,1.63296,18.7307,43.7783,3.20528,7.06993,1.75716,15,0.440491,0.672453,296.3,59.6792,13.1203,13.9365,1.95496,24.4538,44.5037,4.67512,9.60002,2.42013,27,0.477366,0.718499,219.255,51.6713,8.91574,13.8474,1.36107,18.3401,30.3614,3.44308,4.97483,3.48264,18,0.491914,0.65267,178.135,52.1371,5.50504,14.3341,1.45645,13.235,24.4242,2.65778,4.20746,1.83801,10,0.468774,0.900534,313.352,86.3768,12.2131,20.3199,1.45953,24.7697,52.6109,4.57143,7.52619,3.94398,18,0.463192,1.15813,155.591,46.5137,7.58261,9.82294,1.35181,14.0653,25.7272,2.59136,4.82555,2.10849,10,0.35953,1.02918,324.436,148.997,15.8499,23.9879,2.94425,27.8997,69.6934,4.96294,9.22879,6.92254,21,0.607791,0.86494,50.9066,22.6783,2.98739,16.5495,1.53857,5.8368,9.20381,1.48821,4.08998,1.00063,2,0.662031,1.15899,266.235,61.9683,12.7141,12.5806,0.989203,21.2103,37.8272,4.2092,5.43255,1.61129,20,0.491453,0.893763,1477.2,352.896,59.2337,39.4495,2.57615,75.2194,136.515,13.3797,19.5316,4.46463,24,0.59378,1.20314,192.486,57.9456,11.3624,13.45,1.0132,18.3361,32.8847,3.93575,7.96903,1.53372,15,0.416415,0.881,8138.73,685.278,554.519,198.749,28.2492,200.44,193.758,41.4786,66.6637,20.4436,2,0.794704,6.2692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,5,fell,57.48,12,32.0415,9.27067,0.652283,2.3333,240.074,79.9624,10.6598,15.0389,1.19929,23.4689,50.9118,3.84945,6.31671,1.39409,18,0.378478,0.8168,298.938,99.2508,16.9585,40.1285,1.2615,24.8378,53.4471,4.56937,11.4306,2.54362,23,0.563053,0.855456,311.885,80.8893,16.8093,89.5373,3.54811,20.8315,47.6848,3.85011,13.7601,2.76491,14,0.426988,0.963165,102.877,24.5074,5.39903,19.6647,1.1023,9.81578,15.1076,1.95864,4.49744,0.87708,9,0.247576,0.697872,86.1959,21.4334,12.7772,48.8253,5.892,9.35572,12.1738,2.19571,8.05564,4.79981,6,0.483299,0.845274,249.244,79.3849,17.0671,54.3748,2.31215,23.1391,43.8398,5.31295,17.1402,5.20688,21,0.499403,0.633105,178.071,37.8884,14.9628,11.6715,2.27107,13.4575,27.5192,2.86585,3.84404,2.89461,8,0.510223,1.3948,140.236,33.8272,8.00308,25.1167,1.81912,14.426,29.2077,2.8841,6.25856,3.02269,10,0.522372,1.10171,71.6244,19.0892,4.53676,19.2324,2.97506,7.47091,13.3794,2.32914,9.82538,5.66549,3,0.52432,1.12432,449.019,162.203,14.7432,10.0132,1.99383,30.428,71.8696,5.78861,5.77152,3.78282,20,0.834471,0.98789,232.357,47.7825,7.77048,15.7729,2.27238,17.5336,35.938,3.53315,6.8792,3.26591,14,0.371561,1.02645,4320.81,636.074,298.64,113.141,9.26645,152.081,209.709,28.0496,34.0957,13.9557,10,0.850865,2.01126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,6,fell,70.64,15,15.7243,7.38051,2.88063,4.04434,283.904,106.053,12.6576,17.403,1.59991,26.2434,61.4614,4.34488,8.03875,1.39503,22,0.640204,0.796866,335.788,104.372,10.1179,18.5063,1.0215,24.7554,53.1666,4.05432,9.30797,1.40867,24,0.592764,0.706076,309.411,84.1474,15.5396,31.2422,1.22324,23.6656,49.5198,4.30855,10.4681,1.61812,23,0.612688,0.733678,168.915,47.1662,5.63878,18.138,0.995605,12.0767,28.8085,2.25687,5.31292,0.974602,8,0.739274,0.733692,440.815,109.256,22.1963,35.9489,1.82622,33.3036,75.7806,6.31303,14.676,2.58137,31,0.629601,0.894867,521.545,121.897,28.585,108.756,2.35377,37.7638,73.8248,7.21507,19.9149,3.03764,25,0.435921,1.04149,313.988,105.771,15.5729,26.5044,1.35297,23.4579,54.7966,4.1745,9.93946,1.32561,15,0.502576,1.08562,371.062,95.301,17.5565,30.4802,1.00824,29.6102,61.2865,5.45305,10.4907,1.94727,19,0.496439,1.10508,265.968,105.044,12.7129,27.744,1.21663,22.4666,52.0028,4.09257,8.11871,1.62199,15,0.595166,0.866744,844.982,173.24,88.1373,100.059,3.26002,45.9274,88.3026,8.60954,20.7892,4.43277,24,0.385407,1.07142,517.805,156.149,23.7809,35.951,1.84406,40.5656,73.1705,7.47315,13.3898,2.82135,20,0.641518,1.32482,345.446,91.2386,18.0407,23.8017,1.6258,27.9538,61.3787,5.23964,9.10678,2.00524,30,0.503433,0.769918,858.443,224.084,34.6204,38.6309,1.24719,57.2981,121.299,11.0504,17.4136,2.80521,45,0.387001,0.856139,277.136,75.9218,29.8523,88.4548,10.2127,26.0745,49.2424,5.7551,21.7273,9.1627,19,0.598327,0.77255,679.042,87.8901,38.6241,235.702,48.8398,16.3195,35.958,3.25145,22.9388,11.0261,3,0.25944,0.719504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,7,complete,90,18,8.38313,3.64986,0.0189631,0.0249606,233.533,70.9244,11.6606,16.5487,2.72429,21.8987,47.5375,3.82888,7.96609,2.50142,19,0.409997,0.878323,284.544,94.8398,10.0922,13.1508,1.21299,21.8022,45.2269,4.0709,7.47259,1.53059,18,0.561968,0.800367,118.497,34.6006,3.03102,9.22561,1.48948,9.18555,23.1136,1.78742,4.71669,1.66296,9,0.49135,0.584985,268.577,41.2756,10.0428,25.2833,2.00311,17.1635,23.0718,3.74854,10.971,3.60521,9,0.323721,1.04658,197.089,61.4113,7.68493,6.38934,0.979384,19.2237,40.6183,3.52888,5.56462,1.81198,17,0.411334,1.02135,673.593,132.605,22.7575,132.889,6.30409,41.8294,73.5973,7.17191,19.3029,8.91821,18,0.624057,1.0558,482.048,85.409,15.2475,17.8475,1.28465,29.029,55.9131,5.49679,9.61163,3.48326,23,0.533273,0.965335,227.883,53.8807,8.13993,10.3111,2.71767,18.847,38.7319,3.3362,4.95952,6.31935,19,0.354984,0.745138,374.323,121.61,21.7139,52.4302,3.26361,33.2868,66.0501,6.58576,16.4213,7.84018,22,0.555569,1.15852,385.823,97.0103,16.2601,12.2009,1.50319,25.9575,47.329,5.08562,10.7819,5.45972,8,0.52937,1.64208,422.598,174.931,20.1927,22.0945,2.12441,33.645,73.2051,6.62239,11.0003,4.96531,35,0.482521,0.715192,221.694,56.262,16.5206,18.4597,3.02634,18.9393,32.1483,4.23972,7.26838,4.50541,15,0.540599,0.940714,500.418,171.647,29.6708,25.4278,5.45173,35.873,69.2108,7.13201,12.1513,6.74089,46,0.557806,0.59382,607.748,116.962,34.6867,128.373,22.0852,42.1351,66.2332,9.42977,22.7434,13.835,30,0.392677,0.914669,119.355,55.6954,26.1684,27.4193,1.83002,11.411,24.726,2.76372,7.89406,1.9587,12,0.297485,0.712594,1048.27,294.579,55.5177,31.4295,2.09941,55.6198,119.003,11.1834,19.2222,4.5044,35,0.617483,0.96465,249.17,89.9987,14.0531,23.0427,1.33727,22.9987,48.3752,4.49052,9.05941,1.72734,19,0.587054,0.935347,236.318,118.401,14.0095,23.0197,1.4477,22.7869,63.4261,4.39662,8.11328,1.73078,18,0.526367,0.82894
wbc_agile_velocity,8,complete,90,18,37.3465,4.06665,0.00546417,0.0105023,249.631,87.8925,12.155,20.2523,2.37784,25.5998,58.1734,4.49744,9.14944,2.4879,21,0.498028,0.818762,178.719,44.002,8.14529,8.66782,1.82007,15.8677,30.7576,3.08977,5.54537,1.52149,12,0.332369,0.978929,240.084,85.5766,12.0486,14.8896,2.37231,19.7268,48.2605,3.62916,7.1747,3.05021,19,0.478435,0.796759,385.47,102.551,15.0407,54.6953,4.51338,30.3091,56.9117,5.66119,14.329,5.58192,17,0.462039,1.03014,1241.85,171.269,40.1563,72.1814,9.72358,62.2991,97.2949,11.8489,21.1236,10.9459,29,0.532384,1.1713,709.732,207.134,20.7305,12.4748,1.39007,41.2624,80.8838,7.75447,10.9103,3.46273,28,0.846251,0.879098,168.458,55.178,8.47121,16.2112,0.81941,17.188,39.4403,3.21429,5.18352,1.68638,18,0.444462,0.847678,309.015,113.869,9.74065,17.8296,3.51851,23.701,59.3434,4.53397,6.59951,5.14108,29,0.370104,0.607881,289.823,70.4336,13.9896,26.6229,88.7344,24.1799,43.316,5.3896,10.3709,11.8965,21,0.419273,0.810778,389.499,128.44,26.9308,49.6967,1.14146,28.8834,58.0988,5.60787,11.0721,3.13753,28,0.474474,0.760765,475.907,133.881,21.0088,31.487,1.66791,39.6138,83.0363,7.98171,13.2303,4.19604,38,0.509203,0.839009,285.577,50.4707,10.3948,16.0012,1.03275,23.2364,37.6886,4.10895,5.97052,1.52712,13,0.731469,1.10308,882.289,171.991,29.6198,56.8086,94.0863,63.7556,108.163,12.2133,25.9542,15.3837,47,0.525272,0.984266,513.453,126.14,19.2459,29.9862,1.83736,37.5295,78.241,6.74188,11.9167,4.37811,30,0.505712,0.864073,870.078,225.146,39.76,75.2759,28.0534,56.9861,109.655,9.17116,18.5459,12.9127,46,0.435458,0.829033,2966.86,359.361,78.5306,78.8765,41.5284,124.362,173.375,20.3142,32.3105,26.4199,42,0.497985,1.3361,622.311,153.056,25.4893,22.9965,0.94693,48.4064,95.5351,8.45867,14.6283,2.80056,43,0.564965,0.777937,413.093,140.808,24.4641,24.8865,1.51208,28.8359,64.7415,5.62224,9.6703,2.22293,18,0.917898,0.911684
wbc_agile_velocity,9,complete,90,18,7.98606,3.5487,0.00678686,0.0118184,137.57,41.0094,6.59788,10.7318,1.39329,14.8952,28.3204,2.86703,4.76982,1.31284,13,0.331869,0.720543,83.9637,34.2575,5.03369,12.5675,4.97596,8.98758,20.7262,1.83844,5.33631,2.56853,10,0.34385,0.66548,305.363,74.4229,10.59,25.7162,4.39012,22.0723,49.3707,3.87955,8.06105,3.90924,18,0.592376,0.853663,383.216,94.307,13.7365,13.7453,0.743875,28.1758,62.1018,5.29027,9.86616,3.03317,21,0.627797,0.995624,123.043,63.3576,5.79144,25.3613,4.46373,11.3455,29.7143,2.28226,6.66384,4.92462,7,0.566898,1.07461,232.776,70.8559,8.5421,13.7358,1.12169,17.4297,32.5446,3.58393,5.91529,2.77917,9,0.331902,1.2305,429.659,148.482,15.0807,23.6543,2.98737,29.3493,68.2733,5.37204,10.0736,4.82563,27,0.600045,0.729231,247.78,64.6854,12.2797,12.0888,0.942577,20.6406,39.6747,4.00714,5.6521,1.86576,15,0.437854,1.03067,163.716,86.2772,9.06108,17.988,1.63787,17.2989,46.8807,3.12246,5.99232,2.41625,10,0.768475,1.29848,264.683,91.4277,18.7937,36.4834,1.56472,20.2684,45.237,4.17415,8.9475,2.19315,19,0.560094,0.709902,540.251,125.573,22.9135,14.0132,2.19404,35.1696,65.2983,6.44148,10.5289,4.22804,24,0.486064,0.799066,342.181,78.3805,18.0657,14.0761,1.23106,28.6858,48.2449,5.39583,7.79685,2.47635,27,0.515255,0.809449,339.134,89.8973,15.8719,18.7863,1.39088,26.9286,49.9152,5.14552,9.7577,1.87702,25,0.465098,0.815843,284.616,107.345,10.9204,12.3064,1.13209,21.7835,46.5164,4.24143,8.38321,1.91618,20,0.580355,0.831161,552.998,182.377,20.6762,15.2292,1.83533,35.3243,84.5018,6.58578,11.5211,4.51225,33,0.557011,0.662155,542.505,139.225,22.061,23.3639,1.39184,38.0723,76.2516,6.87096,10.5069,2.7648,33,0.494084,0.783021,512.502,183.086,17.9402,21.9963,1.11967,40.5434,84.0366,7.39935,11.8942,2.70876,29,0.433494,0.910318,108.373,42.8972,8.7448,13.6248,1.33723,10.724,22.7721,2.20254,5.00284,1.40627,11,0.417173,0.63333
wbc_agile_velocity,10,complete,90,18,12.4171,3.50775,0.000408809,0.00219512,300.801,104.063,12.677,21.4666,0.981662,25.4078,59.5925,4.63182,8.14086,1.54674,21,0.490062,0.823156,13.9819,4.76788,0.379231,9.80234,1.08402,0.788793,0.774277,0.169489,0.819994,0.990233,0,,,184.36,59.8507,13.3114,52.7026,3.07751,15.5845,34.1821,3.59734,13.3787,6.04237,13,0.464541,0.833912,144.682,39.9717,6.70726,23.9676,1.05381,11.9866,24.525,2.09857,4.72172,1.20776,10,0.480138,0.925137,314.92,97.4015,20.5781,53.2304,1.98513,25.1424,54.6952,4.78925,11.034,2.51056,22,0.640217,0.799973,226.296,73.3422,14.9012,22.8548,2.00745,19.9409,36.869,3.69821,7.71923,2.00145,12,0.409903,1.11999,501.973,209.642,22.0443,34.7787,1.61193,38.4284,90.2849,7.05298,11.0151,2.5526,38,0.540006,0.729167,235.581,53.6235,9.99819,20.58,1.41305,15.8919,25.3707,3.34424,5.37869,1.35608,10,0.273696,1.18387,254.172,85.9755,14.9969,19.4542,1.89044,24.76,54.4148,4.57845,6.218,2.03086,21,0.385426,0.911292,476.564,141.303,20.6096,23.1507,1.67084,33.6059,62.2555,6.38319,9.52101,2.61894,18,0.737155,1.00146,230.411,100.951,13.5034,26.2626,1.38129,19.5209,54.9023,3.58271,7.31816,1.76502,19,0.56176,0.735959,2235.1,313.34,75.2182,69.7924,1.65457,102.077,157.231,18.5899,23.5472,4.09786,45,0.439145,1.22996,565.996,122.722,27.034,30.2516,1.39415,41.296,68.9357,8.02501,12.0152,2.39781,33,0.49885,1.02822,147.577,53.77,5.91826,9.86948,1.02619,13.2781,27.5832,2.39263,4.79695,2.16501,7,0.825051,1.15567,421.154,132.881,17.2269,29.0557,1.28512,29.273,63.5194,5.39795,7.30101,1.58864,20,0.482272,0.883843,139.256,49.0203,16.5728,31.0879,1.93373,11.7855,30.2481,2.9252,13.1228,3.32356,6,0.890007,1.18539,369.449,79.9829,28.0828,27.8911,8.58089,24.5433,44.9846,6.06177,15.4098,7.25373,16,0.438511,1.01177,240.66,71.9756,13.9529,11.2804,1.62322,20.7278,42.1906,4.29653,5.80337,3.8509,18,0.530103,1.06448
