policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
grove,2048,complete,60,12,48.7488,2.55822,0.0622198,0.0826489,325.918,129.698,11.3392,18.4921,2.16533,26.8919,63.3354,4.73716,11.0902,5.33174,460.687,167.168,18.3422,26.8038,0.977275,34.6523,81.012,6.29664,12.7066,2.07017,629.968,175.525,29.2376,30.4086,1.87905,46.8522,86.1945,8.61183,14.2014,2.30528,171.21,60.6263,11.8746,48.062,3.01659,13.282,30.5708,2.58112,8.05957,2.38977,291.464,51.461,29.5173,54.9729,3.85582,23.0769,34.7737,4.66926,14.8555,5.95554,434.701,128.772,28.4495,117.313,23.9278,36.0473,83.4392,7.26995,24.487,10.0115,3831.48,477.328,106.387,89.6837,3.24474,149.127,202.276,28.2913,52.7186,8.95029,715.688,206.626,34.9836,31.5514,1.81089,52.3498,115.075,9.89498,16.9764,3.0015,459.682,111.025,20.1665,26.3624,1.51827,29.744,56.4123,6.01241,11.8578,2.14755,247.696,89.6912,12.2833,28.3134,1.31967,20.0414,43.8518,3.51044,7.11623,1.5059,407.662,96.2853,17.6136,25.9479,0.882336,29.5037,56.4623,5.55019,7.63581,1.32918,1030.72,285.593,81.231,235.541,4.92812,59.8505,123.865,12.1091,27.1233,5.89722
grove,2049,complete,60,12,11.975,4.41729,0.632801,0.590281,187.87,75.2387,9.2363,14.1535,0.955515,19.1011,48.2065,3.34665,6.40108,1.80009,236.983,94.3493,8.62658,14.7764,1.76695,17.4759,41.2553,3.26242,6.39015,1.84835,441.763,134.992,21.1602,19.994,0.985936,34.3632,75.6272,6.17448,11.7466,4.06129,477.65,133.263,19.1815,20.1467,1.43458,34.3054,74.9028,6.09117,9.37631,2.93368,612.507,174.281,34.4717,34.9007,1.48401,42.1466,98.069,7.6716,13.7872,3.03611,552.549,172.233,21.7454,23.5514,1.36256,42.2063,82.2278,7.92724,12.3369,3.52274,397.987,117.116,12.078,13.8909,1.03817,24.1592,56.0457,4.52686,6.19125,1.87154,1889.58,278.743,148.63,38.182,18.7352,89.7816,150.089,16.4056,21.8665,11.7399,338.209,109.33,12.433,16.3302,4.07818,25.1478,59.1428,3.95284,7.1893,6.52159,2171.71,285.579,64.8234,43.4093,1.80325,94.8838,140.846,17.4065,24.8014,8.38654,386.318,104.999,19.9078,33.179,1.45669,28.5774,54.1297,5.64448,12.9911,4.04092,1421.02,238.691,44.9977,28.1334,1.70754,79.9513,129.329,15.1736,25.4299,6.25643
grove,2050,complete,60,12,9.06346,3.81835,0.0252632,0.0178888,393.849,117.754,12.3821,13.8182,0.94798,31.3096,70.2045,5.2242,9.29789,2.52915,816.477,262.101,35.3008,40.5457,1.69492,55.4358,124.616,9.80491,14.3223,3.38842,254.88,76.0441,20.1875,38.8934,4.01328,24.1893,47.922,5.18948,11.9284,5.54127,491.842,141.774,21.9517,27.3105,1.50386,34.9283,63.0811,6.93148,9.43994,3.21989,521.655,138.811,24.6452,19.8471,2.02555,35.0227,69.6627,7.70913,13.2189,4.86492,347.116,118.044,19.4605,58.4869,2.16059,24.3381,43.9606,4.79282,11.4569,3.51803,163.799,55.6234,13.7841,33.2541,2.41644,16.3597,32.6527,3.24822,8.01802,3.9364,183.985,65.3893,12.2049,30.9487,1.09272,16.3265,33.9549,3.07904,4.54749,1.55459,252.269,65.2197,12.6435,31.2778,1.58951,21.4199,42.0203,4.03839,7.00387,2.44823,514.03,135.166,31.4121,42.8351,3.70746,39.2558,77.4438,8.78986,17.4784,8.09358,364.186,148.105,27.3031,14.6531,1.5121,32.3707,72.3487,7.07956,6.65013,3.84751,756.256,330.851,42.1036,48.631,2.25457,46.5729,117.092,10.0482,15.1443,7.26562
grove,2051,fell,21.56,5,32.4946,31.9271,2.62195,2.84006,223.435,102.304,9.74569,21.8305,1.69756,20.0422,57.8175,3.59944,7.90071,3.15964,1472.07,459.627,73.5573,136.416,2.92855,81.618,163.566,16.0905,24.958,4.47122,449.959,108.999,22.1352,21.8192,1.44289,35.9184,65.0607,6.789,7.59052,1.38447,466.083,110.531,25.715,54.6623,15.862,33.6317,59.8315,6.68647,13.2218,8.14333,4616.93,758.617,407.121,245.144,65.4397,125.648,173.597,28.6761,47.4299,27.5021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grove,2052,fell,46.06,10,262.478,8.01953,1.58405,1.58337,253.005,86.2702,13.3803,15.0751,1.42558,24.7479,53.3502,4.59278,7.66556,1.43363,330.605,96.6234,15.9585,20.6207,1.05289,23.337,50.1829,4.62078,9.69037,1.41919,304.765,91.9478,15.7071,24.3346,0.924235,26.0669,57.8488,4.77877,10.6184,1.38488,394.96,101.224,18.9124,21.5136,1.45344,27.781,58.2169,5.09992,11.6117,2.04927,794.335,166.359,31.9922,31.2177,0.873018,44.7784,91.0378,7.7453,15.6198,3.10506,440.49,134.125,16.1489,24.5417,1.67552,29.8732,65.9321,5.04087,10.6246,1.7225,6477.46,991.618,306.337,270.249,4.21887,226.716,329.688,46.0914,83.3603,9.52374,2050.22,249.782,102.506,78.6131,1.67256,89.223,147.094,17.2893,33.3634,3.59681,1795.67,400.646,86.4607,143.588,1.44161,96.4985,169.401,18.5091,40.935,4.63132,4620.28,345.033,350.77,168.259,45.0437,107.368,121.823,23.3291,48.5371,20.886,,,,,,,,,,,,,,,,,,,,
grove,2053,fell,15.56,4,38.455,46.5589,2.42641,3.6573,211.457,68.3147,8.29011,18.1079,0.822802,17.5527,33.4575,2.8126,5.57364,0.986386,531.877,124.418,20.741,26.0117,1.65243,37.2548,74.435,6.62369,13.2533,1.94255,265.972,73.1208,13.433,15.0384,0.987075,21.2313,50.8585,3.89747,8.49894,1.12505,318.171,26.37,10.3049,5.02753,0.359929,14.5954,13.8921,2.57624,5.5437,0.806263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grove,2054,fell,46.34,10,10.5407,13.3223,1.94462,1.91621,390.835,169.018,13.7396,20.0835,1.6278,33.4513,89.3744,5.35168,8.85253,1.65875,471.009,113.036,20.5495,25.3559,1.56388,34.0621,58.3852,6.34599,9.24507,1.70288,301.372,92.0381,17.651,53.3411,1.86477,24.1052,50.2048,4.71973,9.43578,1.99002,353.587,87.4641,18.077,22.8903,1.04151,26.0118,48.7749,4.97981,7.59363,1.37807,228.801,74.2418,13.1917,28.7434,1.20005,19.8201,42.153,4.22167,7.55691,1.27796,686.539,171.709,55.0977,102.202,1.71473,40.6493,89.2113,7.74833,19.5472,2.95528,800.077,158.484,26.7529,20.7266,1.87953,48.6203,83.5586,8.98013,13.7248,3.44938,647.64,258.749,48.9985,19.9899,1.69207,47.2516,110.671,9.59978,15.8316,5.00167,225.428,53.9644,10.1687,11.0078,0.987605,20.1516,40.0616,3.77621,7.19112,2.50674,5917.76,417.016,520.149,311.643,246.301,146.36,110.738,35.3279,65.9772,38.2045,,,,,,,,,,,,,,,,,,,,
grove,2055,fell,57.96,12,68.3503,15.9874,1.39274,1.35808,156.321,72.9603,9.26133,19.3786,1.09617,16.7519,41.1361,3.28236,6.01095,1.26062,253.627,63.3293,11.2476,11.628,1.56991,20.2556,37.4599,3.56255,7.23886,1.5412,238.089,66.128,8.73629,13.5031,1.26817,20.0952,44.8571,3.88276,6.1417,1.7692,160.398,42.0825,6.97078,18.6023,1.33133,14.1407,31.5566,2.79501,4.35265,1.24306,70.4476,13.7121,3.28795,17.6297,1.60576,7.34689,12.014,1.48947,2.98934,1.86688,496.575,82.8828,19.1621,27.522,2.29224,32.9003,53.707,7.49437,14.8843,5.50276,423.853,161.614,20.4798,19.7375,2.58847,32.7269,80.6606,6.4363,9.76457,3.86305,299.712,61.7568,14.225,16.1439,1.81001,25.1339,44.6952,4.45811,6.08583,2.14183,887.194,201.371,33.6013,20.9129,2.66218,55.5928,107.731,9.78411,13.2699,5.63667,836.549,203.22,29.1207,27.4301,2.64792,52.7337,100.82,9.72231,13.7557,6.64666,698.099,186.613,42.9673,22.5575,2.43811,44.3582,98.3929,8.9547,9.09177,6.24206,11162.5,1409.23,1085.18,220.754,86.4524,297.222,349.254,63.3531,89.9815,55.6211
grove,2056,fell,15.96,4,12.2243,35.0785,0.744356,2.27849,434.939,122.856,13.691,17.6195,1.14838,29.0922,68.0362,5.20727,9.15066,1.72498,270.696,71.1796,11.4503,7.4727,1.81678,24.4051,48.4155,4.77739,6.41193,2.77829,598.204,118.707,19.5132,13.5416,2.6398,33.9188,64.9452,5.63254,8.5283,6.3782,4415.85,354.384,306.708,44.6329,3.32904,91.7984,96.2426,17.9329,20.6907,5.63979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grove,2057,fell,56.54,12,34.7331,16.0854,1.42899,0.654965,327.004,98.561,15.1932,24.8367,2.47944,30.7558,59.332,5.91874,11.5565,3.10178,346.556,129.249,15.712,47.9437,1.70138,23.0783,50.1565,4.00247,8.13275,1.85812,384.039,121.239,19.2724,27.2457,1.81023,29.0523,60.9875,5.35411,8.02026,2.28089,232.881,103.123,10.6132,24.5164,1.4196,19.1725,49.3233,3.42013,6.49457,1.27104,311.569,43.428,12.6402,48.3177,1.47126,18.6369,29.7905,3.38307,10.1996,1.98442,344.072,151.029,15.278,15.6481,1.28492,30.0515,77.292,5.37195,9.36262,3.03744,219.117,54.7084,7.70793,8.40013,3.2153,16.5077,26.9558,3.17428,5.92216,3.96208,473.715,97.5994,20.67,13.5535,1.24391,28.7134,48.3301,5.57451,8.98774,2.18193,622.854,179.564,24.5557,17.6971,0.913366,46.1136,91.7216,8.4382,11.9907,3.52137,1025.7,222.493,33.6174,114.314,5.4361,56.9335,109.643,10.7655,25.0428,10.2035,726.405,233.401,40.9266,47.6401,2.82155,54.9302,102.999,11.0495,19.6679,8.80721,4660.83,427.752,566.266,160.014,146.905,114.27,124.118,32.3907,57.0074,26.9633
